"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2007-2008",81,3396.38,2596,2523,73,50.71,45.86,44.57,107,95,12,52.97,1.89,1.68,108.93,114.61,-5.68,48.73,1.92,2.02,406,372,-34,7.3,93.62,100.93
"ARI","2007-2008",81,3641.48,3173,3304,-131,48.99,52.28,54.44,121,133,-12,47.64,1.99,2.19,124.72,135.63,-10.91,47.9,2.05,2.23,322,317,-5,6.62,92.79,99.41
"ATL","2007-2008",80,3587.92,2553,3388,-835,42.97,42.69,56.66,120,167,-47,41.81,2.01,2.79,115.91,152.26,-36.35,43.22,1.94,2.55,327,270,-57,8.27,91.55,99.82
"BOS","2007-2008",31,1137.06,1016,902,114,52.97,53.61,47.6,34,39,-5,46.58,1.79,2.06,39.74,37.68,2.06,51.33,2.1,1.99,101,99,-2,6.24,91.98,98.21
"BUF","2007-2008",76,3331.35,2791,2840,-49,49.56,50.27,51.15,151,139,12,52.07,2.72,2.5,119.83,118.08,1.75,50.37,2.16,2.13,280,317,37,9.42,91.12,100.54
"CAR","2007-2008",79,3374.38,3276,3015,261,52.07,58.25,53.61,148,143,5,50.86,2.63,2.54,138.93,136.63,2.3,50.42,2.47,2.43,322,381,59,8.26,91.12,99.38
"CBJ","2007-2008",82,3529.83,2885,2618,267,52.43,49.04,44.5,109,122,-13,47.19,1.85,2.07,116.8,101.86,14.94,53.42,1.99,1.73,369,359,-10,6.52,91.98,98.51
"CGY","2007-2008",82,3578.25,3042,2747,295,52.55,51.01,46.06,142,130,12,52.21,2.38,2.18,131.41,117.36,14.05,52.82,2.2,1.97,392,349,-43,8.71,92.04,100.75
"CHI","2007-2008",80,3423,2600,2629,-29,49.72,45.57,46.08,143,130,13,52.38,2.51,2.28,109.98,115.36,-5.38,48.81,1.93,2.02,368,365,-3,9.04,91.92,100.96
"COL","2007-2008",82,3736.5,2917,3154,-237,48.05,46.84,50.65,154,137,17,52.92,2.47,2.2,138.54,130.72,7.82,51.45,2.22,2.1,299,321,22,8.89,91.78,100.67
"DAL","2007-2008",82,3578.97,2895,2703,192,51.71,48.53,45.31,139,127,12,52.26,2.33,2.13,114.65,116.39,-1.74,49.62,1.92,1.95,350,315,-35,8.89,91.68,100.58
"DET","2007-2008",81,3518.74,3332,2334,998,58.81,56.82,39.8,142,102,40,58.2,2.42,1.74,140.36,101.91,38.45,57.94,2.39,1.74,301,320,19,7.41,92.4,99.81
"EDM","2007-2008",82,3630.25,2953,3416,-463,46.37,48.81,56.46,143,163,-20,46.73,2.36,2.69,130.88,143.24,-12.36,47.75,2.16,2.37,320,329,9,8.95,91.06,100.01
"FLA","2007-2008",80,3545.59,3118,3247,-129,48.99,52.76,54.95,124,131,-7,48.63,2.1,2.22,124.09,138.95,-14.86,47.18,2.1,2.35,303,261,-42,6.95,93.16,100.11
"L.A","2007-2008",82,3663.98,2992,3554,-562,45.71,49,58.2,135,172,-37,43.97,2.21,2.82,125.77,155.21,-29.44,44.76,2.06,2.54,280,325,45,8.25,91.19,99.44
"MIN","2007-2008",80,3507.04,2846,2986,-140,48.8,48.69,51.09,123,133,-10,48.05,2.1,2.28,100.23,116.77,-16.54,46.19,1.71,2,299,301,2,8.21,92.26,100.46
"MTL","2007-2008",77,3320.5,2822,3312,-490,46.01,50.99,59.85,125,127,-2,49.6,2.26,2.29,112.21,131.06,-18.85,46.13,2.03,2.37,270,301,31,8.55,92.56,101.11
"N.J","2007-2008",80,3454.7,2852,2583,269,52.47,49.53,44.86,109,109,0,50,1.89,1.89,118.11,110.31,7.8,51.71,2.05,1.92,300,314,14,7.04,92.66,99.7
"NSH","2007-2008",81,3513,3000,2935,65,50.55,51.24,50.13,141,140,1,50.18,2.41,2.39,137.32,124.51,12.81,52.45,2.35,2.13,304,327,23,8.29,91.96,100.26
"NYI","2007-2008",77,3376.99,3062,3009,53,50.44,54.4,53.46,112,124,-12,47.46,1.99,2.2,130.07,131.93,-1.86,49.65,2.31,2.34,320,289,-31,6.73,92.39,99.11
"NYR","2007-2008",80,3529.07,3166,2709,457,53.89,53.83,46.06,126,107,19,54.08,2.14,1.82,143.55,122.95,20.6,53.86,2.44,2.09,316,343,27,7.15,92.68,99.83
"OTT","2007-2008",75,3296.21,2963,2839,124,51.07,53.93,51.68,160,131,29,54.98,2.91,2.38,128.41,125.13,3.28,50.65,2.34,2.28,350,278,-72,9.83,91.79,101.61
"PHI","2007-2008",80,3352.95,2800,3159,-359,46.99,50.11,56.53,121,133,-12,47.64,2.17,2.38,121.14,131.9,-10.76,47.87,2.17,2.36,410,399,-11,7.84,92.41,100.25
"PIT","2007-2008",79,3397.83,2685,3201,-516,45.62,47.41,56.52,135,112,23,54.66,2.38,1.98,121.97,123.2,-1.23,49.75,2.15,2.18,336,352,16,8.96,93.43,102.4
