"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2015-2016",82,3882.25,3646,3310,336,52.42,56.35,51.16,128,131,-3,49.42,1.98,2.02,146.06,129.48,16.58,53.01,2.26,2,329,272,-57,6.69,92.39,99.08
"ARI","2015-2016",82,3771.58,3233,3674,-441,46.81,51.43,58.45,129,136,-7,48.68,2.05,2.16,122.67,140.42,-17.75,46.63,1.95,2.23,313,294,-19,7.67,92.96,100.63
"BOS","2015-2016",82,3946.97,3608,3675,-67,49.54,54.85,55.87,159,152,7,51.13,2.42,2.31,137.99,141.33,-3.34,49.4,2.1,2.15,306,260,-46,7.78,92.28,100.06
"BUF","2015-2016",82,3976.95,3313,3656,-343,47.54,49.98,55.16,121,148,-27,44.98,1.83,2.23,125.65,139.27,-13.62,47.43,1.9,2.1,227,253,26,6.6,92.52,99.12
"CAR","2015-2016",82,4037,3684,3476,208,51.45,54.75,51.66,132,159,-27,45.36,1.96,2.36,155.8,156.64,-0.84,49.87,2.32,2.33,188,229,41,6.89,91.41,98.3
"CBJ","2015-2016",82,3916.13,3429,3713,-284,48.01,52.54,56.89,148,159,-11,48.21,2.27,2.44,165.63,154.52,11.11,51.74,2.54,2.37,303,286,-17,7.89,91.88,99.78
"CGY","2015-2016",82,3954.92,3498,3772,-274,48.12,53.07,57.22,151,170,-19,47.04,2.29,2.58,143,154.41,-11.41,48.08,2.17,2.34,238,261,23,8.15,90.98,99.13
"CHI","2015-2016",82,3985.37,3680,3585,95,50.65,55.4,53.97,135,141,-6,48.91,2.03,2.12,142,152.26,-10.26,48.26,2.14,2.29,216,234,18,6.81,92.81,99.62
"COL","2015-2016",82,3890.92,3194,4035,-841,44.18,49.25,62.22,138,150,-12,47.92,2.13,2.31,123.3,156.07,-32.77,44.14,1.9,2.41,255,268,13,7.79,92.76,100.55
"DAL","2015-2016",82,3920.02,4022,3630,392,52.56,61.56,55.56,162,154,8,51.27,2.48,2.36,168.5,152.57,15.93,52.48,2.58,2.34,249,262,13,7.91,91.63,99.54
"DET","2015-2016",82,3863.17,3402,3177,225,51.71,52.84,49.34,129,138,-9,48.31,2,2.14,141.4,145.84,-4.44,49.23,2.2,2.27,251,260,9,6.96,92.63,99.59
"EDM","2015-2016",82,3912.91,3534,3712,-178,48.77,54.19,56.92,133,167,-34,44.33,2.04,2.56,146.53,151.84,-5.31,49.11,2.25,2.33,249,241,-8,7.17,91.53,98.7
