"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"AARON.EKBLAD","D","20152016","FLA",78,1378.33,0.07,-0.04,0.11,-0.08,-0.04,-0.03,0.28,-2.53,2.8,0.24,-2.31,2.56,-0.04,-3.9,3.85
"AARON.NESS","D","20152016","WSH",8,97.35,1.28,-0.82,2.11,0.12,0.14,-0.02,-0.64,-4.59,3.95,-0.11,-1.96,1.85,8.44,-3.44,11.89
"ADAM.CLENDENING","D","20152016","EDM",20,281.42,0.65,-0.66,1.31,-0.06,0.11,-0.17,0.78,1.43,-0.65,1.3,5.15,-3.85,0.77,5.37,-4.6
"ADAM.CLENDENING","D","20152016","PIT",9,112.28,0.83,-1.03,1.86,-0.57,-0.2,-0.36,-2.32,2.21,-4.54,-5.27,-1.45,-3.83,-6,-6.14,0.14
"ADAM.CRACKNELL","F","20152016","EDM",8,83.95,-1.72,-0.84,-0.88,-0.02,-0.7,0.69,1.31,0.69,0.63,4.36,-4.02,8.38,4.72,-5.7,10.41
"ADAM.CRACKNELL","F","20152016","VAN",44,505.17,-0.4,-0.93,0.53,-0.23,-0.18,-0.06,-1.86,-2.58,0.72,-2.08,-2.64,0.56,-1.61,-1,-0.61
"ADAM.HENRIQUE","F","20152016","N.J",80,1109.7,0.64,0.01,0.64,0.15,-0.08,0.23,0.45,-0.08,0.54,-0.25,0.62,-0.87,-0.53,0.11,-0.64
"ADAM.LARSSON","D","20152016","N.J",82,1520.05,-0.02,-0.53,0.51,-0.12,-0.19,0.07,-1.38,-1.86,0.48,-2.23,-2.28,0.05,-2.79,-2.08,-0.7
"ADAM.LOWRY","F","20152016","WPG",74,855.83,-0.31,0.21,-0.52,-0.06,0.03,-0.09,-1.09,0.57,-1.66,-2.77,0.97,-3.74,-4.36,1.74,-6.1
"ADAM.MCQUAID","D","20152016","BOS",64,979.63,-0.58,-0.39,-0.19,-0.09,-0.05,-0.03,-2.53,0.19,-2.72,-3.15,-0.59,-2.56,-2.81,1.03,-3.84
"ADAM.PARDY","D","20152016","EDM",9,156.87,-0.14,1,-1.15,1.27,-0.26,1.54,5.89,-0.32,6.21,6.74,-1.52,8.27,5.83,0.29,5.53
"ADAM.PARDY","D","20152016","WPG",14,149.95,-1.59,0.54,-2.13,-0.62,0.3,-0.92,-4.28,1.12,-5.41,-4.9,5.65,-10.55,-7.45,1.9,-9.35
"ADAM.PELECH","D","20152016","NYI",9,134.12,-0.44,0.88,-1.32,-0.53,-0.22,-0.3,-6.12,1.34,-7.46,-7.65,0.86,-8.51,-9.76,2.48,-12.23
"ALEC.MARTINEZ","D","20152016","L.A",78,1297.45,0.21,-0.06,0.26,0.02,0.08,-0.06,-1.34,1.44,-2.78,-1.6,3.38,-4.97,-0.82,6.7,-7.53
"ALEKSANDER.BARKOV","F","20152016","FLA",66,948.07,0.56,0.18,0.38,0.07,0.08,0,0.74,0.86,-0.12,0.81,1.17,-0.36,0.31,1.62,-1.31
"ALES.HEMSKY","F","20152016","DAL",75,841.17,0.34,0.4,-0.05,0.2,0.12,0.08,2.22,-0.46,2.68,3.38,-0.94,4.32,4.25,-0.98,5.23
"ALEX.BIEGA","D","20152016","VAN",51,781.57,0.22,0.29,-0.06,-0.04,0.14,-0.18,0.72,3.06,-2.35,-0.62,4.02,-4.64,0.57,1.78,-1.21
"ALEX.BURMISTROV","F","20152016","WPG",81,1057.32,-0.63,-0.02,-0.62,-0.47,0.01,-0.48,-1.82,0.3,-2.12,-3.92,-0.37,-3.55,-4.99,0.07,-5.05
"ALEX.BURROWS","F","20152016","VAN",79,885.42,-0.63,-0.53,-0.1,-0.12,-0.06,-0.05,-0.02,-1.47,1.45,1.02,-1.84,2.86,1.48,-1.66,3.13
"ALEX.CHIASSON","F","20152016","OTT",76,821.4,-0.48,-0.57,0.08,-0.2,-0.11,-0.09,-3.46,0.32,-3.77,-4.2,0,-4.2,-5.16,0.44,-5.6
"ALEX.EDLER","D","20152016","VAN",52,941.72,0.42,0.21,0.21,0.02,-0.03,0.05,0.25,-2.99,3.24,0.08,-3.52,3.59,-2.04,-1.42,-0.62
"ALEXEI.EMELIN","D","20152016","MTL",71,1265.12,-0.4,-0.04,-0.36,0.06,0,0.05,0.07,-1.1,1.18,0.63,-0.9,1.53,-0.23,-1.31,1.07
"ALEXEY.MARCHENKO","D","20152016","DET",66,960.45,-0.12,-0.04,-0.08,-0.2,0.11,-0.32,-1.71,1.46,-3.17,-1.46,0.71,-2.17,-0.68,1.3,-1.97
"ALEX.GALCHENYUK","F","20152016","MTL",81,1072.58,0.72,0.38,0.34,0.29,0.16,0.12,2.19,0.93,1.26,4.34,1.68,2.66,4.93,2.7,2.23
"ALEX.GOLIGOSKI","D","20152016","DAL",82,1545.58,0.38,0.15,0.23,0.18,0.36,-0.18,2.01,1.76,0.26,2.79,2.57,0.21,3.63,2.82,0.81
"ALEX.GRANT","D","20152016","ARI",5,59.5,-0.84,-0.15,-0.69,0.62,0.2,0.42,4.8,-3.21,8.02,1.41,2.72,-1.3,-0.57,0.64,-1.21
"ALEX.GRENIER","F","20152016","VAN",6,68.1,-0.15,3.17,-3.32,0.41,0.94,-0.53,2.43,15.31,-12.88,2.45,15.03,-12.58,3.66,12.17,-8.51
"ALEX.KHOKHLACHEV","F","20152016","BOS",5,51.23,-2.31,0.03,-2.34,-0.73,-0.18,-0.55,-4.29,1.64,-5.93,-0.02,3.04,-3.07,3.32,-3.96,7.28
"ALEX.KILLORN","F","20152016","T.B",81,1102.03,0.52,0.03,0.49,0.1,0.1,0,0.17,-0.23,0.4,0.06,-0.28,0.35,0.81,-0.96,1.77
"ALEX.OVECHKIN","F","20152016","WSH",79,1227.83,0.52,-0.06,0.58,0.29,-0.08,0.36,2.88,-0.31,3.19,4.34,-0.09,4.43,5.85,0.41,5.44
"ALEX.PETROVIC","D","20152016","FLA",66,978.93,0.24,0.04,0.2,0.11,-0.02,0.13,-0.81,0.73,-1.55,0.06,0.23,-0.17,0.84,1.56,-0.72
"ALEX.PIETRANGELO","D","20152016","STL",73,1477.23,0.22,-0.18,0.4,0.25,0.11,0.14,2.34,2.06,0.28,1.66,2.57,-0.91,2.26,2.52,-0.26
"ALEX.SEMIN","F","20152016","MTL",14,142.42,0.78,-0.45,1.22,0.6,-0.18,0.78,5.46,-0.62,6.08,7.73,-1.63,9.36,10.88,-2.88,13.76
"ALEX.STEEN","F","20152016","STL",67,1005.67,-0.14,-0.07,-0.07,-0.2,0.09,-0.28,-1.18,0.2,-1.38,-2.27,1.43,-3.7,-1.97,3.12,-5.09
"ALEX.TANGUAY","F","20152016","ARI",18,217.13,1.52,-1.18,2.7,0.26,0.1,0.16,2.85,0.12,2.73,0.07,2.52,-2.45,-2.43,1.94,-4.37
"ALEX.TANGUAY","F","20152016","COL",52,672.53,0.18,-0.14,0.32,0.2,0.04,0.16,2.83,1.06,1.77,3.28,1.75,1.53,4.56,3.05,1.51
"ALEX.WENNBERG","F","20152016","CBJ",69,874.02,0.17,-0.12,0.29,0.02,0.02,0,-0.44,-0.91,0.47,1.33,0.48,0.84,2.04,0.48,1.57
"ANDERS.LEE","F","20152016","NYI",80,935.48,-0.49,-0.33,-0.15,0,-0.14,0.14,3.06,-1.34,4.41,3.87,-1.07,4.94,4.11,-1.26,5.37
"ANDREAS.ATHANASIOU","F","20152016","DET",37,311.55,0.7,0.8,-0.1,0.27,0.7,-0.43,2.13,6.11,-3.98,1.66,7.05,-5.39,0.53,6.66,-6.13
"ANDREAS.MARTINSEN","F","20152016","COL",55,588.92,-0.14,-0.18,0.03,-0.36,-0.3,-0.06,-4.93,-3.17,-1.76,-4.73,-3.8,-0.94,-4.6,-4.35,-0.25
"ANDRE.BURAKOVSKY","F","20152016","WSH",79,959.38,0.14,0.43,-0.29,0.01,0.25,-0.24,-0.57,0.96,-1.53,0.15,1.35,-1.2,1.43,1.44,0
"ANDREI.MARKOV","D","20152016","MTL",81,1420.6,0.09,0.06,0.03,-0.17,0.09,-0.26,-0.65,2.59,-3.24,0.07,3.09,-3.02,0.13,3.05,-2.92
"ANDREJ.NESTRASIL","F","20152016","CAR",55,707.3,0.32,-0.15,0.47,0.08,-0.13,0.21,-0.39,-2.9,2.51,0.88,-4.5,5.39,3.89,-4.85,8.74
"ANDREJ.SEKERA","D","20152016","EDM",81,1408.73,-0.05,-0.05,0,0.13,-0.13,0.25,1.06,-0.35,1.4,0.6,-0.49,1.1,0.88,0.13,0.75
"ANDREJ.SUSTR","D","20152016","T.B",77,1138.37,0.21,0.61,-0.39,-0.09,0.14,-0.23,-2.75,1.72,-4.47,-2.29,1.47,-3.76,-2.9,1.42,-4.31
"ANDREW.AGOZZINO","F","20152016","COL",9,74.45,-1.12,-0.6,-0.52,-0.09,-0.24,0.15,-1.92,-3.39,1.47,-3.27,-4.82,1.55,-0.09,-0.88,0.79
"ANDREW.BODNARCHUK","D","20152016","CBJ",16,220.77,-0.37,1.52,-1.89,-0.29,0.14,-0.43,-2.67,3.22,-5.89,-5,5.44,-10.44,-6.07,4.13,-10.2
"ANDREW.BODNARCHUK","D","20152016","COL",21,222.45,0.18,0.24,-0.06,0.05,0.69,-0.64,-2.09,3.84,-5.93,-2.17,6.3,-8.47,-4.14,4.91,-9.06
"ANDREW.CAMPBELL","D","20152016","TOR",6,66.97,0.28,-1.11,1.39,-0.1,0.17,-0.28,-1.75,2.58,-4.33,-1.4,7.98,-9.38,-1.99,14.1,-16.09
"ANDREW.COGLIANO","F","20152016","ANA",82,1006.97,0.04,0.15,-0.12,0.15,-0.06,0.21,0.64,1.08,-0.44,0.92,0.74,0.18,0.34,-0.25,0.58
"ANDREW.COPP","F","20152016","WPG",77,550.25,0.14,-0.89,1.02,-0.19,-0.35,0.16,-3.02,-1.74,-1.28,-3.94,-1.67,-2.28,-4.52,-1.65,-2.87
"ANDREW.DESJARDINS","F","20152016","CHI",77,868.87,-0.88,-0.26,-0.62,-0.19,-0.19,-0.01,-0.78,-1.75,0.97,-1.26,-1.58,0.32,-1.12,-0.81,-0.31
"ANDREW.FERENCE","D","20152016","EDM",6,70.53,-0.33,2.53,-2.86,-0.25,0.49,-0.74,-0.28,4.09,-4.36,-0.92,0.82,-1.73,-3.83,0.46,-4.29
"ANDREW.LADD","F","20152016","CHI",19,249.97,-0.14,0.9,-1.04,-0.25,0.38,-0.63,-2.69,-0.99,-1.7,-2.94,-1,-1.94,-2.55,4.04,-6.59
"ANDREW.LADD","F","20152016","WPG",59,816.65,-0.13,-0.28,0.15,-0.03,0.21,-0.24,-0.95,1.32,-2.27,-0.33,2.41,-2.74,1.08,2.12,-1.04
"ANDREW.MACDONALD","D","20152016","PHI",28,481.23,0.73,0.34,0.39,0.16,-0.18,0.34,-0.07,-1.14,1.07,-0.93,-2.15,1.21,-1.54,1.64,-3.18
"ANDREW.SHAW","F","20152016","CHI",78,958.93,0.23,-0.61,0.84,0.18,0.13,0.05,1.5,0.4,1.1,2.31,2.53,-0.22,3.4,3.25,0.15
"ANDREY.PEDAN","D","20152016","VAN",13,135.65,-1.32,-0.73,-0.58,-0.39,0.87,-1.26,-2.17,10.26,-12.44,-1.41,9.32,-10.73,1.03,9.22,-8.19
