"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"AARON.GAGNON","F","20112012","WPG",7,65.65,0,0,0,0,5.48,8.23,10.97,0.58,0,0,7,3.66,0.91,6.4,0,0.91,0,0,0,0,18,21,-3
"AARON.JOHNSON","D","20112012","CBJ",56,793.1,0.15,0.38,0.53,1.06,3.78,5.52,7.26,0.17,4,2.74,3.14,4.54,6.43,6.66,1.36,1.21,0.38,0.61,0,0,0,0,0
"AARON.NESS","D","20112012","NYI",9,149.23,0,0,0,0,2.01,4.82,6.84,0.19,0,0,3.92,6.84,0.8,5.63,0.4,0.8,0.4,0,0,0,0,0,0
"AARON.PALUSHAJ","F","20112012","MTL",38,282.68,0.21,0.21,0.64,1.06,7.85,10.61,14.65,0.49,2.7,2,4.64,2.33,5.94,10.61,1.06,1.91,0.64,1.7,0,0,0,4,-4
"AARON.ROME","D","20112012","VAN",43,598.7,0.3,0.1,0.3,0.7,3.51,6.11,9.52,0.15,8.57,4.92,2.39,5.61,6.31,7.82,1.2,0.4,1.1,0.6,0.1,0.1,0,0,0
"AARON.VOLPATTI","F","20112012","VAN",23,202.92,0.3,0,0,0.3,5.03,6.8,10.35,0.41,5.88,4.35,6.04,2.37,18.04,11.24,0.89,0.3,1.18,0.89,1.48,1.48,4,0,4
"ADAM.BURISH","F","20112012","DAL",65,689.82,0.43,0.52,0.43,1.39,6.52,8.96,10.96,0.54,6.67,4.85,6.06,1.3,5.74,6.78,0.87,1.04,1.04,1.22,0,0,162,121,41
"ADAM.HALL","F","20112012","T.B",57,499.62,0.24,0.48,0.12,0.84,6.85,8.89,9.73,0.52,3.51,2.7,5.85,1.68,10.33,4.68,0.48,0.96,0.6,0.96,0,0,183,116,67
"ADAM.HENRIQUE","F","20112012","N.J",74,1079.23,0.67,0.67,0.67,2,5.67,6.95,8.12,0.59,11.76,9.6,8.51,2.22,4.5,2.89,1.11,2.06,0,0.67,0.06,0.06,402,434,-32
"ADAM.LARSSON","D","20112012","N.J",65,1194.55,0.1,0.25,0.2,0.55,2.96,3.97,6.23,0.09,3.39,2.53,2.23,3.16,4.37,5.17,1.81,0.55,0.45,0.2,0,0,0,0,0
"ADAM.MCQUAID","D","20112012","BOS",72,994.9,0.12,0.12,0.36,0.6,3.8,5.37,9.35,0.1,3.17,2.25,1.78,5.43,6.03,6.39,1.03,0.42,0.9,0.66,0.36,0.3,0,0,0
"ADAM.PARDY","D","20112012","DAL",36,556.47,0,0,0.22,0.22,3.02,3.88,5.82,0.08,0,0,2.14,4.64,4.21,7.55,0.97,0.86,0.65,0.65,0,0,0,0,0
