"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"AARON.DOWNEY","F","20072008","DET",56,254.82,4.55,9.98,94,65,22,51.93,35.91,12.15,81.03
"AARON.JOHNSON","D","20072008","NYI",30,341.08,11.37,25.06,85,113,80,30.58,40.65,28.78,51.52
"AARON.MILLER","D","20072008","VAN",57,809.47,14.2,31.7,144,256,217,23.34,41.49,35.17,39.89
"AARON.ROME","D","20072008","CBJ",17,259.82,15.28,33.16,46,89,65,23,44.5,32.5,41.44
"AARON.VOROS","F","20072008","MIN",55,413.02,7.51,16.26,97,168,135,24.25,42,33.75,41.81
"AARON.WARD","D","20072008","BOS",65,1041.28,16.02,34.39,232,372,296,25.78,41.33,32.89,43.94
"ADAM.BURISH","F","20072008","CHI",80,675.98,8.45,18.87,160,239,139,29.74,44.42,25.84,53.51
"ADAM.FOOTE","D","20072008","CBJ",62,1125.9,18.16,40.54,261,468,355,24.08,43.17,32.75,42.37
"ADAM.FOOTE","D","20072008","COL",12,199.3,16.61,34.89,46,69,59,26.44,39.66,33.91,43.81
"ADAM.HALL","F","20072008","PIT",46,372.92,8.11,18.22,78,124,135,23.15,36.8,40.06,36.62
"ADAM.MAIR","F","20072008","BUF",72,599.63,8.33,18.16,147,233,141,28.21,44.72,27.06,51.04
"ADRIAN.AUCOIN","D","20072008","CGY",75,1101.48,14.69,32.54,341,361,228,36.67,38.82,24.52,59.93
"ALAIN.NASREDDINE","D","20072008","PIT",6,66.2,11.03,24.87,8,16,15,20.51,41.03,38.46,34.78
"ALES.HEMSKY","F","20072008","EDM",74,1044.58,14.12,30.36,292,439,281,28.85,43.38,27.77,50.96
"ALES.KOTALIK","F","20072008","BUF",79,930.3,11.78,25.58,287,334,223,34,39.57,26.42,56.27
"ALEX.BURROWS","F","20072008","VAN",82,940.43,11.47,25.52,187,366,286,22.29,43.62,34.09,39.53
"ALEX.EDLER","D","20072008","VAN",75,1175.55,15.67,34.63,330,386,305,32.32,37.81,29.87,51.97
"ALEXEI.PONIKAROVSKY","F","20072008","TOR",66,832.53,12.61,28.24,283,339,218,33.69,40.36,25.95,56.49
"ALEXEI.SEMENOV","D","20072008","S.J",22,273.27,12.42,26.26,65,75,61,32.34,37.31,30.35,51.59
"ALEXEI.ZHITNIK","D","20072008","ATL",65,1080.57,16.62,35,242,359,339,25.74,38.19,36.06,41.65
"ALEX.FROLOV","F","20072008","L.A",71,1035.65,14.59,31.72,271,335,246,31.81,39.32,28.87,52.42
"ALEX.KOVALEV","F","20072008","MTL",82,1107.67,13.51,29.6,283,381,303,29.27,39.4,31.33,48.29
"ALEX.OVECHKIN","F","20072008","WSH",82,1371.55,16.73,36.18,385,463,287,33.92,40.79,25.29,57.29
