"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Aaron Gagnon","9-10","DAL","C","2","15.1","--","--","--","--","--","--","0.44","1.75","20","16","4","55.56","-1.25","--","--","--","0.71","0.3","0.41","70.3","16.05","--","--","--","4","15.89","0.21","0.83","--","100","58.33","14.77","26.04","46.71","27.13","49.26"
"Aaron Johnson","9-10","CGY/ EDM","D","41","538.08","2","4","6","5","0.67","0.56","1.98","0.22","465","548","-83","45.9","-0.82","18","25","-7","19.2","23.01","-3.81","45.49","-0.46","11","5","-6","70","7.81","1.55","0.17","6.9","98.44","44.85","28.86","26.44","46.68","28.36","49.28"
"Aaron Rome","9-10","VAN","D","49","644.38","--","4","4","1","0.37","0.09","5.88","0.55","580","577","3","50.13","-1.39","22","30","-8","22.33","24.42","-2.09","47.76","-2.51","9","4","-5","102","9.5","1.59","0.15","--","97.48","42.9","29.43","28.13","51.63","28.82","49.45"
"Aaron Voros","9-10","NYR","L","41","247.82","2","3","5","5","1.21","1.21","1.62","0.39","185","249","-64","42.63","-8.09","7","10","-3","6.96","10.22","-3.26","40.51","-10.31","22","17","-5","36","8.72","1.51","0.37","9.52","99.6","49.5","13.31","27.22","49.01","27.78","48.82"
"Aaron Ward","9-10","CAR/ ANA","D","76","1087.62","1","9","10","2","0.55","0.11","4.55","0.25","958","1058","-100","47.52","-2.62","39","56","-17","37.57","47.44","-9.87","44.19","-5.17","21","9","-12","102","5.63","1.51","0.08","2.94","97.95","49.54","31.64","28.02","49.1","28.76","49.28"
"Adam Burish","9-10","CHI","R","13","112.12","1","3","4","3","2.14","1.61","4","2.14","104","111","-7","48.37","-9.26","6","4","2","4.94","4.89","0.05","50.25","-8.24","4","6","2","19","10.17","1.18","0.63","11.11","103.17","52.94","18.49","27.72","54.64","27.97","48.96"
"Adam Foote","9-10","COL","D","67","1058","--","5","5","2","0.28","0.11","-5.03","-0.29","836","1088","-252","43.45","-2.33","47","45","2","35.54","44.31","-8.77","44.51","-4.58","18","9","-9","73","4.14","1.25","0.07","--","102.5","48.58","34.01","28.1","45.53","29.28","50.17"
"Adam Mair","9-10","BUF","C","69","608.8","5","7","12","9","1.18","0.89","13.3","1.31","519","500","19","50.93","1.4","20","22","-2","20.2","20.42","-0.22","49.73","0.11","19","12","-7","102","10.05","5.31","0.52","7.69","99.43","50","19.2","28.11","49.79","27.96","49.85"
"Adam Mcquaid","9-10","BOS","D","19","191.28","1","--","1","1","0.31","0.31","0.95","0.3","161","166","-5","49.24","-1.82","4","10","-6","6.28","6.24","0.04","50.16","-0.66","6","5","-1","25","7.84","0.5","0.16","10","94.84","55.91","21","26.73","52.17","27.31","49.34"
"Adam Pardy","9-10","CGY","D","57","809.45","2","5","7","6","0.52","0.44","15.35","1.14","807","665","142","54.82","3.1","25","29","-4","28.8","24.13","4.67","54.41","5.42","20","12","-8","94","6.97","1.36","0.1","5.56","97.25","55.97","30.41","26.88","50.72","28.23","49.2"
