"Team","iCF.60_mean","ixGF.60_mean","ZSR_mean","CF..QoT_mean","CF..QoC_mean","iCF.60_sd","ixGF.60_sd","ZSR_sd","CF..QoT_sd","CF..QoC_sd","iCF.60_min","ixGF.60_min","ZSR_min","CF..QoT_min","CF..QoC_min","iCF.60_max","ixGF.60_max","ZSR_max","CF..QoT_max","CF..QoC_max"
"ANA",10.2008823529412,0.44,52.3917647058824,47.3520588235294,49.8679411764706,3.6520557661505,0.266776492535787,6.33806703665564,1.4539929961312,0.577396347312211,5.55,0.06,36.72,43.85,47.51,18.25,0.94,64.29,50.85,50.46
"ARI",11.235625,0.4534375,54.343125,50.8275,49.490625,4.34370062051302,0.273184439350461,9.17006962984082,1.9538663077056,0.644700167870005,4.54,0.1,33.33,45.04,47.16,26.28,1.28,83.33,53.75,50.38
"ATL",10.6353571428571,0.418571428571429,46.6842857142857,48.7614285714286,49.8946428571429,2.52883589401052,0.225646631077005,5.67864839720224,0.878136555168846,0.633148991551471,6.46,0.12,33.33,46.92,48.99,16.66,0.84,58.33,50.3,52.25
"BOS",10.8766666666667,0.389393939393939,53.2163636363636,51.5212121212121,50.0145454545455,3.67945704780837,0.23871975454939,10.8502568570351,1.39136119855647,1.43573824849163,0,0,33.33,46.36,45.7,17.88,0.85,100,53.24,54.3
"BUF",11.8488888888889,0.547777777777778,52.0203703703704,49.7492592592593,49.9255555555556,4.12537022425618,0.278917320715067,3.73889070496902,1.01097031047453,0.349662841268703,5.41,0.12,44.6,48.03,48.97,21.51,1.13,60.78,52.56,50.85
"CAR",11.2358823529412,0.467352941176471,49.6752941176471,49.0532352941176,49.6252941176471,4.84567230701292,0.317855587788003,12.6924506875673,0.856705177491545,1.00331340550265,2.93,0,0,47.8,46.85,26.59,1.14,83.33,51.71,54.18
"CBJ",9.23368421052632,0.383947368421053,51.1478947368421,48.1407894736842,50.205,3.22645770202977,0.234550051982044,11.0262206305708,1.50643373672042,1.44237182670991,0,0,28.57,43.29,44.5,14.64,0.81,100,51.24,53.26
"CGY",11.514375,0.4746875,53.840625,51.246875,49.5334375,3.89691436039568,0.238205446363888,7.28842783060486,1.44316506444197,0.50495997525834,5.92,0.1,44.85,46.68,48.16,18.43,0.89,85.71,53.29,50.23
"CHI",11.6472413793103,0.538965517241379,53.8286206896552,54.2068965517241,49.6465517241379,3.23231440363416,0.308525813085229,12.7654012650652,2.14080609559022,0.836507517949604,6.96,0.11,0,48.42,47.4,17.34,1.49,69.91,57.51,52.73
"COL",9.80027027027027,0.422972972972973,52.4205405405405,44.5735135135135,49.7464864864865,4.15306345196363,0.26805746548978,11.9054385205404,1.31398295316233,0.713937501996328,0,0,33.33,42.67,48.19,22.35,1.25,100,49.99,52.05
"DAL",10.2826666666667,0.380666666666667,51.7846666666667,47.6946666666667,49.7616666666667,3.84819880242543,0.243011754126582,13.9979756500306,0.904905151567463,1.05363110515357,0,0,16.98,45.93,45.54,15.89,0.83,100,49.47,51.69
"DET",11.1410714285714,0.450714285714286,54.7707142857143,53.0546428571429,49.7025,3.89604865290721,0.249932265956474,6.95783806810784,1.14859489729636,0.366096779351925,4.99,0.1,35.71,50.86,48.87,20.6,0.97,66.67,55.77,50.37
"EDM",9.86894736842105,0.422631578947368,47.0007894736842,45.4384210526316,49.9452631578947,4.15717796007696,0.250228913689222,5.07385635181024,1.91327160914378,1.04115252366063,0,0,37.04,42.94,47.76,17.94,0.82,62.5,53.89,54.87
"FLA",9.72322580645161,0.39741935483871,43.4877419354839,44.7954838709677,49.908064516129,3.90830260436827,0.237093058269469,7.33824806961327,1.43504666291072,0.472485762429858,0,0,11.11,42.84,48.71,21.9,1.06,53.6,50.7,50.85
"L.A",9.71064516129032,0.39,51.4390322580645,49.6896774193548,49.75,4.27572055173852,0.26319827760328,12.3849756707711,0.946965271700315,0.843212112499973,0,0,0,47.68,46.72,17.68,0.78,85.71,51.88,51.47
"MIN",9.17945945945946,0.364594594594595,47.0978378378378,47.8086486486486,49.5845945945946,4.09411973034087,0.259021605647468,8.97351260814451,1.28199965800429,0.91444456303204,0,0,25,45.15,47.09,15.67,1.17,72.73,52.37,51.62
"MTL",10.4508108108108,0.419459459459459,49.3432432432432,46.0724324324324,49.8475675675676,4.47181443312715,0.28100954853237,10.9174727575301,1.35186990951506,0.673817504989318,3.05,0.05,14.29,40.69,46.46,22.83,1.22,83.33,50.12,50.92
"N.J",9.17135135135135,0.355405405405405,57.4783783783784,50.3748648648649,49.652972972973,4.39913385550823,0.270057551423916,13.3976783879218,0.835499257336001,0.745154215451274,0,0,37.5,49.24,47.2,18.99,1.08,100,52.77,51.54
"NSH",10.5396774193548,0.439677419354839,48.3022580645161,50.4632258064516,49.6035483870968,3.5828735989156,0.256469411703979,8.81679220188288,1.27844798381155,0.94895924881629,4.87,0,25,46.06,46.23,19.62,1,72.73,52.51,50.66
"NYI",10.170303030303,0.421515151515152,50.0293939393939,47.6127272727273,50.1693939393939,4.38415291479472,0.281448498975847,14.1493917579948,0.844605206321542,0.696181277550698,0,0,27.05,44.72,48.72,19.3,0.91,100,49.43,52.38
"NYR",10.9864516129032,0.488387096774194,52.5377419354839,49.8793548387097,49.6054838709677,3.6539317165551,0.27347268936396,7.48221611987492,0.837054102129887,0.715061017021986,5.14,0.11,37.1,47.18,46.4,17.08,0.96,75,51.67,50.44
"OTT",10.7846875,0.451875,56.94125,51.3075,49.468125,3.75809233038648,0.248783329749584,8.95955419037815,0.803452228742299,0.866388266905928,0,0,42.86,49.43,46.79,16.65,0.91,82.35,52.93,51.64
"PHI",11.5206896551724,0.532413793103448,51.18,49.758275862069,49.5979310344828,4.18732093948461,0.337307142489429,8.14104898470882,0.857038376226598,0.750611081102519,5.85,0.11,38.78,47.88,46.22,22.59,1.35,80.95,52.25,50.16
"PIT",11.2378787878788,0.465454545454545,52.6657575757576,51.790303030303,49.4851515151515,5.62451706681102,0.321092771923969,7.36707414374214,1.24447650853804,1.24568535657114,0,0,25,46.23,44.75,27.57,1.16,66.67,53.49,53.12
"S.J",10.82,0.511333333333333,48.1346666666667,50.9196666666667,50.122,4.27904839566156,0.359364701251733,6.87689521630888,0.74678383214557,1.0850151754858,0,0,27.27,48.45,48.45,18.32,1.51,59.09,52.2,53.4
"STL",10.4228571428571,0.4125,52.1982142857143,50.4817857142857,49.6528571428571,3.25907946233272,0.228386044199695,10.4645320022663,1.08632255482508,0.806881776382514,5.07,0.09,37.14,46.56,46.79,17.95,0.78,90.48,51.96,50.41
"T.B",9.108125,0.38625,43.8365625,47.52375,49.515,4.06506710455266,0.2536539425687,12.3085112459932,1.17500789290417,1.23231227713883,0,0,0,45.88,43.96,15.77,0.87,60,52.46,50.91
"TOR",11.4668571428571,0.466571428571429,55.1137142857143,51.9091428571429,49.654,4.47059265147946,0.270489130554075,8.9689336652936,0.922124693075633,0.711858379834906,0,0,40.62,48.99,46.26,22.41,1.11,100,53.44,51.21
"VAN",9.6009375,0.401875,50.174375,50.6615625,49.445,4.54319580526748,0.304921327770021,12.6718193661521,1.42333798804985,1.30331092024839,0,0,32.28,47.79,43.25,22.54,1.25,100,53.27,52.2
"WSH",11.4837142857143,0.464285714285714,50.336,51.9862857142857,49.4528571428571,5.30345341746871,0.273316081986166,5.7727000513064,1.34944887598885,0.847395912152503,0,0,33.33,48.37,47.44,27.88,0.97,62.65,54.2,53.1
