Variable,Importance
TOI% QoT_mean,0.09038899371534809
PC1,0.06936182476216092
H2H,0.037455681628602557
VegasOpeningOdds,0.031405115092342784
Q2Record,0.030826777166199814
PowerPlayOppurtunities,0.029517425292596815
WeightedGPS,0.029471704896823013
FaceoffWinPercentage,0.029200128222862467
PenaltyKillPercentage,0.0281820017329884
CorsiDifftoSOSlog,0.02777412836932444
SOG_Last20,0.027468754941797405
Round_X3,0.02742308595596815
TOI% QoC_max,0.025848289155880833
SRStoSOS,0.025741152483069227
Corsi_Last20,0.02426911087065199
Fenwick_Last20,0.02356945601398088
PC3,0.02342278093507087
SOS,0.02319487588497844
SRS_x_Fenwick_x_ELORating,0.022472010398899334
PPO_x_PenaltyKill,0.02218873774836679
ZSR_max,0.022013739445091184
ZSR_mean,0.021653335582602035
TOI% QoT_sd,0.021016183007812328
OT_Losses_Lead1P,0.02073181553409574
WinPercent_Trail2P,0.020339111482300123
Q3Record,0.01927557273103042
Q1Record,0.018211137562035365
SOG,0.01793402319097088
PenaltyMinstoPowerPlaylog,0.017534300553230346
TakeAways,0.017490102769236564
TOI% QoC_mean,0.016249973192346202
OTL,0.015804959174893437
H2H_x_VegasOpeningOdds,0.01564902326153237
PowerPlayPercentage,0.015350920639318949
SCFtoGoalsAgainstlog,0.01526028769021653
GStoSOS,0.015117835498783726
PowerPlaytoPenaltyKill,0.014539133122678415
SDRecord,0.014332299289516738
Round_X2_x_VegasOpeningOdds,0.013938886624686727
WinPercent_Lead2P,0.013251899174653529
GoalsPercentage_Last20,0.013060496437289149
Ratio_of_HitstoBlockslog,0.013033233856041174
CA_Per60Team_log,0.012801574341019474
Ratio_of_GoalstoGoalsAgainstlog,0.012683775349535695
PC4,0.012647745227656918
PC5,0.012402174360604878
WinPercent_Trail1P,0.012201121524881666
GiveAways,0.011645822804034608
CF% QoC_mean,0.011637302442389873
AverageAge,0.011206738453511928
WinPercent_Lead1P,0.01111280048804351
SDRecord_x_SOS,0.011014744857597498
PenaltyKill_PostAllStar,0.010980617896918267
Ratio_of_SRStoPoints,0.010873779948874283
PenaltiesDrawn,0.010590865384684229
HitsPercentage_Last20,0.01044917893096783
PC2,0.010210963711020427
Round_X2,0.01012666281769589
GS/60_sd,0.009163271200977608
GS/60_max,0.0088977090997113
Round_X4,0.008661213054223758
ESPNPower,0.008500409364239502
PDO,0.008291596576456468
xGDifftoSOS,0.008272130669226817
BlocksPercentage_Last20,0.008118663934892361
BlocksatES,0.007691910972251416
HitsatES,0.007641005200601171
CF% QoC_sd,0.007349892699977761
iCF/60_max,0.007347350780530307
ixGF/60_max.TO.Rel CF%_max,0.007262521271156766
Rel CF%_sd,0.007113722488042652
iCF/60_sd,0.006880419080719189
FaceoffWinPercentage_x_ShotPercentage,0.006872380133449457
Round_X4_x_VegasOpeningOdds,0.006801297910135243
Q4Record,0.006723130287199366
CF% QoC_max,0.006596622334287422
CF% QoT_sd,0.0063599958831099855
CF_max,0.006288629770945015
HDCA,0.0061378062718265005
OT_Losses_Lead2P,0.005990987599124254
Rel CF%_max,0.005402411828093423
PenaltiesTaken,0.005234686504870064
GS_max,0.005182671636046335
ELORating_Q4,0.005168100955768949
WAR.TOI_median,0.005107432980816673
ZSR_sd,0.0050647446560635415
TOI% QoC_sd,0.0049751689110369805
PenaltyMinsPG,0.004796958419706879
TOI% QoT_max,0.0046622306997263895
Round_X3_x_VegasOpeningOdds,0.004625960936977626
HighDangerSC_Percent,0.004327297418072399
AveragePenaltyDiff_PerGame,0.004326679821289555
SCA,0.004294478456439885
ixGF/60_mean,0.004019281372924883
xGF.60,0.0038743057266007646
CF% QoT_mean,0.003755945464382952
GAR.TOI_max,0.0037460987387566706
xGA.60,0.0037223550128299885
ixGF/60_max,0.0034595228757738137
RegularSeasonWinPercentage_x_Ratio_of_SRStoPoints,0.0033349562833627435
ixGF/60_sd,0.003274455652340836
MissesPercentage_Last20,0.0032426325303177746
ELORating,0.003046683070748472
WAR.TOI_max,0.0028938143687213653
GS_max_log,0.00279651692041566
Rel CF%_mean,0.00278929024008961
P1_max,0.002778197978286519
WeightedGoalieSavePercntage,0.0025773377122074604
RegularSeasonWinPercentage_x_PlayerPoints,0.0024705137210259947
CF_sd,0.002391318797253597
iCF/60_mean,0.0023371744422920186
P1/60_mean,0.0023002404671486863
PowerPlayGoals,0.0022541278258767622
GAR.TOI_median,0.002219875379248655
SRS,0.002191732553915866
GoalsAgainst,0.002188484768255857
P1/60_max,0.002181109058627598
P1_mean,0.0021710064331463366
CA_Per60Team,0.002041552005857124
PlayerPoints,0.0019517019805615177
RPI,0.0018065709058763403
GS_sd,0.0017750149408308478
SCF,0.0015943373335237248
ShotPercentage,0.0014702612588110783
WAR.TOI_mean,0.0013233310910807819
CF_Per60Team,0.0012533470247257227
Fenwick,0.0011329425431823872
CF_mean,0.0011179083745277824
GAR.TOI_sd,0.0010597732332582807
P1_sd,9.963235948817193e-4
GAR.TOI_mean,9.168860768680262e-4
P1/60_sd,8.620071735460671e-4
GoalDiff,8.086031244646676e-4
WAR.TOI_sd,7.373589408375794e-4
CF% QoT_max,6.717806681194599e-4
RegularSeasonWinPercentage_x_PointsPercentageofMax,5.576449424082893e-4
RegularSeasonWinPercentage,5.352302336467441e-4
RegularSeasonWinPercentage_x_Points,4.4721112984198356e-4
RegularSeasonWinPercentage_x_PointsPercentage,3.8462316610627533e-4
AverageGoalDiff_PerGame,3.023551493349657e-4
GoalsFor,2.841199284752534e-4
PointsPercentage,1.9833940213053863e-4
Points,1.97079109195392e-4
PointsPercentageofMax,1.8442209606762142e-4
GS_mean,1.367309536975516e-4
GS/60_mean,6.573502383262208e-5
CF._Team,3.9502986347261803e-5
