Variable,Importance
TOI% QoT_mean,0.0912753035323408
PC1,0.06859917106875843
H2H,0.04807070036393042
VegasOpeningOdds,0.03914767729292535
Q2Record,0.03893800213019952
PenaltyKillPercentage,0.03670493373616771
SOG_Last20,0.0319799021464928
FaceoffWinPercentage,0.030664635579152357
SRS_x_Fenwick_x_ELORating,0.02968001090635456
Corsi_Last20,0.029117510086207533
PowerPlayOppurtunities,0.028904030572148975
WeightedGPS,0.02818113006910643
TOI% QoT_sd,0.02656272242101001
CorsiDifftoSOSlog,0.024899052074968626
PPO_x_PenaltyKill,0.024655871339043813
TOI% QoC_max,0.024448342554858782
SRStoSOS,0.023599735445040498
Q3Record,0.02297383490979051
WinPercent_Trail2P,0.022300029875547016
SOS,0.021789722290225657
Q1Record,0.02148947915085647
ZSR_max,0.02028276754295392
Fenwick_Last20,0.020181748701640998
ZSR_mean,0.019518393032703932
OT_Losses_Lead1P,0.019246365739705812
SOG,0.01868770966306128
PenaltyMinstoPowerPlaylog,0.018421704270616766
PowerPlayPercentage,0.017180136582833322
TOI% QoC_mean,0.016827018862200928
SDRecord,0.015886236642351424
SCFtoGoalsAgainstlog,0.015757400372551897
TakeAways,0.015289253441227389
PC4,0.01495511280319659
CF% QoC_mean,0.014729645721607709
GStoSOS,0.014504476413953967
PowerPlaytoPenaltyKill,0.014474954344009756
AverageAge,0.013757180447462547
SDRecord_x_SOS,0.013077341587422598
GiveAways,0.012909731511191994
PenaltiesDrawn,0.012877117574726673
CA_Per60Team_log,0.012819832519494045
OTL,0.012637469752085082
PC5,0.012071017755593282
GoalsPercentage_Last20,0.01172896743006218
Round_X2_x_VegasOpeningOdds,0.011444764555181666
Ratio_of_HitstoBlockslog,0.011092184401836474
WinPercent_Lead1P,0.010985405394807753
WinPercent_Trail1P,0.010808729227304458
HitsPercentage_Last20,0.010769763612144219
PC3,0.010729880548143483
ESPNPower,0.010573020054688529
Ratio_of_GoalstoGoalsAgainstlog,0.010533399461190971
xGDifftoSOS,0.010083366422375922
CF% QoC_sd,0.009988405919068587
BlocksatES,0.009842253875779819
H2H_x_VegasOpeningOdds,0.009804124481006865
BlocksPercentage_Last20,0.009676017117634184
PDO,0.009671285594849097
GS/60_sd,0.009646572443126365
WinPercent_Lead2P,0.009315252576086536
FaceoffWinPercentage_x_ShotPercentage,0.009285550531800664
RegularSeasonWinPercentage_x_Ratio_of_SRStoPoints,0.009139540134091852
GS/60_max,0.008862973949085536
knn_W,0.008819928464038597
knn_L,0.008810338925755803
Ratio_of_SRStoPoints,0.008717589328767905
PC2,0.008701272309454347
iCF/60_max,0.008221163046435033
Rel CF%_sd,0.00801695351805904
RegularSeasonWinPercentage_x_PlayerPoints,0.00787414342724558
CF_max,0.007597070663825171
Round_X3,0.007484788436203808
Q4Record,0.007442957739295897
CF% QoT_sd,0.0073723298033954434
HighDangerSC_Percent,0.007014648515944301
HDCA,0.006547030236965667
OT_Losses_Lead2P,0.006440113768072119
HitsatES,0.00641986642191282
GS_max,0.006243259318252018
CF% QoC_max,0.006168541418475171
iCF/60_sd,0.0060866685226170815
Rel CF%_max,0.006079967730172947
ixGF/60_mean,0.005295190881196344
TOI% QoC_sd,0.00514458808963092
PenaltiesTaken,0.005076422971340097
xGA.60,0.004997671044032132
ZSR_sd,0.004988442174399462
TOI% QoT_max,0.004790717825885226
ixGF/60_max.TO.Rel CF%_max,0.0047624892178330484
PenaltyMinsPG,0.004451534478642223
AveragePenaltyDiff_PerGame,0.004351794342736501
ELORating_Q4,0.0042369411774038695
ixGF/60_sd,0.004071922407132161
Rel CF%_mean,0.0036163787213123588
GoalsAgainst,0.00360862818781043
Round_X3_x_VegasOpeningOdds,0.0035362981987750713
SRS,0.00350551649264798
SCA,0.003459025441671584
CF_sd,0.0033338076833092376
CF% QoT_mean,0.003165670168045721
GS_max_log,0.0030827723319797936
P1_mean,0.0030654306341588128
WeightedGoalieSavePercntage,0.0030063555604807218
P1/60_mean,0.0029667374687729164
RegularSeasonWinPercentage_x_Points,0.002885431981467239
xGF.60,0.002833176018467832
GS_sd,0.0027634604784129227
Round_X2,0.002603058408641881
ixGF/60_max,0.002553738338322368
RegularSeasonWinPercentage_x_PointsPercentageofMax,0.002546073916558185
P1_max,0.002489404405881518
PlayerPoints,0.0024772319207088914
MissesPercentage_Last20,0.0024518709318873348
ELORating,0.002277733442171546
P1/60_max,0.002271207789047546
RegularSeasonWinPercentage_x_PointsPercentage,0.0021979102648158767
PowerPlayGoals,0.001968417616461134
ShotPercentage,0.0019410374828857657
RPI,0.001917390606021581
CA_Per60Team,0.0018987839761572141
iCF/60_mean,0.0016574569329297663
SCF,0.001642919459175857
CF_mean,0.00117315222030024
Fenwick,0.0011415375685901348
CF_Per60Team,0.001073766092121833
GoalDiff,9.576120292793254e-4
RegularSeasonWinPercentage,9.297321227995973e-4
P1_sd,9.243865597418253e-4
P1/60_sd,8.222855609693988e-4
CF% QoT_max,6.010715108565284e-4
GoalsFor,3.9235284839675026e-4
AverageGoalDiff_PerGame,3.408048589477457e-4
GS_mean,3.1827373275827034e-4
PointsPercentageofMax,2.514511154596767e-4
Points,2.5007340094846336e-4
PointsPercentage,2.4288455933269319e-4
Round_X4,1.574284104726078e-4
GS/60_mean,5.7409844465918564e-5
CF._Team,6.739572781256096e-6
Round_X4_x_VegasOpeningOdds,3.897275977548755e-6
