Variable,Importance
TOI% QoT_mean,0.09164631127503724
PC1,0.07252848264940151
H2H,0.05155343942675194
Q2Record,0.0404410743642611
VegasOpeningOdds,0.03951074883743451
PenaltyKillPercentage,0.03802396089124334
SOG_Last20,0.03342531736202551
WeightedGPS,0.03228122342276574
Corsi_Last20,0.03159367257383004
FaceoffWinPercentage,0.031236393492322313
PowerPlayOppurtunities,0.030994878661714267
SRS_x_Fenwick_x_ELORating,0.030550237510509618
CorsiDifftoSOSlog,0.027081544890407615
TOI% QoT_sd,0.026501388134603905
PPO_x_PenaltyKill,0.025843513888244102
SOS,0.025733380465928737
Q3Record,0.02541652578489061
WinPercent_Trail2P,0.02504645747638229
TOI% QoC_max,0.024387887543743277
SRStoSOS,0.023385296110365442
ZSR_max,0.023159205545779098
ZSR_mean,0.023142588556366337
Fenwick_Last20,0.021668911514719152
OT_Losses_Lead1P,0.02155584472648442
Q1Record,0.020045542203359534
PenaltyMinstoPowerPlaylog,0.019428712440601327
PowerPlayPercentage,0.018084270866298685
SOG,0.017820020042919153
GStoSOS,0.017213160890278946
SCFtoGoalsAgainstlog,0.016742310968981204
TOI% QoC_mean,0.01663997110087479
SDRecord,0.016351083778374527
PC4,0.016022508216536592
TakeAways,0.015866047794206337
AverageAge,0.015159874482324297
PowerPlaytoPenaltyKill,0.014770331948117119
CF% QoC_mean,0.013976453152138708
PenaltiesDrawn,0.013896665903901971
SDRecord_x_SOS,0.013643545713918254
OTL,0.013569223852776981
CA_Per60Team_log,0.013493318251472004
GiveAways,0.013022452172634931
Ratio_of_GoalstoGoalsAgainstlog,0.012433181432772517
PC5,0.012310304389109985
GoalsPercentage_Last20,0.012184367327758043
WinPercent_Lead1P,0.011987320738106651
Ratio_of_HitstoBlockslog,0.011873871293211208
Round_X2_x_VegasOpeningOdds,0.011491313821785117
PC3,0.011455412130298012
HitsPercentage_Last20,0.011305618706987583
WinPercent_Trail1P,0.011212328003578468
ESPNPower,0.010994382451689835
PDO,0.010686511769318997
GS/60_sd,0.010526432244133372
BlocksPercentage_Last20,0.009896403644096805
CF% QoC_sd,0.009861227177115815
GS/60_max,0.009734881004612407
xGDifftoSOS,0.009704899284397156
RegularSeasonWinPercentage_x_Ratio_of_SRStoPoints,0.00951229492837538
PC2,0.009403763435137569
H2H_x_VegasOpeningOdds,0.00934408541227586
BlocksatES,0.009307768455393257
FaceoffWinPercentage_x_ShotPercentage,0.00923794756032648
knn_W,0.009116067795199426
knn_L,0.009107772038485557
WinPercent_Lead2P,0.009057150664225794
Ratio_of_SRStoPoints,0.009009458582473921
Rel CF%_sd,0.00847363113234627
RegularSeasonWinPercentage_x_PlayerPoints,0.008415976898754524
iCF/60_max,0.008253775902289005
CF_max,0.00814532129418553
Q4Record,0.00808819835112603
CF% QoT_sd,0.008064876196696569
HighDangerSC_Percent,0.00694583361053412
Round_X3,0.00685161059225529
PenaltiesTaken,0.006809317244921716
HitsatES,0.006591380780136098
HDCA,0.006487592813767518
OT_Losses_Lead2P,0.006347509631462951
CF% QoC_max,0.00626952931250991
iCF/60_sd,0.006245655756059836
GS_max,0.006238892573507594
ixGF/60_mean,0.0061877928186925444
Rel CF%_max,0.005977745330709762
ZSR_sd,0.005148647390593099
TOI% QoC_sd,0.005080949705933818
TOI% QoT_max,0.005012775253925752
xGA.60,0.004971704243845659
ixGF/60_max.TO.Rel CF%_max,0.00472647168346124
PenaltyMinsPG,0.004462450730108095
AveragePenaltyDiff_PerGame,0.004356096272757105
ixGF/60_sd,0.00417488411532092
ELORating_Q4,0.0040939930466467956
SCA,0.0037824238041972466
GoalsAgainst,0.003743298547386651
SRS,0.0037120354938105734
CF_sd,0.0035778901342092754
Rel CF%_mean,0.0035241431395270583
Round_X3_x_VegasOpeningOdds,0.0034407100067732964
xGF.60,0.0033522344681146087
GS_max_log,0.0032862126596909236
CF% QoT_mean,0.003186328856179449
P1_mean,0.002996310893395912
ixGF/60_max,0.0029892139124213916
P1/60_mean,0.002933059005539301
WeightedGoalieSavePercntage,0.0029277289694045693
RegularSeasonWinPercentage_x_Points,0.002875926299224761
P1_max,0.0027983515179246456
GS_sd,0.00278645560647748
Round_X2,0.0027284719395639892
MissesPercentage_Last20,0.0026978117209691785
RegularSeasonWinPercentage_x_PointsPercentageofMax,0.002596710174196952
ELORating,0.0025933062457367097
RPI,0.002593084946546295
P1/60_max,0.002576571853869145
PlayerPoints,0.002456492661498
RegularSeasonWinPercentage_x_PointsPercentage,0.0022863984883845744
PowerPlayGoals,0.0022025541916423507
CA_Per60Team,0.0018266244932239608
ShotPercentage,0.0016653999942144667
iCF/60_mean,0.001586258924430277
SCF,0.0015831029672215855
CF_mean,0.0013131378571246222
CF_Per60Team,0.001289213550457657
GoalDiff,0.0011983626784647428
Fenwick,0.0011568236618896722
P1_sd,0.0010168666592189853
P1/60_sd,9.258693819908988e-4
RegularSeasonWinPercentage,8.832438960964018e-4
CF% QoT_max,5.803707804182825e-4
GoalsFor,4.670506815392714e-4
AverageGoalDiff_PerGame,4.237540433907068e-4
PointsPercentageofMax,3.359405730649715e-4
Points,3.178590941649176e-4
PointsPercentage,3.1443270724542077e-4
GS_mean,2.73669159165386e-4
Round_X4,1.9191208540760306e-4
GS/60_mean,4.959724912897443e-5
CF._Team,6.636184306282667e-6
Round_X4_x_VegasOpeningOdds,3.247729981290629e-6
