Variable,Importance
TOI% QoT_mean,0.0860453784911305
PC1,0.06909942494389575
H2H,0.03756039911423326
VegasOpeningOdds,0.032696607616954726
Q2Record,0.030329966364190393
PenaltyKillPercentage,0.02881926556886327
WeightedGPS,0.02853445455601295
PowerPlayOppurtunities,0.02823356067975712
SOG_Last20,0.027457563313597368
TOI% QoC_max,0.025550696301004414
CorsiDifftoSOSlog,0.025371702282382665
FaceoffWinPercentage,0.025219294902625554
Round_X3,0.02455412828008915
SRStoSOS,0.023968123459324142
ZSR_max,0.02367488779072924
SOS,0.02312925113007539
PC3,0.022977674900964484
Corsi_Last20,0.022404693174469994
Fenwick_Last20,0.021912827525004872
PPO_x_PenaltyKill,0.021622424905420653
TOI% QoT_sd,0.02088056827376168
ZSR_mean,0.020832804697134246
Q3Record,0.019981136007844607
SRS_x_Fenwick_x_ELORating,0.019718509961652652
OT_Losses_Lead1P,0.018876246122245224
WinPercent_Trail2P,0.01815893597702075
SOG,0.01726769122339294
Q1Record,0.01646519916064086
PowerPlayPercentage,0.016460850354437617
TakeAways,0.01644220917641336
H2H_x_VegasOpeningOdds,0.015579689988708175
TOI% QoC_mean,0.015419841750222306
PenaltyMinstoPowerPlaylog,0.015245425171780902
GStoSOS,0.014994907052328671
SCFtoGoalsAgainstlog,0.014776019417545288
OTL,0.014241284899811732
Round_X2_x_VegasOpeningOdds,0.013612140810716445
PC4,0.013608656245329996
PowerPlaytoPenaltyKill,0.013241895124810272
SDRecord,0.013104110358500455
Ratio_of_HitstoBlockslog,0.012430576066680049
PC5,0.012285613167438814
CA_Per60Team_log,0.012001522853192965
Ratio_of_GoalstoGoalsAgainstlog,0.011880083023292612
WinPercent_Lead2P,0.01181906531928831
AverageAge,0.01130874388967731
WinPercent_Trail1P,0.01116150439718823
GiveAways,0.010943937396022587
WinPercent_Lead1P,0.010810797344949314
GS/60_sd,0.01078806714595892
Ratio_of_SRStoPoints,0.010780132696468771
GoalsPercentage_Last20,0.010771461203805932
Round_X2,0.01053708271097022
CF% QoC_mean,0.01050740345767111
PenaltiesDrawn,0.010322663765485901
HitsPercentage_Last20,0.010219764159822916
PenaltyKill_PostAllStar,0.010189406263872453
PC2,0.009822289384539608
SDRecord_x_SOS,0.009629215271017334
ESPNPower,0.009237097263822904
Round_X4,0.009156498403872712
xGDifftoSOS,0.00819698003109712
GS/60_max,0.00814359924530096
BlocksPercentage_Last20,0.008079311960495371
BlocksatES,0.007507410950967742
iCF/60_max,0.00736392399759092
HDCA,0.007154592778852321
Q4Record,0.0070505562544171145
Round_X4_x_VegasOpeningOdds,0.007000636097781171
FaceoffWinPercentage_x_ShotPercentage,0.006988352315786815
PDO,0.006849006128094503
iCF/60_sd,0.006801227198808614
CF% QoC_max,0.006603625571149367
HitsatES,0.006558980162714193
CF% QoC_sd,0.006391166158498401
ixGF/60_max.TO.Rel CF%_max,0.006277455221633384
CF% QoT_sd,0.006064621754958636
CF_max,0.0059599515492846636
Rel CF%_sd,0.005733596714721301
PenaltiesTaken,0.005623777926576084
Rel CF%_max,0.005438096245986471
OT_Losses_Lead2P,0.005208289571254493
WAR.TOI_median,0.005205743054757288
ELORating_Q4,0.005130872770849085
ZSR_sd,0.005087674349868193
TOI% QoT_max,0.004987382243554412
GS_max,0.004625967567011062
Round_X3_x_VegasOpeningOdds,0.004486056908749985
HighDangerSC_Percent,0.004429292067704417
TOI% QoC_sd,0.004341070594609438
SCA,0.004318898465671865
xGF.60,0.004152339762845284
PenaltyMinsPG,0.004113495766591927
ixGF/60_mean,0.004112316996888828
AveragePenaltyDiff_PerGame,0.0038228722421827367
GAR.TOI_max,0.0036377338808354543
CF% QoT_mean,0.003503763269645763
WAR.TOI_max,0.003479091429925601
xGA.60,0.0031882351301248837
ixGF/60_sd,0.002900345518949856
ELORating,0.00289903089123933
Rel CF%_mean,0.002893907199438642
ixGF/60_max,0.002784793825700986
RegularSeasonWinPercentage_x_PlayerPoints,0.0027533659344101905
P1_max,0.0027240810782751456
P1/60_max,0.0026980188375860187
MissesPercentage_Last20,0.002554639187182355
RegularSeasonWinPercentage_x_Ratio_of_SRStoPoints,0.002530316068418418
P1/60_mean,0.002509711777757954
WeightedGoalieSavePercntage,0.0024022275129318258
iCF/60_mean,0.002384497172575096
P1_mean,0.0023802285174322796
GoalsAgainst,0.002219829386508042
SRS,0.0021289793127314462
GAR.TOI_median,0.002065146962273838
GS_max_log,0.0019275267392666949
CF_sd,0.0017575069864523294
ShotPercentage,0.0016651808932555457
CA_Per60Team,0.0016096504887851322
PowerPlayGoals,0.0015920901204592754
PlayerPoints,0.0015828719610201142
SCF,0.0015158398176223148
GS_sd,0.0014878102415896437
RPI,0.0013745718999776545
WAR.TOI_mean,0.0011628237177590398
CF_Per60Team,0.001150141681825787
Fenwick,0.0011481066841072239
CF_mean,0.001094261426342515
GAR.TOI_sd,9.229605269538184e-4
GoalDiff,8.645658716157982e-4
P1_sd,8.564142410374065e-4
P1/60_sd,8.466405382717696e-4
RegularSeasonWinPercentage,6.36122790504052e-4
WAR.TOI_sd,5.294481375656928e-4
GAR.TOI_mean,5.273268975133696e-4
CF% QoT_max,4.7640572647195757e-4
RegularSeasonWinPercentage_x_PointsPercentageofMax,3.6925168379496354e-4
RegularSeasonWinPercentage_x_Points,3.606601889390289e-4
RegularSeasonWinPercentage_x_PointsPercentage,3.1001146332300833e-4
AverageGoalDiff_PerGame,3.0648314142071186e-4
GoalsFor,2.918195023625986e-4
PointsPercentage,2.3264763061701854e-4
Points,2.325845114585966e-4
PointsPercentageofMax,2.2967313328253947e-4
GS_mean,8.000352591643791e-5
GS/60_mean,3.2132139083883404e-5
CF._Team,1.3791973253519154e-5
