team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2011,PHI,PHI,Team Level,other,82,0.53,0.53,0.54,12217.0,190.03,31.83,12.95,37.5,6.32,99.16,73.24,29.99,31.83,29.99,181.0,80.0,89.0,350.0,28.0,19.0,4.0,36.0,3.0,83.0,92.0,153.0,233.0,12.0,27.0,187.0,60.0,23.0,31.0,144.0,73.0,44.0,4.88,9.14,17.81,2.0,8.0,18.0,350.0,261.0,261.0,15.0,3.63,5.39,5.39,30.07,30.07,28.72,164.65,28.48,11.06,32.16,5.49,85.09,61.72,26.0,28.48,26.0,169.0,55.0,87.0,311.0,21.0,13.0,4.0,32.0,6.0,70.0,82.0,148.0,203.0,15.0,31.0,155.0,60.0,35.0,34.0,139.0,43.0,42.0,4.66,5.03,18.8,1.0,4.0,16.0,311.0,224.0,224.0,20.0,3.3,5.77,5.53,26.26,26.26,23.91
PHI,2011,PHI,PHI,Team Level,all,82,0.54,0.52,0.52,300118.0,2634.5,269.18,183.16,590.54,85.45,1434.59,1080.07,256.18,269.72,256.74,2641.0,1002.0,1241.0,4884.0,260.0,221.0,46.0,618.0,75.0,1176.0,1293.0,2381.0,3383.0,444.0,1088.0,2331.0,2058.0,478.0,625.0,2658.0,698.0,287.0,78.31,86.68,104.2,65.0,102.0,93.0,4899.7,3643.0,3653.3,383.0,41.25,53.66,54.15,256.29,256.9,249.25,2385.91,225.16,161.62,549.61,78.49,1300.85,987.27,215.72,225.71,216.24,2329.0,974.0,1208.0,4511.0,225.0,190.0,43.0,528.0,79.0,1043.0,1238.0,2104.0,3078.0,458.0,1110.0,2492.0,2158.0,647.0,594.0,2479.0,595.0,229.0,71.23,72.3,81.63,69.0,80.0,76.0,4503.29,3303.0,3303.43,378.0,35.98,43.17,44.08,217.06,217.24,211.52
PHI,2011,PHI,PHI,Team Level,5on5,82,0.52,0.51,0.51,227599.0,1884.68,156.3,123.24,445.36,61.06,1027.71,792.32,151.59,156.84,152.16,1919.0,687.0,934.0,3540.0,168.0,142.0,31.0,475.0,57.0,835.0,929.0,1751.0,2438.0,385.0,965.0,1606.0,1850.0,354.0,477.0,2004.0,465.0,137.0,59.04,58.11,39.16,54.0,77.0,37.0,3555.71,2606.0,2616.3,301.0,25.41,31.46,31.95,149.76,150.37,148.29,1804.27,144.96,116.49,433.93,59.61,984.29,756.73,140.56,145.51,141.09,1768.0,728.0,908.0,3404.0,147.0,132.0,26.0,430.0,61.0,785.0,941.0,1621.0,2349.0,390.0,964.0,1805.0,1935.0,493.0,425.0,1922.0,446.0,128.0,55.92,54.26,34.79,57.0,60.0,30.0,3396.29,2496.0,2496.43,297.0,23.95,27.19,28.4,140.51,140.69,138.53
PHI,2011,PHI,PHI,Team Level,4on5,82,0.18,0.17,0.2,29145.0,89.93,9.81,4.3,11.73,2.57,24.85,67.76,9.6,9.81,9.6,93.0,28.0,19.0,140.0,5.0,7.0,3.0,11.0,1.0,23.0,74.0,88.0,116.0,15.0,34.0,234.0,95.0,84.0,61.0,82.0,26.0,13.0,2.4,3.41,4.0,1.0,1.0,3.0,140.0,121.0,121.0,56.0,1.0,1.86,1.86,8.94,8.94,8.91,354.56,46.03,31.27,75.13,11.67,213.85,116.04,43.52,46.03,43.52,326.0,168.0,187.0,681.0,50.0,42.0,13.0,58.0,10.0,173.0,161.0,276.0,444.0,32.0,73.0,279.0,66.0,33.0,82.0,352.0,90.0,52.0,9.03,10.86,26.13,8.0,13.0,29.0,681.0,494.0,494.0,10.0,8.07,9.66,9.65,44.45,44.45,43.25
PHI,2011,PHI,PHI,Team Level,5on4,82,0.93,0.88,0.88,31157.0,469.87,71.24,42.68,95.96,15.5,282.87,146.75,65.01,71.24,65.01,448.0,207.0,199.0,854.0,59.0,53.0,8.0,96.0,14.0,235.0,198.0,389.0,596.0,32.0,62.0,304.0,53.0,17.0,56.0,428.0,134.0,93.0,12.0,16.02,43.23,8.0,16.0,35.0,854.0,655.0,655.0,11.0,11.2,14.93,14.93,67.51,67.51,63.32,62.43,5.68,2.81,8.39,1.73,17.61,52.77,5.63,5.68,5.63,66.0,23.0,26.0,115.0,7.0,3.0,0.0,8.0,2.0,15.0,54.0,59.0,82.0,21.0,42.0,253.0,97.0,86.0,53.0,66.0,16.0,7.0,1.62,2.16,1.9,3.0,3.0,1.0,115.0,89.0,89.0,51.0,0.66,0.56,0.49,5.85,5.85,5.84
OTT,2011,OTT,OTT,Team Level,other,82,0.61,0.52,0.51,9437.0,160.8,35.3,10.45,29.52,5.14,84.12,58.47,31.88,35.3,31.88,155.0,68.0,75.0,298.0,33.0,11.0,4.0,20.0,5.0,83.0,71.0,122.0,190.0,8.0,16.0,151.0,29.0,31.0,27.0,125.0,51.0,47.0,4.65,6.69,23.96,5.0,6.0,22.0,298.0,223.0,223.0,20.0,3.03,5.45,5.45,32.88,32.88,31.05,153.53,22.15,11.06,30.85,5.16,82.01,60.76,20.88,22.15,20.88,162.0,50.0,61.0,273.0,23.0,20.0,5.0,28.0,8.0,71.0,62.0,139.0,189.0,10.0,20.0,141.0,36.0,37.0,22.0,125.0,59.0,28.0,4.29,7.12,10.74,4.0,5.0,14.0,273.0,212.0,212.0,11.0,3.15,5.36,5.36,19.96,19.96,19.15
OTT,2011,OTT,OTT,Team Level,all,82,0.49,0.52,0.5,299717.0,2598.11,232.97,172.57,597.17,83.14,1439.09,1082.06,223.12,232.78,222.96,2574.0,1033.0,1344.0,4951.0,243.0,167.0,40.0,586.0,80.0,1169.0,1362.0,2331.0,3364.0,400.0,991.0,2453.0,1975.0,642.0,762.0,2742.0,642.0,223.0,76.32,76.93,79.72,70.0,91.0,82.0,4921.46,3607.0,3593.74,453.0,37.91,38.35,39.03,231.86,231.49,225.62,2561.15,239.86,177.77,571.79,82.49,1425.69,1064.4,231.97,241.39,233.49,2627.0,935.0,1078.0,4640.0,236.0,177.0,45.0,556.0,83.0,1091.0,1419.0,2391.0,3326.0,359.0,920.0,2440.0,1828.0,689.0,644.0,2615.0,718.0,229.0,75.4,86.0,78.46,71.0,78.0,87.0,4668.72,3562.0,3581.78,406.0,39.46,39.81,42.09,237.23,238.62,233.72
OTT,2011,OTT,OTT,Team Level,5on5,82,0.49,0.52,0.51,236568.0,2019.68,154.27,128.78,484.28,64.7,1115.67,845.3,149.49,154.07,149.33,2011.0,782.0,1055.0,3848.0,160.0,124.0,28.0,491.0,62.0,892.0,1064.0,1851.0,2633.0,349.0,878.0,1812.0,1826.0,522.0,597.0,2173.0,499.0,121.0,61.01,59.03,34.22,58.0,71.0,31.0,3818.46,2793.0,2779.74,367.0,26.46,25.48,26.27,154.46,154.1,151.45,1932.99,159.37,128.48,447.54,61.65,1072.32,815.64,155.23,160.89,156.75,1956.0,729.0,825.0,3510.0,154.0,119.0,28.0,427.0,65.0,823.0,1097.0,1802.0,2531.0,310.0,815.0,1788.0,1685.0,566.0,490.0,2012.0,541.0,132.0,59.18,64.14,36.04,60.0,55.0,39.0,3538.72,2685.0,2704.78,330.0,26.56,25.38,27.42,158.51,159.9,157.86
OTT,2011,OTT,OTT,Team Level,4on5,82,0.11,0.15,0.16,28895.0,78.81,6.36,3.52,10.8,2.14,23.39,60.78,6.31,6.36,6.31,80.0,27.0,20.0,127.0,7.0,2.0,0.0,7.0,2.0,16.0,73.0,73.0,100.0,14.0,36.0,261.0,87.0,70.0,66.0,82.0,17.0,8.0,2.06,2.27,2.03,3.0,3.0,1.0,127.0,107.0,107.0,60.0,0.83,0.41,0.41,6.78,6.78,6.73,405.14,50.93,34.91,84.96,13.74,251.31,132.14,48.51,50.93,48.51,427.0,141.0,176.0,744.0,52.0,37.0,12.0,93.0,10.0,180.0,196.0,375.0,516.0,21.0,44.0,278.0,44.0,27.0,75.0,414.0,95.0,59.0,10.3,11.64,28.98,4.0,15.0,33.0,744.0,568.0,568.0,13.0,8.98,8.82,9.06,50.84,50.84,48.81
OTT,2011,OTT,OTT,Team Level,5on4,82,0.83,0.86,0.83,24817.0,338.82,37.04,29.82,72.57,11.16,215.92,117.5,35.44,37.04,35.44,328.0,156.0,194.0,678.0,43.0,30.0,8.0,68.0,11.0,178.0,154.0,285.0,441.0,29.0,61.0,229.0,33.0,19.0,72.0,362.0,75.0,47.0,8.59,8.93,19.52,4.0,11.0,28.0,678.0,484.0,484.0,6.0,7.6,7.02,6.91,37.73,37.73,36.41,69.48,7.41,3.31,8.43,1.94,20.05,55.85,7.35,7.41,7.35,82.0,15.0,16.0,113.0,7.0,1.0,0.0,8.0,0.0,17.0,64.0,75.0,90.0,18.0,41.0,233.0,63.0,59.0,57.0,64.0,23.0,10.0,1.62,3.1,2.69,3.0,3.0,1.0,113.0,97.0,97.0,52.0,0.77,0.25,0.25,7.93,7.93,7.91
