ResultProper,PlayerPoints,Points,WeightedGoalieSavePercntage,WeightedGPS,H2H,Q1Record,Q2Record,Q3Record,Q4Record,SDRecord
W,157,21,0.022397503710856026,2.426590600312819,1,-0.44999999999999996,0.04999999999999993,-0.050000000000000044,0,-0.05904208606608877
W,113,19,-0.0051935145453196885,2.787498624661924,1,-0.04999999999999993,-0.3,-0.30000000000000004,0.1363636363636364,0.0057232442631738045
W,-34,1,-0.004878648315180256,3.7944317504950824,0,0.10000000000000003,0.15000000000000002,0,-0.3181818181818181,-0.017331011357622522
W,62,9,0.012192770778083117,2.0398726940674754,0.5,0.04999999999999993,-0.050000000000000044,-0.30000000000000004,-0.045454545454545525,0.06038268574915942
L,133,29,0.02130574472274116,4.631861010908002,0,0.25,0,0.24999999999999994,0.3181818181818182,0.007056742151139078
L,-66,17,-0.00032430246663961437,2.146956952687744,0.5,0.09999999999999998,0.2,0,0.18181818181818182,-0.08775749808236205
L,-103,5,0.007196523443368519,4.571563733457163,0,0.20000000000000007,0.09999999999999998,0.050000000000000044,-0.18181818181818177,-0.07417871670193531
L,-26,7,0.02213022725407332,7.660185590026725,0,0.29999999999999993,0,0.04999999999999999,-0.09090909090909094,-0.05543278896958591
L,77,3,0.004746051519742944,-0.3429551567567035,0.25,0.29999999999999993,-0.19999999999999996,0,-0.09090909090909094,0.06795392358247113
W,117,11,-0.008388089297306167,-4.394456700340799,0,-0.24999999999999994,-0.19999999999999996,-0.10000000000000009,0.22727272727272724,0.007645121790394699
L,34,4,0.0075125894738337085,2.2943044144202203,-0.5,-0.09999999999999998,-0.04999999999999993,0,0.27272727272727276,0.07478866237284729
W,-91,3,0.012357900923190779,4.159953086555134,-0.5,0.20000000000000007,-0.10000000000000003,0.15000000000000002,-0.22727272727272724,-0.042518323761981
W,4,2,-0.009267699210932179,0.22058051933152356,0.5,-0.1499999999999999,0.15000000000000002,-0.15000000000000002,0.1363636363636364,-0.06057553819473199
L,-4,3,0.024144450535834916,7.202917389429948,-1,-0.15000000000000002,-0.04999999999999993,0.04999999999999999,0.22727272727272724,0.06742586074382032
W,80,17,0.012306129002544464,6.1805241261817185,NA,-0.19999999999999996,0,-0.35000000000000003,0,-0.07773826853527885
W,170,21,-0.006680040120361053,-1.1775325977933822,0.5,-0.30000000000000004,-0.2,-0.050000000000000044,-0.09090909090909094,-0.08450049372821003
W,-74,14,0.03266473104984524,11.669174627473492,-0.5,-0.09999999999999998,-0.15000000000000002,0.050000000000000044,-0.045454545454545414,0.07749391033574408
L,-7,3,-0.0010104734962250728,-0.19281586695570851,0.5,0.09999999999999998,0.10000000000000003,-0.15000000000000002,0,0.058461394239562196
W,59,0,0.00746382813351254,-0.03677937989563951,-0.5,0.09999999999999998,-0.25,0.050000000000000044,0.045454545454545414,0.0221111509497475
W,-18,17,-0.006894442096845976,-7.81845603507962,0,-0.09999999999999998,-0.09999999999999998,-0.15000000000000002,0,-0.02224430183371288
W,96,6,-0.01000163917750363,0.6491753731701921,0,-0.050000000000000044,-0.3,0.20000000000000007,0.13636363636363635,-0.05471853595081892
W,5,-2,0.0090638656128047,6.789750033251547,0,0.24999999999999994,-0.04999999999999993,-0.1499999999999999,0,-0.033095780834150795
L,24,3,0.010488076645223443,2.775951234255441,0.5,-0.04999999999999993,0.050000000000000044,0.09999999999999998,-0.09090909090909094,-0.010861111060608011
W,189,19,-0.002476830491474402,-1.9039719157472454,1,-0.30000000000000004,-0.2,-0.050000000000000044,0,-0.05077493319401761
L,-203,2,0.0058641685144122935,6.065949741315594,0.5,0.19999999999999996,-0.09999999999999998,0,-0.045454545454545525,-0.0594780889945138
W,-32,6,-0.003650179123521613,-0.5359407665505227,-0.5,0.09999999999999998,-0.050000000000000044,-0.09999999999999998,0.09090909090909094,0.013271769630594878
W,98,5,-0.007021010896841595,-7.011832229331041,0.5,-0.2,-0.15000000000000002,0.35,0.045454545454545414,-0.06390292830812297
L,38,8,-0.00655493024528131,-0.16239749551685634,-0.25,0.4,0,-0.1499999999999999,0,-0.021787625490300666
L,-24,3,-0.004792671195713694,-1.683298555377208,0,-0.050000000000000044,-0.09999999999999998,0.30000000000000004,-0.045454545454545525,-0.12014745136775606
W,-87,5,-0.001593339413395567,-1.6438875918089408,NA,-0.25,-0.09999999999999998,0.35,0,-0.038721400851985804
W,139,10,0.004107925870790341,-1.5223869879455094,1,0,0,-0.04999999999999993,-0.22727272727272724,-0.04050448481512413
W,-32,8,0.013649518241112824,-1.355035531779472,-0.5,0.4,-0.19999999999999996,-0.14999999999999997,-0.2272727272727273,0.0643100284684176
L,-11,-1,-0.012669142007929457,-5.893321334380366,0,-0.3,0.04999999999999999,0.14999999999999997,0.13636363636363635,0.09043276011644857
