BlocksatES,FaceoffWinPercentage,GiveAways,HitsatES,OT_Losses_Lead1P,OT_Losses_Lead2P,TakeAways,WinPercent_Lead1P,WinPercent_Lead2P,WinPercent_Trail1P,WinPercent_Trail2P
26,0.19999999999999574,143,790,2,0,28,0.03200000000000003,0.11699999999999999,0.04199999999999998,0.036000000000000004
124,2.4000000000000057,-319,-504,-1,0,-466,0.14400000000000002,0.16499999999999992,0.09799999999999998,0.038000000000000006
-231,2,137,-30,-1,1,-14,0.015000000000000013,0.03300000000000003,0.02300000000000002,0.01999999999999999
133,0.20000000000000284,131,-221,1,-2,-63,0.10799999999999998,0.123,-0.024999999999999967,0.11400000000000002
-225,-0.6000000000000014,-399,-54,0,0,32,0.09800000000000009,0.10999999999999999,0.29700000000000004,-0.07300000000000001
-214,2.1999999999999957,333,771,-4,0,-221,0.22099999999999997,-0.09300000000000008,0.206,0.313
302,-0.30000000000000426,272,402,0,-2,86,-0.05899999999999994,0.030000000000000027,0.124,0.043999999999999984
193,5.399999999999999,-226,-256,4,3,28,-0.127,-0.049000000000000044,0.23200000000000004,0.09999999999999998
-110,0.5999999999999943,-36,692,1,-1,188,-0.010000000000000009,0.06399999999999995,-0.028000000000000025,-0.10200000000000004
270,2.200000000000003,-436,-22,-1,-2,-139,0.031000000000000028,0.052999999999999936,0.09599999999999997,0.014000000000000012
-269,-5,-462,208,-3,-1,-143,0.137,0.06600000000000006,0.032999999999999974,-0.07300000000000001
-592,2.6000000000000014,-100,295,-2,2,-361,0.051999999999999935,-0.07100000000000006,0.093,0.05600000000000001
48,2,-352,72,0,-1,71,0,0.04699999999999993,0.03699999999999998,-0.05500000000000002
-505,-2.6999999999999957,-705,43,1,2,-106,-0.008000000000000007,-0.0020000000000000018,0.061,-0.14300000000000002
92,-1.6999999999999957,-770,-58,-1,0,-137,0.17900000000000005,0.09899999999999998,0.09799999999999998,-0.047000000000000014
-59,-0.20000000000000284,183,-536,-4,-3,-258,0.07200000000000006,0.019000000000000017,0.265,0.10700000000000001
121,0.10000000000000142,48,73,1,-2,-87,0.014000000000000012,0.09700000000000009,0.0040000000000000036,-0.11099999999999999
-93,3,125,-281,1,0,200,0.02200000000000002,-0.04400000000000004,0.11699999999999999,-0.03900000000000001
4,3.299999999999997,221,464,-2,-1,247,0.11299999999999999,-0.04799999999999993,0.009000000000000008,-0.04600000000000001
-193,5.200000000000003,60,-219,3,2,-16,-0.06500000000000006,-0.041000000000000036,0.22699999999999998,0.17300000000000001
-278,4.199999999999996,32,530,4,5,18,-0.09099999999999997,-0.124,0.027000000000000024,0.015000000000000013
-169,-0.8999999999999986,-268,-464,0,4,-202,-0.11499999999999999,-0.049000000000000044,-0.10499999999999998,-0.096
-44,-0.8000000000000043,-186,-222,1,2,120,-0.10899999999999999,-0.03700000000000003,0.10399999999999998,0.064
-138,1.5,226,-510,-4,-3,-114,0.248,0.07699999999999996,0.22099999999999997,0.0050000000000000044
-115,-1.2999999999999972,1,-495,-1,-3,-39,-0.006000000000000005,0.11199999999999999,-0.063,0.038000000000000006
-218,2.5,188,-191,2,0,177,-0.11199999999999999,0.0010000000000000009,0.192,0.185
-142,2.5999999999999943,173,328,3,0,86,-0.05400000000000005,0.009000000000000008,0.21000000000000002,-0.026999999999999996
6,1.1000000000000014,191,-571,-4,-2,-173,0.10399999999999998,0.04799999999999993,0.032999999999999974,0.10900000000000001
108,1.8000000000000043,269,-262,-1,-2,84,0.017000000000000015,0.050000000000000044,0.04999999999999999,0.121
-514,1.5,-91,-309,1,1,-111,-0.06500000000000006,0.041999999999999926,0.01200000000000001,0.04600000000000001
465,-0.10000000000000142,314,414,-1,0,214,0.124,-0.02100000000000002,-0.04999999999999999,-0.085
118,-5.5,-251,-245,-1,-1,-109,0.02200000000000002,0.04300000000000004,0.22100000000000003,0.05499999999999999
-168,1.9000000000000057,121,184,0,-1,151,-0.049000000000000044,0.018000000000000016,-0.031000000000000028,-0.089
-183,-1.8999999999999986,-134,-666,-2,-2,-144,0.04800000000000004,0.008000000000000007,0.16,0.07899999999999999
