HitsatES,BlocksatES,FaceoffWinPercentage,GiveAways,TakeAways
790,26,0.19999999999999574,143,28
-504,124,2.4000000000000057,-319,-466
-30,-231,2,137,-14
-221,133,0.20000000000000284,131,-63
-54,-225,-0.6000000000000014,-399,32
771,-214,2.1999999999999957,333,-221
402,302,-0.30000000000000426,272,86
-256,193,5.399999999999999,-226,28
692,-110,0.5999999999999943,-36,188
-22,270,2.200000000000003,-436,-139
208,-269,-5,-462,-143
295,-592,2.6000000000000014,-100,-361
72,48,2,-352,71
43,-505,-2.6999999999999957,-705,-106
-58,92,-1.6999999999999957,-770,-137
-536,-59,-0.20000000000000284,183,-258
73,121,0.10000000000000142,48,-87
-281,-93,3,125,200
464,4,3.299999999999997,221,247
-219,-193,5.200000000000003,60,-16
530,-278,4.199999999999996,32,18
-464,-169,-0.8999999999999986,-268,-202
-222,-44,-0.8000000000000043,-186,120
-510,-138,1.5,226,-114
-495,-115,-1.2999999999999972,1,-39
-191,-218,2.5,188,177
328,-142,2.5999999999999943,173,86
-571,6,1.1000000000000014,191,-173
-262,108,1.8000000000000043,269,84
-309,-514,1.5,-91,-111
414,465,-0.10000000000000142,314,214
-245,118,-5.5,-251,-109
184,-168,1.9000000000000057,121,151
-666,-183,-1.8999999999999986,-134,-144
-41,-164,2.799999999999997,94,-200
156,228,1.7000000000000028,115,-110
70,-165,-0.5,-3,-147
0,-73,-0.19999999999999574,-191,-177
592,170,-0.29999999999999716,88,130
-580,116,-6.199999999999996,-69,-206
245,-372,5.5,37,-106
170,199,0.8000000000000043,-19,-212
142,-44,-3.1999999999999957,-167,-33
-206,-84,2.8999999999999986,-199,-187
-144,-420,7.199999999999996,98,55
-149,-244,0.10000000000000142,-478,-148
-650,154,0.9000000000000057,537,168
-268,-224,0,-30,-234
227,37,0.8000000000000043,-255,-177
284,167,4,165,97
-439,-281,3.8999999999999986,229,-62
-296,-135,2.799999999999997,157,86
-32,58,-3.1999999999999957,-289,-43
109,-122,-0.29999999999999716,-17,-167
-277,-169,2.6000000000000014,358,298
-278,-60,5.300000000000004,-62,-31
-205,147,3.799999999999997,239,89
223,86,-2.1999999999999957,149,-197
-40,-105,7,195,-43
-459,-539,6,-44,-23
189,-191,1.7999999999999972,-150,96
-207,-291,-0.7000000000000028,31,-73
-547,24,-4,346,93
215,-11,0,-134,-313
366,-164,7.899999999999999,164,-121
136,61,3.1999999999999957,-237,6
-623,1,0.7999999999999972,-237,153
-170,56,-1.1000000000000014,-385,-176
612,-162,-0.4000000000000057,-287,-174
128,-282,2.5,-189,-172
-38,148,4.5,5,-17
56,76,1,-28,113
265,-90,0.3999999999999986,-246,-3
379,-5,3.200000000000003,260,-120
-252,-187,2.299999999999997,-114,124
-448,-44,3.8999999999999986,247,53
400,149,2.5999999999999943,-38,4
78,-100,2.8999999999999986,-196,-95
633,-167,-1.1999999999999957,-166,-129
-33,-73,4.100000000000001,-65,-168
-326,109,2.6000000000000014,-34,229
-87,-139,0.3999999999999986,192,97
252,241,-2.5,-104,-270
238,8,1.2000000000000028,20,84
169,145,-1.6000000000000014,113,144
107,64,4.699999999999996,-177,-120
7,224,1.8000000000000043,88,111
89,-77,1.5,-131,-149
-10,-70,1.1999999999999957,-267,-84
55,-101,3,13,172
444,260,-0.20000000000000284,-237,-106
-194,-248,4.5,-199,-146
181,114,3.5,-133,116
0,-143,2.1000000000000014,-134,-39
-448,50,0.6000000000000014,-188,87
384,-207,-2.8999999999999986,-431,-139
584,42,-0.3999999999999986,-68,-293
-98,241,-2.6000000000000014,76,116
447,36,-0.10000000000000142,-212,-66
381,280,1.1999999999999957,-7,-8
-325,151,-1.1000000000000014,-390,48
570,-142,1.1000000000000014,-138,-160
742,410,2.799999999999997,-107,50
-190,102,-1.3999999999999986,-250,30
-597,-41,-4.399999999999999,-138,34
211,-31,1.7999999999999972,-177,-155
-240,86,0.6999999999999957,-6,-52
-322,-8,0.7999999999999972,69,36
-426,-176,6.399999999999999,-152,-51
-116,38,-1.6000000000000014,30,205
284,216,-3.299999999999997,13,-5
-11,-234,-5.799999999999997,-135,-19
-326,166,-1.2999999999999972,-207,66
-78,119,2.3999999999999986,-102,-85
-213,-123,6.399999999999999,68,7
-25,92,0,-21,182
415,-289,-1.3999999999999986,-51,-117
29,85,-4.899999999999999,-104,-51
-606,141,-1.2000000000000028,-81,241
-360,2,-5.600000000000001,-57,189
387,37,0.8999999999999986,6,40
-80,-370,-0.3999999999999986,-6,66
-447,106,-0.5,160,-101
-269,-81,-1.2000000000000028,119,119
623,76,-1.3999999999999986,59,85
464,98,-0.10000000000000142,-291,-39
380,32,-0.8999999999999986,-123,-122
-977,359,0,-34,297
286,-440,2,-38,106
257,68,2.200000000000003,-97,-178
-37,-103,1.1000000000000014,165,35
-585,315,-3.5999999999999943,-197,103
-183,372,0.8000000000000043,-60,-118
-1234,96,-0.7999999999999972,-226,239
704,-192,4,161,-220
-583,361,3.8999999999999986,111,-191
190,190,-1.7999999999999972,66,115
-582,65,-2.3999999999999986,194,226
-350,-52,2,-232,-185
524,-60,3.5,-97,-53
334,140,-3.1000000000000014,26,-64
-108,42,2.700000000000003,-27,-57
-200,-341,-0.6999999999999957,-210,-312
-63,308,2.3999999999999986,163,-73
-422,-112,-4.5,78,78
34,-193,2.1000000000000014,112,8
519,-395,4.200000000000003,-154,-335
154,61,-3,108,137
944,122,-0.3999999999999986,111,-114
402,58,-2.299999999999997,33,-63
-401,-380,0,-208,-117
31,118,-1,80,55
-202,-43,-1.3999999999999986,39,110
-217,-223,1,-193,-103
150,15,-2.299999999999997,315,72
548,-6,2,-197,27
348,-54,3.1999999999999957,169,-45
809,-265,-0.20000000000000284,-203,-246
-629,-295,-0.6000000000000014,-139,-153
47,175,-0.6000000000000014,95,65
-381,97,-1.0999999999999943,427,71
-200,60,2,298,120
265,64,0.7000000000000028,-48,30
251,-165,0.5999999999999943,-486,-89
261,-201,-0.5,-300,-93
149,-31,1.8999999999999986,74,-116
338,258,-2.200000000000003,80,-79
-209,-64,-0.10000000000000142,32,-89
406,128,-1,122,15
-482,116,-3.8999999999999986,78,45
-404,26,1.6000000000000014,69,4
596,37,5.800000000000004,-39,-233
534,-65,-1.1000000000000014,-134,-33
399,108,2.6000000000000014,-68,-110
-333,-205,2.1999999999999957,195,111
28,25,-1.1000000000000014,-267,-37
73,-146,7.700000000000003,-182,-214
-54,-45,-3.3999999999999986,-133,-5
486,38,3.3000000000000043,68,-145
400,197,-3.799999999999997,-40,-24
-88,-49,1.2000000000000028,39,-104
282,-32,-1.0999999999999943,-245,-8
39,2,2,364,-25
281,-46,-3.0999999999999943,-23,104
23,-95,9.099999999999994,288,125
464,-55,2.6000000000000014,320,109
-348,-19,-0.8000000000000043,-59,459
569,-148,0.09999999999999432,7,-230
-186,55,-2.5,-68,-107
-167,36,0.19999999999999574,148,10
-175,-36,0.8999999999999986,-36,59
387,-202,-2.3000000000000043,-45,145
-56,-93,-2.1999999999999957,-190,-17
64,61,3.5,52,-266
-17,-41,-1.5,-103,263
