Year,Team1,Team2,Conference,Highest.Seed,Round
2006,Ottawa Senators,Tampa Bay Lightning,eastern,Ottawa Senators,quarter-finals
2006,Carolina Hurricanes,Montreal Canadiens,eastern,Carolina Hurricanes,quarter-finals
2006,New Jersey Devils,New York Rangers,eastern,New Jersey Devils,quarter-finals
2006,Buffalo Sabres,Philadelphia Flyers,eastern,Buffalo Sabres,quarter-finals
2006,Edmonton Oilers,Detroit Red Wings,western,Detroit Red Wings,quarter-finals
2006,Colorado Avalanche,Dallas Stars,western,Dallas Stars,quarter-finals
2006,Mighty Ducks of Anaheim,Calgary Flames,western,Calgary Flames,quarter-finals
2006,San Jose Sharks,Nashville Predators,western,Nashville Predators,quarter-finals
2006,Buffalo Sabres,Ottawa Senators,eastern,Ottawa Senators,semi-finals
2006,Carolina Hurricanes,New Jersey Devils,eastern,Carolina Hurricanes,semi-finals
2006,Edmonton Oilers,San Jose Sharks,western,San Jose Sharks,semi-finals
2006,Mighty Ducks of Anaheim,Colorado Avalanche,western,Mighty Ducks of Anaheim,semi-finals
2006,Carolina Hurricanes,Buffalo Sabres,eastern,Carolina Hurricanes,finals
2006,Edmonton Oilers,Mighty Ducks of Anaheim,western,Mighty Ducks of Anaheim,finals
2006,Carolina Hurricanes,Edmonton Oilers,N/A,Carolina Hurricanes,stanley-cup-final
2007,Buffalo Sabres,New York Islanders,eastern,Buffalo Sabres,quarter-finals
2007,New Jersey Devils,Tampa Bay Lightning,eastern,New Jersey Devils,quarter-finals
2007,New York Rangers,Atlanta Thrashers,eastern,Atlanta Thrashers,quarter-finals
2007,Ottawa Senators,Pittsburgh Penguins,eastern,Ottawa Senators,quarter-finals
2007,Detroit Red Wings,Calgary Flames,western,Detroit Red Wings,quarter-finals
2007,Anaheim Ducks,Minnesota Wild,western,Anaheim Ducks,quarter-finals
2007,Vancouver Canucks,Dallas Stars,western,Vancouver Canucks,quarter-finals
2007,San Jose Sharks,Nashville Predators,western,Nashville Predators,quarter-finals
2007,Buffalo Sabres,New York Rangers,eastern,Buffalo Sabres,semi-finals
2007,Ottawa Senators,New Jersey Devils,eastern,New Jersey Devils,semi-finals
2007,Detroit Red Wings,San Jose Sharks,western,Detroit Red Wings,semi-finals
2007,Anaheim Ducks,Vancouver Canucks,western,Anaheim Ducks,semi-finals
2007,Ottawa Senators,Buffalo Sabres,eastern,Buffalo Sabres,finals
2007,Anaheim Ducks,Detroit Red Wings,western,Detroit Red Wings,finals
2007,Anaheim Ducks,Ottawa Senators,N/A,Anaheim Ducks,stanley-cup-final
2008,Montreal Canadiens,Boston Bruins,eastern,Montreal Canadiens,quarter-finals
2008,Pittsburgh Penguins,Ottawa Senators,eastern,Pittsburgh Penguins,quarter-finals
2008,Philadelphia Flyers,Washington Capitals,eastern,Washington Capitals,quarter-finals
2008,New York Rangers,New Jersey Devils,eastern,New Jersey Devils,quarter-finals
2008,Detroit Red Wings,Nashville Predators,western,Detroit Red Wings,quarter-finals
2008,San Jose Sharks,Calgary Flames,western,San Jose Sharks,quarter-finals
2008,Colorado Avalanche,Minnesota Wild,western,Minnesota Wild,quarter-finals
2008,Dallas Stars,Anaheim Ducks,western,Anaheim Ducks,quarter-finals
2008,Philadelphia Flyers,Montreal Canadiens,eastern,Montreal Canadiens,semi-finals
2008,Pittsburgh Penguins,New York Rangers,eastern,Pittsburgh Penguins,semi-finals
2008,Detroit Red Wings,Colorado Avalanche,western,Detroit Red Wings,semi-finals
2008,Dallas Stars,San Jose Sharks,western,San Jose Sharks,semi-finals
2008,Pittsburgh Penguins,Philadelphia Flyers,eastern,Pittsburgh Penguins,finals
2008,Detroit Red Wings,Dallas Stars,western,Detroit Red Wings,finals
2008,Detroit Red Wings,Pittsburgh Penguins,N/A,Detroit Red Wings,stanley-cup-final
2009,Boston Bruins,Montreal Canadiens,eastern,Boston Bruins,quarter-finals
2009,Washington Capitals,New York Rangers,eastern,Washington Capitals,quarter-finals
2009,Carolina Hurricanes,New Jersey Devils,eastern,New Jersey Devils,quarter-finals
2009,Pittsburgh Penguins,Philadelphia Flyers,eastern,Pittsburgh Penguins,quarter-finals
2009,Anaheim Ducks,San Jose Sharks,western,San Jose Sharks,quarter-finals
2009,Detroit Red Wings,Columbus Blue Jackets,western,Detroit Red Wings,quarter-finals
2009,Vancouver Canucks,St Louis Blues,western,Vancouver Canucks,quarter-finals
2009,Chicago Blackhawks,Calgary Flames,western,Chicago Blackhawks,quarter-finals
2009,Carolina Hurricanes,Boston Bruins,eastern,Boston Bruins,semi-finals
2009,Pittsburgh Penguins,Washington Capitals,eastern,Washington Capitals,semi-finals
2009,Detroit Red Wings,Anaheim Ducks,western,Detroit Red Wings,semi-finals
2009,Chicago Blackhawks,Vancouver Canucks,western,Vancouver Canucks,semi-finals
2009,Pittsburgh Penguins,Carolina Hurricanes,eastern,Pittsburgh Penguins,finals
2009,Detroit Red Wings,Chicago Blackhawks,western,Detroit Red Wings,finals
2009,Pittsburgh Penguins,Detroit Red Wings,N/A,Detroit Red Wings,stanley-cup-final
2010,Montreal Canadiens,Washington Capitals,eastern,Washington Capitals,quarter-finals
2010,Philadelphia Flyers,New Jersey Devils,eastern,New Jersey Devils,quarter-finals
2010,Boston Bruins,Buffalo Sabres,eastern,Buffalo Sabres,quarter-finals
2010,Pittsburgh Penguins,Ottawa Senators,eastern,Pittsburgh Penguins,quarter-finals
2010,San Jose Sharks,Colorado Avalanche,western,San Jose Sharks,quarter-finals
2010,Chicago Blackhawks,Nashville Predators,western,Chicago Blackhawks,quarter-finals
2010,Vancouver Canucks,Los Angeles Kings,western,Vancouver Canucks,quarter-finals
2010,Detroit Red Wings,Phoenix Coyotes,western,Phoenix Coyotes,quarter-finals
2010,Montreal Canadiens,Pittsburgh Penguins,eastern,Pittsburgh Penguins,semi-finals
