Year,Up.To.Round,Team,CF.Playoff.PK,CA.Playoff.PK,FenFor.Playoff.PK,FenAga.Playoff.PK,SCF.Playoff.PK,SCA.Playoff.PK,HDSV.Playoff.PK,HDCF.Playoff.PK,HDCA.Playoff.PK,SavePercentage.Playoff.PK,PDO.Playoff.PK,xGF.Playoff.PK,xGA.Playoff.PK
2008,quarter-finals,Boston Bruins,27.57,101.44,22.05,63.95,7.72,46.31,91.67,2.21,20.95,93.18,0.998,NA,NA
2008,quarter-finals,Montreal Canadiens,11.42,106.22,11.42,71.95,9.14,44.54,85.71,5.71,13.71,92.5,0.925,NA,NA
2008,quarter-finals,Ottawa Senators,19.4,126.09,16.17,103.46,11.32,72.74,75,6.47,37.18,88.24,0.882,NA,NA
2008,quarter-finals,Pittsburgh Penguins,12.21,119.08,9.16,82.44,0,36.64,66.67,0,18.32,94.12,0.941,NA,NA
2008,quarter-finals,Philadelphia Flyers,11.01,114.5,8.81,78.17,5.5,53.94,76.92,1.1,22.02,84,0.84,NA,NA
2008,quarter-finals,Washington Capitals,18.3,118.95,16.27,92.52,10.17,65.07,81.25,4.07,22.37,88.06,0.881,NA,NA
2008,quarter-finals,New York Rangers,13.03,73.3,13.03,50.5,8.14,35.84,77.78,4.89,22.81,76.19,0.929,NA,NA
2008,quarter-finals,New Jersey Devils,17.97,62.88,15.72,56.14,13.47,35.93,62.5,8.98,20.21,76.47,0.765,NA,NA
2008,quarter-finals,Nashville Predators,19.82,106.17,18.4,83.52,8.49,59.46,93.75,4.25,25.48,93.62,0.936,NA,NA
2008,quarter-finals,Detroit Red Wings,31.29,69.94,25.77,46.01,11.04,33.13,50,1.84,9.2,89.47,0.972,NA,NA
2008,quarter-finals,Calgary Flames,7.22,104.71,6.02,84.25,3.61,50.55,83.33,2.41,28.89,89.83,0.898,NA,NA
2008,quarter-finals,San Jose Sharks,13.47,65.42,9.62,51.95,5.77,30.79,42.86,1.92,17.32,71.43,0.714,NA,NA
2008,quarter-finals,Colorado Avalanche,3.26,136.83,3.26,112.4,1.63,58.64,92.86,1.63,27.69,94.44,1.444,NA,NA
2008,quarter-finals,Minnesota Wild,16.37,83.04,14.04,66.67,7.02,46.78,66.67,3.51,18.71,86.05,1.027,NA,NA
2008,quarter-finals,Dallas Stars,15.3,93.53,11.9,69.72,6.8,47.61,40,1.7,15.3,82.14,0.821,NA,NA
2008,quarter-finals,Anaheim Ducks,12.81,81.14,9.61,69.4,7.47,39.5,64.71,1.07,20.28,81.82,0.818,NA,NA
2008,semi-finals,Boston Bruins,27.57,101.44,22.05,63.95,7.72,46.31,91.67,2.21,20.95,93.18,0.998,NA,NA
2008,semi-finals,Montreal Canadiens,17.36,99.64,15.85,67.18,9.81,40.01,76.92,5.28,15.1,88.14,0.937,NA,NA
2008,semi-finals,Ottawa Senators,19.4,126.09,16.17,103.46,11.32,72.74,75,6.47,37.18,88.24,0.882,NA,NA
2008,semi-finals,Pittsburgh Penguins,8.44,107.9,6.57,72.24,3.75,47.85,88.24,0.94,22.52,92.45,0.925,NA,NA
2008,semi-finals,Philadelphia Flyers,14.24,109.37,11,79.6,5.82,56.3,75,2.59,28.47,84.15,0.932,NA,NA
2008,semi-finals,Washington Capitals,18.3,118.95,16.27,92.52,10.17,65.07,81.25,4.07,22.37,88.06,0.881,NA,NA
2008,semi-finals,New York Rangers,14.51,85.55,12.22,66.45,7.64,46.59,81.82,3.06,24.44,83.87,0.939,NA,NA
2008,semi-finals,New Jersey Devils,17.97,62.88,15.72,56.14,13.47,35.93,62.5,8.98,20.21,76.47,0.765,NA,NA
2008,semi-finals,Nashville Predators,19.82,106.17,18.4,83.52,8.49,59.46,93.75,4.25,25.48,93.62,0.936,NA,NA
2008,semi-finals,Detroit Red Wings,25.2,78.63,21.17,60.49,11.09,41.33,61.54,5.04,16.13,86.67,1.017,NA,NA
2008,semi-finals,Calgary Flames,7.22,104.71,6.02,84.25,3.61,50.55,83.33,2.41,28.89,89.83,0.898,NA,NA
2008,semi-finals,San Jose Sharks,14.66,63.24,10.08,49.49,7.33,29.33,57.14,1.83,15.58,74.42,1.144,NA,NA
2008,semi-finals,Colorado Avalanche,3.44,127.31,2.58,105.81,0.86,60.22,76.92,0.86,27.53,89.69,1.23,NA,NA
2008,semi-finals,Minnesota Wild,16.37,83.04,14.04,66.67,7.02,46.78,66.67,3.51,18.71,86.05,1.027,NA,NA
2008,semi-finals,Dallas Stars,11.88,81.65,8.91,60.12,6.68,44.54,58.33,0.74,14.85,86.79,0.868,NA,NA
2008,semi-finals,Anaheim Ducks,12.81,81.14,9.61,69.4,7.47,39.5,64.71,1.07,20.28,81.82,0.818,NA,NA
2008,finals,Boston Bruins,27.57,101.44,22.05,63.95,7.72,46.31,91.67,2.21,20.95,93.18,0.998,NA,NA
2008,finals,Montreal Canadiens,17.36,99.64,15.85,67.18,9.81,40.01,76.92,5.28,15.1,88.14,0.937,NA,NA
2008,finals,Ottawa Senators,19.4,126.09,16.17,103.46,11.32,72.74,75,6.47,37.18,88.24,0.882,NA,NA
