Year,Up.To.Round,Team,CF.Playoff.PP,CA.Playoff.PP,FenFor.Playoff.PP,FenAga.Playoff.PP,SCF.Playoff.PP,SCA.Playoff.PP,HDSV.Playoff.PP,HDCF.Playoff.PP,HDCA.Playoff.PP,SavePercentage.Playoff.PP,PDO.Playoff.PP,xGF.Playoff.PP,xGA.Playoff.PP
2008,quarter-finals,Montreal Canadiens,101.44,27.57,63.95,22.05,5.28,0.75,0,66.67,10,4.35,100,NA,NA
2008,quarter-finals,Boston Bruins,106.22,11.42,71.95,11.42,5.36,0.93,0,100,11.76,4.35,100,NA,NA
2008,quarter-finals,Ottawa Senators,119.08,12.21,82.44,9.16,6.44,0.1,0,100,12.5,0,100,NA,NA
2008,quarter-finals,Pittsburgh Penguins,126.09,19.4,103.46,16.17,9.89,1.35,0,100,14.29,6.67,100,NA,NA
2008,quarter-finals,Philadelphia Flyers,118.95,18.3,92.52,16.27,8.29,0.86,0,100,12.2,11.54,100,NA,NA
2008,quarter-finals,Washington Capitals,114.5,11.01,78.17,8.81,7.98,0.51,0,100,20.69,9.52,100,NA,NA
2008,quarter-finals,New York Rangers,62.88,17.97,56.14,15.72,5.1,1.58,0,100,36.36,0,100,NA,NA
2008,quarter-finals,New Jersey Devils,73.3,13.03,50.5,13.03,6.08,1.27,1.63,80,28.57,14.29,100,NA,NA
2008,quarter-finals,Nashville Predators,69.94,31.29,46.01,25.77,3.77,0.87,0,100,16.67,0,100,NA,NA
2008,quarter-finals,Detroit Red Wings,106.17,19.82,83.52,18.4,7.27,0.88,0,100,8,4.76,100,NA,NA
2008,quarter-finals,Calgary Flames,65.42,13.47,51.95,9.62,4.6,0.65,0,100,41.67,11.11,100,NA,NA
2008,quarter-finals,San Jose Sharks,104.71,7.22,84.25,6.02,8.11,0.38,0,100,18.18,0,100,NA,NA
2008,quarter-finals,Colorado Avalanche,83.04,16.37,66.67,14.04,5.69,0.98,2.34,66.67,16,11.76,100,NA,NA
2008,quarter-finals,Minnesota Wild,136.83,3.26,112.4,3.26,9.44,0.13,1.63,66.67,8,3.45,NA,NA,NA
2008,quarter-finals,Dallas Stars,81.14,12.81,69.4,9.61,6.96,0.42,0,100,30,4,100,NA,NA
2008,quarter-finals,Anaheim Ducks,93.53,15.3,69.72,11.9,6.12,0.73,0,100,33.33,6.67,100,NA,NA
2008,semi-finals,Montreal Canadiens,101.69,23.97,71.25,18.78,6.9,0.67,0,87.5,17.5,2.86,75,NA,NA
2008,semi-finals,Boston Bruins,106.22,11.42,71.95,11.42,5.36,0.93,0,100,11.76,4.35,100,NA,NA
2008,semi-finals,Ottawa Senators,119.08,12.21,82.44,9.16,6.44,0.1,0,100,12.5,0,100,NA,NA
2008,semi-finals,Pittsburgh Penguins,110.36,17.51,91.33,13.7,8.34,0.93,0,100,15.87,3.57,100,NA,NA
2008,semi-finals,Philadelphia Flyers,108.88,21.64,81.66,18.84,7.52,1.16,0.7,88.89,16,11.11,100,NA,NA
2008,semi-finals,Washington Capitals,114.5,11.01,78.17,8.81,7.98,0.51,0,100,20.69,9.52,100,NA,NA
2008,semi-finals,New York Rangers,87.87,10.98,63.37,9.29,6.69,0.85,0,100,17.65,5.26,100,NA,NA
2008,semi-finals,New Jersey Devils,73.3,13.03,50.5,13.03,6.08,1.27,1.63,80,28.57,14.29,100,NA,NA
2008,semi-finals,Nashville Predators,69.94,31.29,46.01,25.77,3.77,0.87,0,100,16.67,0,100,NA,NA
2008,semi-finals,Detroit Red Wings,110.76,12.75,90.04,11.16,7.94,0.5,0,100,14.58,7.32,100,NA,NA
2008,semi-finals,Calgary Flames,65.42,13.47,51.95,9.62,4.6,0.65,0,100,41.67,11.11,100,NA,NA
2008,semi-finals,San Jose Sharks,89.31,8.18,69.18,6.29,6.55,0.39,0,100,15.69,0,100,NA,NA
2008,semi-finals,Colorado Avalanche,85.15,16.88,70.57,14.57,6.08,1.41,3.07,63.64,17.07,11.54,100,NA,NA
2008,semi-finals,Minnesota Wild,136.83,3.26,112.4,3.26,9.44,0.13,1.63,66.67,8,3.45,NA,NA,NA
2008,semi-finals,Dallas Stars,73.6,13.93,61.01,9.95,5.64,0.57,0.66,85.71,30,8.33,100,NA,NA
2008,semi-finals,Anaheim Ducks,93.53,15.3,69.72,11.9,6.12,0.73,0,100,33.33,6.67,100,NA,NA
2008,finals,Montreal Canadiens,101.69,23.97,71.25,18.78,6.9,0.67,0,87.5,17.5,2.86,75,NA,NA
2008,finals,Boston Bruins,106.22,11.42,71.95,11.42,5.36,0.93,0,100,11.76,4.35,100,NA,NA
2008,finals,Ottawa Senators,119.08,12.21,82.44,9.16,6.44,0.1,0,100,12.5,0,100,NA,NA
2008,finals,Pittsburgh Penguins,109.34,19.12,86.04,16.13,8.09,1.07,0.6,92.86,18.06,7.89,100,NA,NA
2008,finals,Philadelphia Flyers,104.02,19.01,77.62,16.37,7.21,1.08,1.06,84.62,17.46,9.09,100,NA,NA
2008,finals,Washington Capitals,114.5,11.01,78.17,8.81,7.98,0.51,0,100,20.69,9.52,100,NA,NA
2008,finals,New York Rangers,87.87,10.98,63.37,9.29,6.69,0.85,0,100,17.65,5.26,100,NA,NA
2008,finals,New Jersey Devils,73.3,13.03,50.5,13.03,6.08,1.27,1.63,80,28.57,14.29,100,NA,NA
2008,finals,Nashville Predators,69.94,31.29,46.01,25.77,3.77,0.87,0,100,16.67,0,100,NA,NA
