Year,Team1,Team2,Conference,Highest.Seed,Round
2006,Ottawa Senators,Tampa Bay Lightning,eastern,Ottawa Senators,quarter-finals
2006,Carolina Hurricanes,Montreal Canadiens,eastern,Carolina Hurricanes,quarter-finals
2006,New Jersey Devils,New York Rangers,eastern,New Jersey Devils,quarter-finals
2006,Buffalo Sabres,Philadelphia Flyers,eastern,Buffalo Sabres,quarter-finals
2006,Detroit Red Wings,Edmonton Oilers,western,Detroit Red Wings,quarter-finals
2006,Dallas Stars,Colorado Avalanche,western,Dallas Stars,quarter-finals
2006,Calgary Flames,Mighty Ducks of Anaheim,western,Calgary Flames,quarter-finals
2006,Nashville Predators,San Jose Sharks,western,Nashville Predators,quarter-finals
2006,Ottawa Senators,Buffalo Sabres,eastern,Ottawa Senators,semi-finals
2006,Carolina Hurricanes,New Jersey Devils,eastern,Carolina Hurricanes,semi-finals
2006,San Jose Sharks,Edmonton Oilers,western,San Jose Sharks,semi-finals
2006,Mighty Ducks of Anaheim,Colorado Avalanche,western,Mighty Ducks of Anaheim,semi-finals
2006,Buffalo Sabres,Carolina Hurricanes,eastern,Carolina Hurricanes,finals
2006,Edmonton Oilers,Mighty Ducks of Anaheim,western,Mighty Ducks of Anaheim,finals
2006,Carolina Hurricanes,Edmonton Oilers,N/A,Carolina Hurricanes,stanley-cup-final
2007,Buffalo Sabres,New York Islanders,eastern,Buffalo Sabres,quarter-finals
2007,New Jersey Devils,Tampa Bay Lightning,eastern,New Jersey Devils,quarter-finals
2007,Atlanta Thrashers,New York Rangers,eastern,Atlanta Thrashers,quarter-finals
2007,Ottawa Senators,Pittsburgh Penguins,eastern,Ottawa Senators,quarter-finals
2007,Detroit Red Wings,Calgary Flames,western,Detroit Red Wings,quarter-finals
2007,Anaheim Ducks,Minnesota Wild,western,Anaheim Ducks,quarter-finals
2007,Vancouver Canucks,Dallas Stars,western,Vancouver Canucks,quarter-finals
2007,Nashville Predators,San Jose Sharks,western,Nashville Predators,quarter-finals
2007,Buffalo Sabres,New York Rangers,eastern,Buffalo Sabres,semi-finals
2007,New Jersey Devils,Ottawa Senators,eastern,New Jersey Devils,semi-finals
2007,Detroit Red Wings,San Jose Sharks,western,Detroit Red Wings,semi-finals
2007,Anaheim Ducks,Vancouver Canucks,western,Anaheim Ducks,semi-finals
2007,Buffalo Sabres,Ottawa Senators,eastern,Buffalo Sabres,finals
2007,Detroit Red Wings,Anaheim Ducks,western,Detroit Red Wings,finals
2007,Ottawa Senators,Anaheim Ducks,N/A,Anaheim Ducks,stanley-cup-final
2008,Montreal Canadiens,Boston Bruins,eastern,Montreal Canadiens,quarter-finals
2008,Pittsburgh Penguins,Ottawa Senators,eastern,Pittsburgh Penguins,quarter-finals
2008,Washington Capitals,Philadelphia Flyers,eastern,Washington Capitals,quarter-finals
2008,New Jersey Devils,New York Rangers,eastern,New Jersey Devils,quarter-finals
2008,Detroit Red Wings,Nashville Predators,western,Detroit Red Wings,quarter-finals
2008,San Jose Sharks,Calgary Flames,western,San Jose Sharks,quarter-finals
2008,Minnesota Wild,Colorado Avalanche,western,Minnesota Wild,quarter-finals
2008,Anaheim Ducks,Dallas Stars,western,Anaheim Ducks,quarter-finals
2008,Montreal Canadiens,Philadelphia Flyers,eastern,Montreal Canadiens,semi-finals
2008,Pittsburgh Penguins,New York Rangers,eastern,Pittsburgh Penguins,semi-finals
2008,Detroit Red Wings,Colorado Avalanche,western,Detroit Red Wings,semi-finals
2008,San Jose Sharks,Dallas Stars,western,San Jose Sharks,semi-finals
2008,Philadelphia Flyers,Pittsburgh Penguins,eastern,Pittsburgh Penguins,finals
2008,Detroit Red Wings,Dallas Stars,western,Detroit Red Wings,finals
2008,Pittsburgh Penguins,Detroit Red Wings,N/A,Detroit Red Wings,stanley-cup-final
2009,Boston Bruins,Montreal Canadiens,eastern,Boston Bruins,quarter-finals
2009,Washington Capitals,New York Rangers,eastern,Washington Capitals,quarter-finals
2009,New Jersey Devils,Carolina Hurricanes,eastern,New Jersey Devils,quarter-finals
2009,Pittsburgh Penguins,Philadelphia Flyers,eastern,Pittsburgh Penguins,quarter-finals
2009,San Jose Sharks,Anaheim Ducks,western,San Jose Sharks,quarter-finals
2009,Detroit Red Wings,Columbus Blue Jackets,western,Detroit Red Wings,quarter-finals
2009,Vancouver Canucks,St Louis Blues,western,Vancouver Canucks,quarter-finals
2009,Chicago Blackhawks,Calgary Flames,western,Chicago Blackhawks,quarter-finals
2009,Boston Bruins,Carolina Hurricanes,eastern,Boston Bruins,semi-finals
2009,Washington Capitals,Pittsburgh Penguins,eastern,Washington Capitals,semi-finals
2009,Detroit Red Wings,Anaheim Ducks,western,Detroit Red Wings,semi-finals
2009,Vancouver Canucks,Chicago Blackhawks,western,Vancouver Canucks,semi-finals
2009,Carolina Hurricanes,Pittsburgh Penguins,eastern,Pittsburgh Penguins,finals
2009,Detroit Red Wings,Chicago Blackhawks,western,Detroit Red Wings,finals
2009,Pittsburgh Penguins,Detroit Red Wings,N/A,Detroit Red Wings,stanley-cup-final
2010,Washington Capitals,Montreal Canadiens,eastern,Washington Capitals,quarter-finals
2010,New Jersey Devils,Philadelphia Flyers,eastern,New Jersey Devils,quarter-finals
2010,Buffalo Sabres,Boston Bruins,eastern,Buffalo Sabres,quarter-finals
2010,Pittsburgh Penguins,Ottawa Senators,eastern,Pittsburgh Penguins,quarter-finals
2010,San Jose Sharks,Colorado Avalanche,western,San Jose Sharks,quarter-finals
2010,Chicago Blackhawks,Nashville Predators,western,Chicago Blackhawks,quarter-finals
2010,Vancouver Canucks,Los Angeles Kings,western,Vancouver Canucks,quarter-finals
2010,Phoenix Coyotes,Detroit Red Wings,western,Phoenix Coyotes,quarter-finals
2010,Pittsburgh Penguins,Montreal Canadiens,eastern,Pittsburgh Penguins,semi-finals
