Year,Round,Start,End
2006,quarter-finals,2006-04-21,2006-05-04
2006,semi-finals,2006-04-21,2006-05-18
2006,finals,2006-04-21,2006-06-04
2007,quarter-finals,2007-04-11,2007-04-24
2007,semi-finals,2007-04-11,2007-05-09
2007,finals,2007-04-11,2006-05-27
2008,quarter-finals,2008-04-09,2008-04-23
2008,semi-finals,2008-04-09,2008-05-07
2008,finals,2008-04-09,2008-05-23
2009,quarter-finals,2009-04-15,2009-04-29
2009,semi-finals,2009-04-15,2009-05-16
2009,finals,2009-04-15,2009-05-29
2010,quarter-finals,2010-04-14,2010-04-28
2010,semi-finals,2010-04-14,2010-05-15
2010,finals,2010-04-14,2010-05-28
2011,quarter-finals,2011-04-13,2011-04-27
2011,semi-finals,2011-04-13,2011-05-13
2011,finals,2011-04-13,2011-05-30
2012,quarter-finals,2012-04-11,2012-04-26
2012,semi-finals,2012-04-11,2012-05-12
2012,finals,2012-04-11,2012-05-29
2013,quarter-finals,2013-04-30,2013-05-13
2013,semi-finals,2013-04-30,2013-05-30
2013,finals,2013-04-30,2013-06-11
2014,quarter-finals,2014-04-16,2014-04-30
2014,semi-finals,2014-04-16,2014-05-16
2014,finals,2014-04-16,2014-06-03
2015,quarter-finals,2015-04-15,2015-04-29
2015,semi-finals,2015-04-15,2015-05-15
2015,finals,2015-04-15,2015-06-02
2016,quarter-finals,2016-04-13,2016-04-26
2016,semi-finals,2016-04-13,2016-05-12
2016,finals,2016-04-13,2016-05-29
2017,quarter-finals,2017-04-12,2017-04-25
2017,semi-finals,2017-04-12,2017-05-11
2017,finals,2017-04-12,2017-05-28
2018,quarter-finals,2018-04-11,2018-04-25
2018,semi-finals,2018-04-11,2018-05-10
2018,finals,2018-04-11,2018-05-27
2019,quarter-finals,2019-04-10,2019-04-24
