Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2008,quarter-finals,Boston Bruins,60.27,51.89,41.91,40.51,27.54,24.15,42.11,11.76,1.2,1.4,NA,NA
2008,quarter-finals,Montreal Canadiens,51.89,60.27,40.51,41.91,24.15,27.54,57.89,13.1,1.4,1.2,NA,NA
2008,quarter-finals,Ottawa Senators,54.74,54.39,42.27,44.35,23.56,29.45,33.33,10,1.04,1.39,NA,NA
2008,quarter-finals,Pittsburgh Penguins,54.39,54.74,44.35,42.27,29.45,23.56,66.67,14.81,1.39,1.04,NA,NA
2008,quarter-finals,Philadelphia Flyers,53.64,59.89,40.23,41.15,22.78,28.66,47.62,12.35,1.47,1.65,NA,NA
2008,quarter-finals,Washington Capitals,59.89,53.64,41.15,40.23,28.66,22.78,52.38,12.94,1.65,1.47,NA,NA
2008,quarter-finals,New York Rangers,49.18,51.02,41.29,41.03,27.09,26.04,71.43,13.7,0.79,1.05,NA,NA
2008,quarter-finals,New Jersey Devils,51.02,49.18,41.03,41.29,26.04,27.09,28.57,6.06,1.05,0.79,NA,NA
2008,quarter-finals,Nashville Predators,42.12,64.53,32.04,53.55,17.7,30.69,35.71,9.26,0.67,1.12,NA,NA
2008,quarter-finals,Detroit Red Wings,64.53,42.12,53.55,32.04,30.69,17.7,64.29,9.47,1.12,0.67,NA,NA
2008,quarter-finals,Calgary Flames,50.21,50.4,35.57,40.39,20.94,22.05,43.75,9.33,1.11,0.74,NA,NA
2008,quarter-finals,San Jose Sharks,50.4,50.21,40.39,35.57,22.05,20.94,56.25,10.84,0.74,1.11,NA,NA
2008,quarter-finals,Colorado Avalanche,45.99,52.75,37.34,37.55,24.68,19.2,75,11.25,1.05,0.21,NA,NA
2008,quarter-finals,Minnesota Wild,52.75,45.99,37.55,37.34,19.2,24.68,25,6.25,0.21,1.05,NA,NA
2008,quarter-finals,Dallas Stars,48.92,38.66,38.9,30.55,24.58,20.29,66.67,14.49,1.67,0.95,NA,NA
2008,quarter-finals,Anaheim Ducks,38.66,48.92,30.55,38.9,20.29,24.58,33.33,8.77,0.95,1.67,NA,NA
2008,semi-finals,Boston Bruins,60.27,51.89,41.91,40.51,27.54,24.15,42.11,11.76,1.2,1.4,NA,NA
2008,semi-finals,Montreal Canadiens,61,58.71,44.75,40.74,26.78,25.29,48.57,11.72,1.37,1.49,NA,NA
2008,semi-finals,Ottawa Senators,54.74,54.39,42.27,44.35,23.56,29.45,33.33,10,1.04,1.39,NA,NA
2008,semi-finals,Pittsburgh Penguins,50.28,55.4,39.72,41.59,29.48,27.78,57.14,12.9,1.55,1.24,NA,NA
2008,semi-finals,Philadelphia Flyers,54.85,65.32,39.8,44.93,22.57,29.33,54.05,15.63,1.64,1.53,NA,NA
2008,semi-finals,Washington Capitals,59.89,53.64,41.15,40.23,28.66,22.78,52.38,12.94,1.65,1.47,NA,NA
2008,semi-finals,New York Rangers,52.44,49.05,41.17,38.58,29.07,27.72,60,12.59,1.09,1.36,NA,NA
