"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Aaron Gagnon","12-13","WPG","C","10","73.27","3","--","3","3","2.46","2.46","3.46","2.83","64","63","1","50.39","0.58","5","4","1","55.56","0.56","2.85","2.29","0.56","55.45","4.91","1","1","--","17","13.92","1.17","0.96","27.27","103.33","35.56","14.83","26.36","48.48","27.27","48.89"
"Aaron Johnson","12-13","BOS","D","10","133.28","--","--","--","--","--","--","2.8","1.26","145","96","49","60.17","3.46","4","4","--","50","-1.85","5.72","4.21","1.51","57.6","2.62","4","1","-3","22","9.9","0.23","0.1","--","97.86","60.27","27.61","27.3","52","28.13","49.03"
"Aaron Palushaj","12-13","COL","R","25","261.62","1","7","8","4","1.83","0.92","8.37","1.92","248","244","4","50.41","2.7","12","14","-2","46.15","5.31","10.25","9.55","0.7","51.77","6.68","2","8","6","45","10.32","1.64","0.38","3.85","98.29","47.65","21.36","29.29","48.87","28.41","49.69"
"Aaron Rome","12-13","DAL","D","27","361.1","--","4","4","3","0.66","0.5","0.3","0.05","292","362","-70","44.65","-3.2","13","16","-3","44.83","-9.49","11.73","14.81","-3.08","44.2","-1.06","8","4","-4","36","5.98","0.33","0.05","--","101.23","41.15","28.78","26.97","49.1","28.55","49.7"
"Aaron Volpatti","12-13","VAN/ WSH","L","33","270.55","1","1","2","2","0.44","0.44","0.58","0.13","191","236","-45","44.73","-5.72","5","7","-2","41.67","-16.28","7.11","8.41","-1.3","45.81","-4.63","10","7","-3","41","9.09","1.63","0.36","5","99.44","42.14","17.61","27.69","47.68","27.87","49.46"
"Adam Burish","12-13","S.J","R","46","418.13","--","2","2","1","0.29","0.14","0.34","0.05","339","430","-91","44.08","-9.2","4","10","-6","28.57","-22.54","12.36","14.96","-2.6","45.24","-10.78","8","12","4","69","9.9","2.94","0.42","--","97.86","39.46","19","27.88","50.25","27.31","49.29"
"Adam Cracknell","12-13","STL","R","20","170.95","2","4","6","4","2.11","1.4","7.8","2.74","157","126","31","55.48","5.93","6","3","3","66.67","9.77","6.37","4.93","1.44","56.37","4.45","2","2","--","39","13.69","1.61","0.57","9.52","102.23","46.75","17.62","26.57","50.15","27.45","49.53"
"Adam Hall","12-13","T.B/ CAR/ PHI","R","37","308.08","--","3","3","2","0.58","0.39","0.28","0.05","193","292","-99","39.79","-7.83","6","8","-2","42.86","-7.88","7.46","9.77","-2.31","43.3","-2.83","4","6","2","47","9.15","2.1","0.41","--","99.91","15.66","17.41","26.98","47.84","28.11","50.29"
"Adam Henrique","12-13","N.J","C","42","543.05","5","3","8","8","0.88","0.88","16.18","1.79","501","378","123","57","0.26","16","18","-2","47.06","2","19.06","14.84","4.22","56.22","1.42","7","7","--","91","10.05","5.58","0.62","9.62","98.16","47.47","27.4","30.26","56.04","29.33","49.14"
"Adam Larsson","12-13","N.J","D","37","593.47","--","6","6","3","0.61","0.3","8.97","0.91","429","399","30","51.81","-7.11","21","21","--","50","4.41","17.26","17.09","0.17","50.25","-7.01","6","5","-1","63","6.37","0.77","0.08","--","99.92","49.14","34.04","28.34","57.51","28.97","49.21"
"Adam Mcquaid","12-13","BOS","D","32","432.97","1","2","3","2","0.42","0.28","7.17","0.99","401","357","44","52.9","-1.29","14","15","-1","48.28","-4.16","15.17","14.83","0.34","50.57","-0.68","18","13","-5","62","8.59","0.99","0.14","4","98.35","53.94","28.23","27.45","52.28","28.4","48.73"
"Adam Pardy","12-13","BUF","D","17","253.25","--","4","4","1","0.95","0.24","1.4","0.33","178","224","-46","44.28","1","11","7","4","61.11","18.25","6.84","8.7","-1.86","44.02","5.17","6","3","-3","16","3.79","0.2","0.05","--","106.11","46.09","30.92","26.76","44.47","28.85","50.88"
"Adrian Aucoin","12-13","CBJ","D","36","516.33","--","4","4","2","0.46","0.23","0.85","0.1","387","434","-47","47.14","-0.1","13","19","-6","40.62","-14.55","14.71","18.48","-3.77","44.32","-3.07","8","3","-5","61","7.09","0.62","0.07","--","99.36","51.5","29.88","26.95","47.11","28.42","49.78"
"Akim Aliu","12-13","CGY","R","5","50.55","--","--","--","--","--","--","-1.3","-1.54","32","57","-25","35.96","-8.39","--","2","-2","--","-45","1.02","2.72","-1.7","27.27","-13.83","2","2","--","5","5.93","0.31","0.37","--","93.75","34.48","22.32","28.31","46.88","27.45","48.71"
"Alec Martinez","12-13","L.A","D","27","362.15","--","--","--","--","--","--","7.7","1.28","354","245","109","59.1","2.39","7","11","-4","38.89","-20.15","13.51","9.48","4.03","58.76","0.79","3","1","-2","55","9.11","0.81","0.13","--","95.01","64.29","28.44","27.06","52.71","28.47","49.22"
"Ales Hemsky","12-13","EDM","R","38","462.6","4","7","11","8","1.43","1.04","6.4","0.83","367","466","-99","44.06","-0.5","16","18","-2","47.06","0.9","15.54","21.35","-5.81","42.13","-3.34","8","3","-5","96","12.45","4.49","0.58","6.67","101","50.66","26.2","30.44","44.54","29.36","50.28"
"Alex Bolduc","12-13","ARI","C","14","104.68","--","--","--","--","--","--","0.2","0.11","90","101","-11","47.12","-4.38","2","6","-4","25","-29.29","2.89","3.43","-0.54","45.73","-3.52","1","1","--","24","13.76","0.99","0.57","--","90.21","68.52","15.87","27.49","50.56","27.66","48.65"
"Alex Burmistrov","12-13","WPG","C","44","570.73","4","6","10","7","1.05","0.74","13.1","1.38","508","477","31","51.57","2.93","17","17","--","50","4.29","18.49","21.03","-2.54","46.79","-2.27","6","10","4","103","10.83","4.72","0.5","8.16","100.19","52.26","26.55","29.34","49.23","28.66","49.88"
"Alex Burrows","12-13","VAN","L","47","625.97","12","9","21","18","2.01","1.73","34.68","3.32","629","450","179","58.29","9.39","34","15","19","69.39","24.53","29.04","16.51","12.53","63.75","18.33","13","13","--","157","15.05","11.18","1.07","11.76","104.52","62.13","28.33","31.85","52.24","29.94","49.68"
"Alex Chiasson","12-13","DAL","R","7","86.95","5","1","6","6","4.14","4.14","4.33","2.99","69","96","-27","41.82","-3.83","6","3","3","66.67","5.8","2.69","4.26","-1.57","38.71","-8.54","--","--","--","17","11.73","1.17","0.81","50","111.65","67.27","25.82","31.91","49.54","29.42","49.87"
"Alex Edler","12-13","VAN","D","45","767.98","3","8","11","5","0.86","0.39","16.14","1.26","706","658","48","51.76","-0.07","27","30","-3","47.37","-7.37","30.8","30.54","0.26","50.21","-1.42","9","7","-2","148","11.56","2.76","0.22","4.76","99.66","56.07","36.33","28.28","52.2","29.06","49.36"
"Alexei Emelin","12-13","MTL","D","38","620.55","2","7","9","6","0.87","0.58","11.2","1.08","579","547","32","51.42","-0.25","26","25","1","50.98","-11.04","24.37","20.49","3.88","54.32","-1.7","8","7","-1","88","8.51","1.23","0.12","7.69","100.39","51.34","35.48","27.83","52.82","29.52","49.77"
"Alexei Ponikarovsky","12-13","WPG/ N.J","L","42","510.22","4","4","8","5","0.94","0.59","15.63","1.84","456","337","119","57.5","3.13","16","15","1","51.61","11.81","16.45","12","4.45","57.82","3.03","5","3","-2","99","11.64","5.31","0.62","8","99.48","57.19","25.56","30.04","53.57","29.07","49.27"
"Alex Galchenyuk","12-13","MTL","C","48","526.15","9","16","25","21","2.85","2.39","26.09","2.98","515","498","17","50.84","-2.69","32","17","15","65.31","13.31","21.7","16.64","5.06","56.6","1.42","9","6","-3","120","13.68","6.6","0.75","13.64","104.94","58.77","24.06","29.03","52.34","28.28","49.51"
"Alex Goligoski","12-13","DAL","D","47","803.6","3","12","15","7","1.12","0.52","18.9","1.41","760","739","21","50.7","3.19","41","33","8","55.41","9.11","31.27","34.65","-3.38","47.44","1.9","9","9","--","149","11.12","3.03","0.23","4.69","102.71","51.62","36.78","27.97","47.89","28.93","50.06"
"Alex Killorn","12-13","T.B","C","38","502.68","5","9","14","11","1.67","1.31","12.91","1.54","425","454","-29","48.35","0.46","21","26","-5","44.68","-4.44","16.4","16.95","-0.55","49.18","0.36","6","4","-2","113","13.49","5.33","0.64","7.58","99.17","48.58","27.37","30.11","47.22","28.91","49.91"
"Alex Kovalev","12-13","FLA","R","14","171.1","1","2","3","2","1.05","0.7","2.92","1.02","147","147","--","50","3.89","3","5","-2","37.5","-2.98","4.36","4.68","-0.32","48.23","2.18","2","1","-1","31","10.87","1.2","0.42","6.67","98.24","58.33","26.47","29.77","48.72","29.3","49.62"
"Alex Ovechkin","12-13","WSH","L","48","735.92","14","13","27","24","2.2","1.96","30.69","2.5","706","729","-23","49.2","0.72","37","32","5","53.62","3.16","28.86","29.27","-0.41","49.65","1.12","15","22","7","266","21.69","10.95","0.89","10.45","102.22","53.89","32.14","30.25","48.87","29.95","49.62"
"Alex Petrovic","12-13","FLA","D","6","105.33","--","--","--","--","--","--","-1.12","-0.64","94","94","--","50","4.14","1","9","-8","10","-27.5","2.78","4.94","-2.16","36.01","-0.77","5","2","-3","15","8.54","0.2","0.11","--","87.07","71.43","33.97","27.8","49.05","29.65","50.02"
"Alex Pietrangelo","12-13","STL","D","47","830.23","2","11","13","8","0.94","0.58","21.2","1.53","752","685","67","52.33","0.03","36","33","3","52.17","-0.1","28.35","27.66","0.69","50.62","0.04","3","8","5","147","10.62","2.61","0.19","3.12","99.33","50.8","37.42","28.45","51.52","29.4","50.11"
