result_factor,past_series_game_count,q1_record,q2_record,q3_record,q4_record,sd_record,player_points,weighted_goalie_save_percentage,weighted_GPS,H2H
W,0,0.44999999999999996,-0.04999999999999993,0.050000000000000044,0,-0.017678245340201293,1.914634146341463,0.022397503710856026,2.426590600312819,1
W,0,0.04999999999999993,0.3,0.30000000000000004,-0.1363636363636364,-0.05010603499747024,1.3780487804878048,-0.0051935145453196885,2.787498624661924,1
W,0,-0.10000000000000003,-0.15000000000000002,0,0.3181818181818181,0.0015395439649791565,-0.4146341463414638,-0.004878648315180256,3.7944317504950824,0.5
W,0,-0.04999999999999993,0.050000000000000044,0.30000000000000004,0.045454545454545525,-0.05903130757255326,0.7560975609756095,0.012192770778083117,2.0398726940674754,0.75
L,0,0.25,0,0.24999999999999994,0.3181818181818182,-0.08366922552107281,1.6219512195121943,0.02130574472274116,4.631861010908002,0.5
L,0,0.09999999999999998,0.2,0,0.18181818181818182,-0.06903582958821308,-0.8048780487804876,-0.00032430246663961437,2.146956952687744,0.75
L,0,0.20000000000000007,0.09999999999999998,0.050000000000000044,-0.18181818181818177,-0.04202929704385394,-1.2560975609756104,0.007196523443368519,4.571563733457163,0.5
L,0,0.29999999999999993,0,0.04999999999999999,-0.09090909090909094,-0.04771193404047297,-0.32926829268292757,0.02213022725407332,7.660185590026725,0.5
L,-1,0.29999999999999993,-0.19999999999999996,0,-0.09090909090909094,0.030727975279664588,0.9390243902439028,0.004746051519742944,-0.3429551567567035,0.625
W,2,0.24999999999999994,0.19999999999999996,0.10000000000000009,-0.22727272727272724,-0.03303556273069869,1.4268292682926829,-0.008388089297306167,-4.394456700340799,0.5
L,1,-0.09999999999999998,-0.04999999999999993,0,0.27272727272727276,0.012792032354871252,0.4146341463414629,0.0075125894738337085,2.2943044144202203,0.25
W,2,-0.20000000000000007,0.10000000000000003,-0.15000000000000002,0.22727272727272724,0.017934815755130312,-1.1097560975609753,0.012357900923190779,4.159953086555134,0.25
W,-2,0.1499999999999999,-0.15000000000000002,0.15000000000000002,-0.1363636363636364,0.026315844540316408,0.04878048780487809,-0.009267699210932179,0.22058051933152356,0.75
L,-3,-0.15000000000000002,-0.04999999999999993,0.04999999999999999,0.22727272727272724,0.014017247702267255,-0.04878048780487809,0.024144450535834916,7.202917389429948,0
W,-2,0.19999999999999996,0,0.35000000000000003,0,-0.025168300517207587,0.9756097560975601,0.012306129002544464,6.1805241261817185,NA
W,0,0.30000000000000004,0.2,0.050000000000000044,0.09090909090909094,-0.04633693769925598,2.073170731707318,-0.006680040120361053,-1.1775325977933822,0.75
W,0,0.09999999999999998,0.15000000000000002,-0.050000000000000044,0.045454545454545414,-0.05405893107882012,-0.9024390243902438,0.03266473104984524,11.669174627473492,0.25
L,0,0.09999999999999998,0.10000000000000003,-0.15000000000000002,0,0.011481862542969568,-0.0853658536585371,-0.0010104734962250728,-0.19281586695570851,0.75
W,0,-0.09999999999999998,0.25,-0.050000000000000044,-0.045454545454545414,-0.015576968306573125,0.7195121951219523,0.00746382813351254,-0.03677937989563951,0.25
W,0,0.09999999999999998,0.09999999999999998,0.15000000000000002,0,-0.03518626274968567,-0.21951219512195053,-0.006894442096845976,-7.81845603507962,0.5
W,0,0.050000000000000044,0.3,-0.20000000000000007,-0.13636363636363635,0.024821601019550166,1.1707317073170724,-0.01000163917750363,0.6491753731701921,0.5
W,0,-0.24999999999999994,0.04999999999999993,0.1499999999999999,0,0.01656118030919984,0.06097560975609717,0.0090638656128047,6.789750033251547,0.5
L,0,-0.04999999999999993,0.050000000000000044,0.09999999999999998,-0.09090909090909094,-0.003644624256334328,0.29268292682926855,0.010488076645223443,2.775951234255441,0.75
W,1,0.30000000000000004,0.2,0.050000000000000044,0,-0.040979568698326335,2.3048780487804876,-0.002476830491474402,-1.9039719157472454,1
L,-1,0.19999999999999996,-0.09999999999999998,0,-0.045454545454545525,-0.027698129885343842,-2.475609756097562,0.0058641685144122935,6.065949741315594,0.75
W,-2,-0.09999999999999998,0.050000000000000044,0.09999999999999998,-0.09090909090909094,0.0012445421666557321,-0.39024390243902296,-0.003650179123521613,-0.5359407665505227,0.25
W,-2,0.2,0.15000000000000002,-0.35,-0.045454545454545414,0.03435794915367685,1.1951219512195115,-0.007021010896841595,-7.011832229331041,0.75
L,0,0.4,0,-0.1499999999999999,0,-0.03368506619436229,0.463414634146341,-0.00655493024528131,-0.16239749551685634,0.375
L,3,-0.050000000000000044,-0.09999999999999998,0.30000000000000004,-0.045454545454545525,-0.057734659750574596,-0.2926829268292668,-0.004792671195713694,-1.683298555377208,0.5
W,0,0.25,0.09999999999999998,-0.35,0,0.019256690642508206,-1.060975609756099,-0.001593339413395567,-1.6438875918089408,NA
W,0,0,0,0.04999999999999993,0.22727272727272724,-0.01874422892255931,1.6951219512195115,0.004107925870790341,-1.5223869879455094,1
W,0,-0.4,0.19999999999999996,0.14999999999999997,0.2272727272727273,-0.04754620601415904,-0.39024390243902296,0.013649518241112824,-1.355035531779472,0.25
L,0,-0.3,0.04999999999999999,0.14999999999999997,0.13636363636363635,0.02976842476741212,-0.1341463414634143,-0.012669142007929457,-5.893321334380366,0.5
L,0,-0.19999999999999996,0.35,0.10000000000000003,-0.045454545454545525,-0.0033769085001593424,-0.37804878048780477,0.005658727855579748,3.927217597541384,0.125
W,0,0.19999999999999996,0.25,0.04999999999999993,0.1363636363636364,-0.059484725270947114,0.7439024390243913,-0.0015185296059873066,-2.1508367940910302,0.625
W,0,0.15000000000000002,0,-0.10000000000000003,0.2727272727272728,2.356999287200512e-4,-0.15853658536585336,0.002732754545081262,-0.6056779453744685,0.25
L,0,0,0.09999999999999998,0.10000000000000003,-0.18181818181818182,-0.006489214178060532,-0.24390243902438957,0.008624465902350442,2.8234861966023903,0.625
