team,elo_rating,year
Detroit Red Wings,1595.5598769288674,2006
Ottawa Senators,1556.7372400375928,2006
Dallas Stars,1533.395389628859,2006
Carolina Hurricanes,1513.8232945558232,2006
Buffalo Sabres,1563.458651200415,2006
Nashville Predators,1529.6251295027098,2006
Calgary Flames,1544.487262420369,2006
New Jersey Devils,1530.455681128355,2006
Philadelphia Flyers,1509.3249070174516,2006
New York Rangers,1506.4630942200654,2006
San Jose Sharks,1549.9676816344977,2006
Mighty Ducks of Anaheim,1543.3734044101777,2006
Colorado Avalanche,1517.4813217946526,2006
Edmonton Oilers,1507.3618249448932,2006
Montreal Canadiens,1515.4829249190163,2006
Tampa Bay Lightning,1487.372848917685,2006
Vancouver Canucks,1488.0220277365986,2006
Atlanta Thrashers,1515.009261912302,2006
Toronto Maple Leafs,1513.7078308295743,2006
Los Angeles Kings,1467.8040264143121,2006
Florida Panthers,1491.558850833065,2006
Minnesota Wild,1489.6319744315813,2006
Phoenix Coyotes,1478.9703594013479,2006
New York Islanders,1433.2117569451068,2006
Columbus Blue Jackets,1466.322485597152,2006
Boston Bruins,1450.5866395949142,2006
Washington Capitals,1447.8485099288291,2006
Chicago Blackhawks,1426.0844277124543,2006
Pittsburgh Penguins,1431.4456136964682,2006
St. Louis Blues,1395.4257017048637,2006
Buffalo Sabres,1543.1678725356671,2007
Detroit Red Wings,1565.3133631033222,2007
Nashville Predators,1549.6590515825953,2007
Anaheim Ducks,1546.4986481066062,2007
San Jose Sharks,1553.533424656861,2007
Dallas Stars,1531.6443522666964,2007
New Jersey Devils,1521.3698476101545,2007
Vancouver Canucks,1549.484823209848,2007
Ottawa Senators,1575.5640559653707,2007
Pittsburgh Penguins,1534.8857573649873,2007
Minnesota Wild,1559.906076508717,2007
Atlanta Thrashers,1493.665079128927,2007
Calgary Flames,1520.3189054482143,2007
Colorado Avalanche,1541.7781087831286,2007
New York Rangers,1514.1686769164432,2007
Tampa Bay Lightning,1487.2796476780602,2007
New York Islanders,1489.6366920888825,2007
Toronto Maple Leafs,1499.8754027051775,2007
Montreal Canadiens,1488.0012040418203,2007
Carolina Hurricanes,1489.2365519935627,2007
Florida Panthers,1498.6464077564688,2007
St. Louis Blues,1475.165989085355,2007
Boston Bruins,1431.426556146293,2007
Columbus Blue Jackets,1456.2900984474725,2007
Edmonton Oilers,1418.8968739882966,2007
Chicago Blackhawks,1436.1687035240654,2007
Washington Capitals,1441.5093643479058,2007
Los Angeles Kings,1439.4829225936096,2007
Phoenix Coyotes,1432.8964143127057,2007
Philadelphia Flyers,1414.5291281027855,2007
Detroit Red Wings,1562.790695177465,2008
San Jose Sharks,1544.6727558161974,2008
Montreal Canadiens,1547.1438419572607,2008
Anaheim Ducks,1544.87527075731,2008
Pittsburgh Penguins,1535.1037926701174,2008
New Jersey Devils,1504.6731624989795,2008
Minnesota Wild,1525.3007400849976,2008
Dallas Stars,1526.7800633177546,2008
New York Rangers,1521.1315799526283,2008
Colorado Avalanche,1510.5182636281613,2008
Philadelphia Flyers,1503.8531816691736,2008
Ottawa Senators,1492.073128366949,2008
Washington Capitals,1534.5729626286875,2008
Calgary Flames,1510.1282518810945,2008
Boston Bruins,1493.6590189647347,2008
Carolina Hurricanes,1511.6642113831351,2008
Nashville Predators,1507.7594953599225,2008
Buffalo Sabres,1507.7768657335084,2008
Edmonton Oilers,1490.9367204381228,2008
Chicago Blackhawks,1505.7157767946728,2008
Vancouver Canucks,1483.5779144359904,2008
Florida Panthers,1492.8886118173584,2008
Phoenix Coyotes,1480.58569886658,2008
Toronto Maple Leafs,1478.7045764268166,2008
Columbus Blue Jackets,1457.5760265229244,2008
New York Islanders,1439.4377448422736,2008
St. Louis Blues,1451.145953186851,2008
Atlanta Thrashers,1438.657794677689,2008
Los Angeles Kings,1460.92510040922,2008
Tampa Bay Lightning,1435.3707997334232,2008
San Jose Sharks,1535.898895370414,2009
Boston Bruins,1558.7959662153096,2009
Detroit Red Wings,1542.7344299482568,2009
Washington Capitals,1536.8827087743362,2009
New Jersey Devils,1529.469445734681,2009
Chicago Blackhawks,1539.186346387406,2009
Vancouver Canucks,1534.0470331347187,2009
Pittsburgh Penguins,1540.42399462853,2009
Philadelphia Flyers,1521.368461744616,2009
Calgary Flames,1507.060523666861,2009
Carolina Hurricanes,1538.9907619171643,2009
New York Rangers,1499.95733774128,2009
Montreal Canadiens,1487.870243839962,2009
Florida Panthers,1520.60962557124,2009
Columbus Blue Jackets,1507.483974695354,2009
St. Louis Blues,1530.1956411438134,2009
Anaheim Ducks,1503.110586038646,2009
Buffalo Sabres,1505.0351096371562,2009
Minnesota Wild,1508.912274199688,2009
Nashville Predators,1491.3048569712203,2009
Edmonton Oilers,1471.64383718163,2009
Dallas Stars,1469.3672848681467,2009
Ottawa Senators,1490.077028290907,2009
Toronto Maple Leafs,1461.3217706160221,2009
Phoenix Coyotes,1461.8883687231773,2009
Los Angeles Kings,1470.8452808243592,2009
Atlanta Thrashers,1476.4421606617518,2009
Colorado Avalanche,1418.7532405704903,2009
Tampa Bay Lightning,1416.3163392618349,2009
New York Islanders,1424.006471641027,2009
Washington Capitals,1584.5584319787065,2010
San Jose Sharks,1545.0528487856373,2010
Chicago Blackhawks,1551.9151834506163,2010
Phoenix Coyotes,1527.4567442187133,2010
Vancouver Canucks,1551.0780092535647,2010
New Jersey Devils,1522.9143361373576,2010
Detroit Red Wings,1542.731286047341,2010
Pittsburgh Penguins,1504.1090160239326,2010
Los Angeles Kings,1524.94871220358,2010
Nashville Predators,1518.7932173714173,2010
Buffalo Sabres,1521.6326113635032,2010
Colorado Avalanche,1484.1672376385154,2010
Ottawa Senators,1505.1878578345322,2010
Boston Bruins,1496.1349425604328,2010
Calgary Flames,1498.6201667096589,2010
St. Louis Blues,1511.3268290363126,2010
Anaheim Ducks,1513.4196254499484,2010
Philadelphia Flyers,1488.4052962294752,2010
Montreal Canadiens,1488.8421792436277,2010
Dallas Stars,1488.106626649512,2010
New York Rangers,1495.67766177528,2010
Minnesota Wild,1476.8590640955092,2010
Atlanta Thrashers,1461.459895635294,2010
Carolina Hurricanes,1494.672912004262,2010
Tampa Bay Lightning,1456.6835674829142,2010
New York Islanders,1451.8337664992605,2010
Columbus Blue Jackets,1473.141499004651,2010
Florida Panthers,1457.0409129259897,2010
Toronto Maple Leafs,1446.5276396090833,2010
Edmonton Oilers,1416.7019227813719,2010
Vancouver Canucks,1577.6031372241198,2011
Washington Capitals,1542.9513375274755,2011
Pittsburgh Penguins,1515.7736417033493,2011
Philadelphia Flyers,1520.7383988823321,2011
San Jose Sharks,1564.248770412413,2011
Detroit Red Wings,1516.1490576041901,2011
Boston Bruins,1537.6902851816158,2011
Tampa Bay Lightning,1520.4208100304666,2011
Anaheim Ducks,1536.828905517888,2011
Nashville Predators,1525.9180528407655,2011
Phoenix Coyotes,1522.4765346313359,2011
Los Angeles Kings,1505.3694151882269,2011
Chicago Blackhawks,1529.6794455623976,2011
Montreal Canadiens,1509.4098217021788,2011
Buffalo Sabres,1527.4080248849434,2011
Dallas Stars,1504.1923182923167,2011
Calgary Flames,1508.1115510785362,2011
New York Rangers,1511.706010279683,2011
Carolina Hurricanes,1497.1081393076086,2011
St. Louis Blues,1505.6818250549175,2011
Minnesota Wild,1469.6988853337355,2011
Toronto Maple Leafs,1485.3811780170147,2011
New Jersey Devils,1498.8772496218237,2011
Columbus Blue Jackets,1449.5038991498066,2011
Atlanta Thrashers,1442.646400107818,2011
Ottawa Senators,1463.7481790722816,2011
New York Islanders,1458.7507650556186,2011
Florida Panthers,1433.9859522941583,2011
Colorado Avalanche,1393.0868795820943,2011
Edmonton Oilers,1424.855128858889,2011
Vancouver Canucks,1547.6016505881298,2012
New York Rangers,1537.7090993476297,2012
St. Louis Blues,1557.4582390220644,2012
Pittsburgh Penguins,1561.2660314683546,2012
Nashville Predators,1549.5320502568673,2012
Philadelphia Flyers,1534.8259016764316,2012
Boston Bruins,1531.5476979975567,2012
Detroit Red Wings,1507.1551291697397,2012
New Jersey Devils,1536.5776631242893,2012
Chicago Blackhawks,1521.8313634509213,2012
Phoenix Coyotes,1526.6749446146825,2012
San Jose Sharks,1498.3863608908202,2012
Los Angeles Kings,1520.207835729518,2012
Florida Panthers,1482.2962569392766,2012
Washington Capitals,1493.9721210703112,2012
Ottawa Senators,1506.1047903519193,2012
Calgary Flames,1490.2346659588059,2012
Dallas Stars,1483.1780087824607,2012
Buffalo Sabres,1502.570966080166,2012
Colorado Avalanche,1481.926981410247,2012
Tampa Bay Lightning,1468.199646743285,2012
Winnipeg Jets,1472.6584820821881,2012
Carolina Hurricanes,1482.4473898999538,2012
Minnesota Wild,1433.4953540455708,2012
Toronto Maple Leafs,1447.16247404918,2012
Anaheim Ducks,1479.0573654182863,2012
New York Islanders,1454.2342875420634,2012
Montreal Canadiens,1471.8273103434753,2012
Edmonton Oilers,1454.99486364555,2012
Columbus Blue Jackets,1464.8650683002556,2012
Chicago Blackhawks,1574.076373105601,2013
Pittsburgh Penguins,1567.6716769095374,2013
Anaheim Ducks,1517.8936431054065,2013
Montreal Canadiens,1527.1519328700251,2013
Boston Bruins,1516.1582305510199,2013
St. Louis Blues,1522.8102015059078,2013
Los Angeles Kings,1530.2388351939824,2013
Vancouver Canucks,1508.8917502076504,2013
Washington Capitals,1530.016049466431,2013
Toronto Maple Leafs,1526.4551332495341,2013
San Jose Sharks,1501.7995833211255,2013
New York Rangers,1524.4924709681793,2013
Ottawa Senators,1512.5985003155472,2013
Detroit Red Wings,1522.5739007816594,2013
Minnesota Wild,1496.9561168065638,2013
New York Islanders,1508.8458509446803,2013
Columbus Blue Jackets,1513.169251021972,2013
Winnipeg Jets,1491.3760605000502,2013
Phoenix Coyotes,1492.408245239947,2013
Philadelphia Flyers,1501.926707468256,2013
Dallas Stars,1485.5688308707568,2013
Buffalo Sabres,1477.2079107810948,2013
New Jersey Devils,1476.8331288860652,2013
Edmonton Oilers,1477.0109040816828,2013
Calgary Flames,1469.3867159340355,2013
Carolina Hurricanes,1446.2498490780729,2013
Nashville Predators,1447.9352309485428,2013
Tampa Bay Lightning,1464.954076893411,2013
Colorado Avalanche,1439.280417875166,2013
Florida Panthers,1428.0624211180952,2013
Boston Bruins,1584.4708492151015,2014
Anaheim Ducks,1562.2759165478278,2014
Colorado Avalanche,1545.0423302232157,2014
St. Louis Blues,1522.9227454864272,2014
San Jose Sharks,1541.7743498397247,2014
Pittsburgh Penguins,1525.2098271678838,2014
Chicago Blackhawks,1531.0494117830342,2014
Tampa Bay Lightning,1516.439167299542,2014
Los Angeles Kings,1531.469819439852,2014
Montreal Canadiens,1513.1229073229213,2014
Minnesota Wild,1514.1411126840026,2014
New York Rangers,1536.1137695758234,2014
Philadelphia Flyers,1529.4699763823148,2014
Columbus Blue Jackets,1519.3752816813478,2014
Detroit Red Wings,1502.290185926522,2014
Dallas Stars,1511.3025349063553,2014
Washington Capitals,1502.9879366111377,2014
Phoenix Coyotes,1472.6511913729933,2014
Nashville Predators,1514.089842946233,2014
Ottawa Senators,1473.6203437792387,2014
New Jersey Devils,1506.248898395692,2014
Toronto Maple Leafs,1454.0208851485186,2014
Winnipeg Jets,1482.849707482566,2014
Carolina Hurricanes,1480.4172315744238,2014
Vancouver Canucks,1455.712315945856,2014
New York Islanders,1462.2082211528927,2014
Calgary Flames,1466.4341002712492,2014
Edmonton Oilers,1438.2456623105074,2014
Florida Panthers,1417.8755590658332,2014
Buffalo Sabres,1386.1679184609618,2014
New York Rangers,1579.6808176954316,2015
Montreal Canadiens,1539.1169698537922,2015
Anaheim Ducks,1527.9925318734201,2015
St. Louis Blues,1541.3118374119288,2015
Tampa Bay Lightning,1552.924532573107,2015
Nashville Predators,1510.0489842404381,2015
Chicago Blackhawks,1516.2638103988763,2015
Vancouver Canucks,1514.5131524038788,2015
New York Islanders,1521.3447930489358,2015
Washington Capitals,1534.2088826788645,2015
Minnesota Wild,1543.6103985382981,2015
Detroit Red Wings,1510.7184733841827,2015
Ottawa Senators,1537.731899478071,2015
Winnipeg Jets,1527.6519299004572,2015
Pittsburgh Penguins,1487.3728456099886,2015
Calgary Flames,1526.6408219905563,2015
Boston Bruins,1520.63805248131,2015
Los Angeles Kings,1520.489850489771,2015
Dallas Stars,1520.6494075537962,2015
Florida Panthers,1492.6126434771772,2015
Colorado Avalanche,1493.4303214333002,2015
Columbus Blue Jackets,1507.8276615083992,2015
San Jose Sharks,1488.6698187546094,2015
Philadelphia Flyers,1480.9482471584715,2015
New Jersey Devils,1451.3755431529778,2015
Carolina Hurricanes,1451.6071884082073,2015
Toronto Maple Leafs,1415.8009587555111,2015
Edmonton Oilers,1417.074821218028,2015
Arizona Coyotes,1382.2677511175052,2015
Buffalo Sabres,1385.4750534107088,2015
