team,elo_rating,year
Detroit Red Wings,1559.617434524741,2006
Ottawa Senators,1521.3380169816458,2006
Dallas Stars,1516.1592243732146,2006
Carolina Hurricanes,1484.329345235158,2006
Buffalo Sabres,1529.3839835913786,2006
Nashville Predators,1521.973789224994,2006
Calgary Flames,1521.7335858158442,2006
New Jersey Devils,1532.2349405421453,2006
Philadelphia Flyers,1504.504590069601,2006
New York Rangers,1486.5273868812592,2006
San Jose Sharks,1546.2081818867484,2006
Mighty Ducks of Anaheim,1535.7896702969688,2006
Colorado Avalanche,1497.932834840082,2006
Edmonton Oilers,1497.1124050651297,2006
Montreal Canadiens,1526.2850328268644,2006
Tampa Bay Lightning,1479.6583980370233,2006
Vancouver Canucks,1467.7393406653257,2006
Atlanta Thrashers,1523.7123903006227,2006
Toronto Maple Leafs,1514.6493594329022,2006
Los Angeles Kings,1476.0925134672564,2006
Florida Panthers,1506.4705982985618,2006
Minnesota Wild,1473.1149222331112,2006
Phoenix Coyotes,1495.4607988402015,2006
New York Islanders,1464.8044243062059,2006
Columbus Blue Jackets,1493.9650894799909,2006
Boston Bruins,1445.8945479131887,2006
Washington Capitals,1487.996347911948,2006
Chicago Blackhawks,1461.6971128594325,2006
Pittsburgh Penguins,1492.2106376714953,2006
St. Louis Blues,1435.4030964269589,2006
Buffalo Sabres,1527.2011654898427,2007
Detroit Red Wings,1535.8892089441188,2007
Nashville Predators,1510.313505779015,2007
Anaheim Ducks,1523.43837544661,2007
San Jose Sharks,1531.027330532064,2007
Dallas Stars,1522.446876895516,2007
New Jersey Devils,1498.0771149738066,2007
Vancouver Canucks,1536.540823952388,2007
Ottawa Senators,1555.8643746336106,2007
Pittsburgh Penguins,1522.758081420882,2007
Minnesota Wild,1551.1429635368468,2007
Atlanta Thrashers,1505.0520468033665,2007
Calgary Flames,1496.8795892177134,2007
Colorado Avalanche,1542.7433430720569,2007
New York Rangers,1526.8808899308376,2007
Tampa Bay Lightning,1489.712754152321,2007
New York Islanders,1494.7535273742685,2007
Toronto Maple Leafs,1497.692749767694,2007
Montreal Canadiens,1492.8165961468255,2007
Carolina Hurricanes,1493.878155672928,2007
Florida Panthers,1518.357249951666,2007
St. Louis Blues,1483.8174514173872,2007
Boston Bruins,1460.3271966014322,2007
Columbus Blue Jackets,1471.9557619876005,2007
Edmonton Oilers,1423.8353081703444,2007
Chicago Blackhawks,1454.434295569343,2007
Washington Capitals,1457.8009084685964,2007
Los Angeles Kings,1472.3818708576205,2007
Phoenix Coyotes,1443.1776270661528,2007
Philadelphia Flyers,1458.8028561671447,2007
Detroit Red Wings,1511.579421615864,2008
San Jose Sharks,1533.721801182329,2008
Montreal Canadiens,1535.7127104533083,2008
Anaheim Ducks,1528.270817083254,2008
Pittsburgh Penguins,1527.3521597522915,2008
New Jersey Devils,1501.1397806992513,2008
Minnesota Wild,1514.7178812133413,2008
Dallas Stars,1506.0340512574835,2008
New York Rangers,1529.3943889928369,2008
Colorado Avalanche,1506.822598879587,2008
Philadelphia Flyers,1488.7268371285543,2008
Ottawa Senators,1480.9326876183209,2008
Washington Capitals,1539.8808164664624,2008
Calgary Flames,1513.1063573542376,2008
Boston Bruins,1493.0145444682487,2008
Carolina Hurricanes,1530.5399204961984,2008
Nashville Predators,1492.7367941404457,2008
Buffalo Sabres,1500.5288550067698,2008
Edmonton Oilers,1511.7555274989936,2008
Chicago Blackhawks,1518.9794117508443,2008
Vancouver Canucks,1480.2649746852376,2008
Florida Panthers,1507.4237040597816,2008
Phoenix Coyotes,1472.798310143433,2008
Toronto Maple Leafs,1498.4577778777416,2008
Columbus Blue Jackets,1462.622994791067,2008
New York Islanders,1463.177434487231,2008
St. Louis Blues,1460.6668302868984,2008
Atlanta Thrashers,1459.6364365596169,2008
Los Angeles Kings,1472.135923167128,2008
Tampa Bay Lightning,1457.8682508832421,2008
San Jose Sharks,1496.0261360612815,2009
Boston Bruins,1519.2325757042702,2009
Detroit Red Wings,1513.7754176084272,2009
Washington Capitals,1518.5231764936395,2009
New Jersey Devils,1501.4815092502579,2009
Chicago Blackhawks,1511.603647237997,2009
Vancouver Canucks,1534.6995888373317,2009
Pittsburgh Penguins,1549.6897585389263,2009
Philadelphia Flyers,1513.5797255771004,2009
Calgary Flames,1494.419424035121,2009
Carolina Hurricanes,1550.916505473953,2009
New York Rangers,1513.9308441651085,2009
Montreal Canadiens,1497.8877278944517,2009
Florida Panthers,1506.7936104909297,2009
Columbus Blue Jackets,1496.3124103978384,2009
St. Louis Blues,1534.4148571305075,2009
Anaheim Ducks,1504.510348074158,2009
Buffalo Sabres,1506.7015559472031,2009
Minnesota Wild,1508.7347839016493,2009
Nashville Predators,1494.6786695639034,2009
Edmonton Oilers,1475.9764176782833,2009
Dallas Stars,1459.7338658667309,2009
Ottawa Senators,1502.8609922658802,2009
Toronto Maple Leafs,1487.0520835945201,2009
Phoenix Coyotes,1477.3330432878042,2009
Los Angeles Kings,1471.0598617591397,2009
Atlanta Thrashers,1512.5060207409356,2009
Colorado Avalanche,1448.7434310951082,2009
Tampa Bay Lightning,1434.7715255844687,2009
New York Islanders,1462.050485743074,2009
Washington Capitals,1537.5925745267307,2010
San Jose Sharks,1503.2378801011662,2010
Chicago Blackhawks,1514.5492279764935,2010
Phoenix Coyotes,1510.7656102642752,2010
Vancouver Canucks,1513.0280123115022,2010
New Jersey Devils,1514.6166154357636,2010
Detroit Red Wings,1540.4849193273703,2010
Pittsburgh Penguins,1500.8400440668286,2010
Los Angeles Kings,1508.129387814284,2010
Nashville Predators,1512.6605098535829,2010
Buffalo Sabres,1504.77778667264,2010
Colorado Avalanche,1474.155513081142,2010
Ottawa Senators,1497.6259989056405,2010
Boston Bruins,1517.0521260890407,2010
Calgary Flames,1500.9882830032075,2010
St. Louis Blues,1518.9222594051319,2010
Anaheim Ducks,1511.6388089787024,2010
Philadelphia Flyers,1490.2409263103393,2010
Montreal Canadiens,1502.8265651239606,2010
Dallas Stars,1497.2976176667414,2010
New York Rangers,1513.2901795426706,2010
Minnesota Wild,1474.051231964961,2010
Atlanta Thrashers,1481.6568511088763,2010
Carolina Hurricanes,1513.4971107935542,2010
Tampa Bay Lightning,1465.528941925208,2010
New York Islanders,1477.7025254678754,2010
Columbus Blue Jackets,1491.818126098156,2010
Florida Panthers,1462.1514841349765,2010
Toronto Maple Leafs,1488.6843783864556,2010
Edmonton Oilers,1460.1885036627232,2010
Vancouver Canucks,1536.3916219880798,2011
Washington Capitals,1534.7971940449377,2011
Pittsburgh Penguins,1499.2921277000926,2011
Philadelphia Flyers,1488.1884892793612,2011
San Jose Sharks,1548.3298187561065,2011
Detroit Red Wings,1500.852926364306,2011
Boston Bruins,1519.7361599990593,2011
Tampa Bay Lightning,1516.6688722679226,2011
Anaheim Ducks,1525.638304001629,2011
Nashville Predators,1514.1326989207898,2011
Phoenix Coyotes,1515.800578290507,2011
Los Angeles Kings,1502.1377780074567,2011
Chicago Blackhawks,1518.0667638758764,2011
Montreal Canadiens,1510.344330869276,2011
Buffalo Sabres,1527.2367234642934,2011
Dallas Stars,1495.2682542132425,2011
Calgary Flames,1507.8541068268291,2011
New York Rangers,1514.3231645469548,2011
Carolina Hurricanes,1503.8471451231196,2011
St. Louis Blues,1518.2178902976216,2011
Minnesota Wild,1456.6274600544562,2011
Toronto Maple Leafs,1503.7101484273242,2011
New Jersey Devils,1512.6084715248858,2011
Columbus Blue Jackets,1457.2670800442638,2011
Atlanta Thrashers,1462.2272917295545,2011
Ottawa Senators,1505.5551838537122,2011
New York Islanders,1481.2584122636472,2011
Florida Panthers,1445.7748854934357,2011
Colorado Avalanche,1420.3457408879153,2011
Edmonton Oilers,1457.5003768833433,2011
Vancouver Canucks,1517.544333900389,2012
New York Rangers,1501.6181423716255,2012
St. Louis Blues,1530.4649767053868,2012
Pittsburgh Penguins,1549.8580898457049,2012
Nashville Predators,1530.6063155768127,2012
Philadelphia Flyers,1521.673093433909,2012
Boston Bruins,1510.369787210082,2012
Detroit Red Wings,1478.2815421974544,2012
New Jersey Devils,1529.4839033802737,2012
Chicago Blackhawks,1527.7706559607602,2012
Phoenix Coyotes,1521.6636733848586,2012
San Jose Sharks,1488.606791087523,2012
Los Angeles Kings,1520.5857751396532,2012
Florida Panthers,1486.9804719891156,2012
Washington Capitals,1491.6581537051707,2012
Ottawa Senators,1516.0326400131396,2012
Calgary Flames,1495.55123298577,2012
Dallas Stars,1491.440713796291,2012
Buffalo Sabres,1524.322166449084,2012
Colorado Avalanche,1495.236568082312,2012
Tampa Bay Lightning,1480.9831519613288,2012
Winnipeg Jets,1486.2306766979757,2012
Carolina Hurricanes,1500.2047375861607,2012
Minnesota Wild,1450.913745211313,2012
Toronto Maple Leafs,1447.8867139654951,2012
Anaheim Ducks,1488.2294085157541,2012
New York Islanders,1465.3780896210362,2012
Montreal Canadiens,1474.1772813965051,2012
Edmonton Oilers,1476.8793700867259,2012
Columbus Blue Jackets,1499.3677977423897,2012
Chicago Blackhawks,1535.2240953205267,2013
Pittsburgh Penguins,1555.2184291139272,2013
Anaheim Ducks,1499.799924740443,2013
Montreal Canadiens,1511.0924558117908,2013
Boston Bruins,1496.0586241344758,2013
St. Louis Blues,1525.5899743682055,2013
Los Angeles Kings,1519.8688314363285,2013
Vancouver Canucks,1504.5103736399137,2013
Washington Capitals,1535.26378998561,2013
Toronto Maple Leafs,1514.7500894273321,2013
San Jose Sharks,1501.7757562686465,2013
New York Rangers,1527.9166168948843,2013
Ottawa Senators,1510.5452638930565,2013
Detroit Red Wings,1527.0614680920457,2013
Minnesota Wild,1498.5492912745221,2013
New York Islanders,1524.030638659269,2013
Columbus Blue Jackets,1537.6923310548827,2013
Winnipeg Jets,1495.0455468254754,2013
Phoenix Coyotes,1492.6261880501386,2013
Philadelphia Flyers,1499.1297425383855,2013
Dallas Stars,1484.3958525954067,2013
Buffalo Sabres,1493.3930898803476,2013
New Jersey Devils,1476.3201773382104,2013
Edmonton Oilers,1489.56774136162,2013
Calgary Flames,1475.9451186641418,2013
Carolina Hurricanes,1437.708269899752,2013
Nashville Predators,1458.0061037677592,2013
Tampa Bay Lightning,1469.3079941567537,2013
Colorado Avalanche,1449.3869493654192,2013
Florida Panthers,1454.2192714407297,2013
Boston Bruins,1556.8745890909224,2014
Anaheim Ducks,1517.625852426634,2014
Colorado Avalanche,1521.370904836695,2014
St. Louis Blues,1489.295264097218,2014
San Jose Sharks,1525.3478849989356,2014
Pittsburgh Penguins,1491.5078514283214,2014
Chicago Blackhawks,1501.795281689466,2014
Tampa Bay Lightning,1504.95253042617,2014
Los Angeles Kings,1530.673585571294,2014
Montreal Canadiens,1517.5916646508547,2014
Minnesota Wild,1518.7312458215824,2014
New York Rangers,1527.2583083100956,2014
Philadelphia Flyers,1524.1451416538305,2014
Columbus Blue Jackets,1514.6491434181032,2014
Detroit Red Wings,1512.6570986891757,2014
Dallas Stars,1512.4610808595876,2014
Washington Capitals,1515.2908267996672,2014
Phoenix Coyotes,1485.7708649597155,2014
Nashville Predators,1519.6764671794263,2014
Ottawa Senators,1477.9350190947619,2014
New Jersey Devils,1507.0608865229078,2014
Toronto Maple Leafs,1463.5968903588844,2014
Winnipeg Jets,1485.7473073321537,2014
Carolina Hurricanes,1484.4767825374506,2014
Vancouver Canucks,1460.2410020668865,2014
New York Islanders,1490.1051627943207,2014
Calgary Flames,1495.9036067448912,2014
Edmonton Oilers,1468.2655718331112,2014
Florida Panthers,1446.0414327462988,2014
Buffalo Sabres,1432.950751060638,2014
New York Rangers,1546.9506414140035,2015
Montreal Canadiens,1519.654780715739,2015
Anaheim Ducks,1511.1683172944627,2015
St. Louis Blues,1513.9729885868353,2015
Tampa Bay Lightning,1531.922393109779,2015
Nashville Predators,1474.0042232834548,2015
Chicago Blackhawks,1498.6158461501564,2015
Vancouver Canucks,1510.9607137636615,2015
New York Islanders,1501.8659674192945,2015
Washington Capitals,1518.6377131894947,2015
Minnesota Wild,1536.7575287187624,2015
Detroit Red Wings,1484.109797394451,2015
Ottawa Senators,1552.0823082500956,2015
Winnipeg Jets,1526.363942902519,2015
Pittsburgh Penguins,1476.2240601787416,2015
Calgary Flames,1516.8621829708034,2015
Boston Bruins,1511.3423415918169,2015
Los Angeles Kings,1517.6041670714676,2015
Dallas Stars,1516.3857319033273,2015
Florida Panthers,1500.0979796511874,2015
Colorado Avalanche,1510.2264705721445,2015
Columbus Blue Jackets,1520.4595789777893,2015
San Jose Sharks,1484.9142046210266,2015
Philadelphia Flyers,1487.8588632756325,2015
New Jersey Devils,1470.8746407799345,2015
Carolina Hurricanes,1472.7534385969877,2015
Toronto Maple Leafs,1448.2183631422492,2015
Edmonton Oilers,1463.8077092486435,2015
Arizona Coyotes,1422.3646082311295,2015
Buffalo Sabres,1452.9384969944092,2015
Washington Capitals,1512.668168746715,2016
Dallas Stars,1516.7410123983532,2016
St. Louis Blues,1537.3736723258842,2016
Pittsburgh Penguins,1560.1075286724913,2016
Chicago Blackhawks,1503.5664444332126,2016
Florida Panthers,1520.3966959702761,2016
Anaheim Ducks,1539.6944339556312,2016
Los Angeles Kings,1511.112027095036,2016
New York Rangers,1509.796866032091,2016
New York Islanders,1512.861990622261,2016
San Jose Sharks,1517.3952391178025,2016
Tampa Bay Lightning,1511.0627362789453,2016
Nashville Predators,1511.0540197873397,2016
Philadelphia Flyers,1531.6214482983287,2016
Boston Bruins,1491.2524962749858,2016
Detroit Red Wings,1491.7460916693228,2016
Minnesota Wild,1499.115330232626,2016
Carolina Hurricanes,1468.6535612143773,2016
Ottawa Senators,1508.1003355182959,2016
New Jersey Devils,1473.5993246828816,2016
Colorado Avalanche,1465.9533526281052,2016
Montreal Canadiens,1483.47446617227,2016
Buffalo Sabres,1510.1473402371569,2016
Arizona Coyotes,1472.694728214971,2016
Winnipeg Jets,1482.5309665631612,2016
Calgary Flames,1480.9960575858727,2016
