year,team,rpi,penaltykill_post_allstar
2006,Detroit Red Wings,0.599,NA
2006,Ottawa Senators,0.593,NA
2006,Dallas Stars,0.59,NA
2006,Buffalo Sabres,0.589,NA
2006,Carolina Hurricanes,0.582,NA
2006,Calgary Flames,0.578,NA
2006,Nashville Predators,0.574,NA
2006,Mighty Ducks of Anaheim,0.573,NA
2006,San Jose Sharks,0.571,NA
2006,Colorado Avalanche,0.566,NA
2006,Philadelphia Flyers,0.566,NA
2006,Montreal Canadiens,0.565,NA
2006,New Jersey Devils,0.565,NA
2006,Edmonton Oilers,0.564,NA
2006,New York Rangers,0.564,NA
2006,Vancouver Canucks,0.56,NA
2006,Los Angeles Kings,0.56,NA
2006,Toronto Maple Leafs,0.559,NA
2006,Tampa Bay Lightning,0.555,NA
2006,Atlanta Thrashers,0.553,NA
2006,Minnesota Wild,0.551,NA
2006,Phoenix Coyotes,0.548,NA
2006,Florida Panthers,0.546,NA
2006,Boston Bruins,0.537,NA
2006,New York Islanders,0.533,NA
2006,Columbus Blue Jackets,0.527,NA
2006,Washington Capitals,0.523,NA
2006,Chicago Blackhawks,0.514,NA
2006,Pittsburgh Penguins,0.506,NA
2006,St Louis Blues,0.502,NA
2007,Detroit Red Wings,0.589,NA
2007,Buffalo Sabres,0.589,NA
2007,Nashville Predators,0.585,NA
2007,Anaheim Ducks,0.583,NA
2007,San Jose Sharks,0.581,NA
2007,Dallas Stars,0.581,NA
2007,Ottawa Senators,0.58,NA
2007,Vancouver Canucks,0.578,NA
2007,New Jersey Devils,0.578,NA
2007,Minnesota Wild,0.578,NA
2007,Pittsburgh Penguins,0.573,NA
2007,Calgary Flames,0.569,NA
2007,Colorado Avalanche,0.567,NA
2007,Atlanta Thrashers,0.56,NA
2007,Toronto Maple Leafs,0.558,NA
2007,Montreal Canadiens,0.557,NA
2007,New York Rangers,0.557,NA
2007,New York Islanders,0.556,NA
2007,Tampa Bay Lightning,0.555,NA
2007,Carolina Hurricanes,0.549,NA
2007,Florida Panthers,0.544,NA
2007,St Louis Blues,0.542,NA
2007,Boston Bruins,0.537,NA
2007,Edmonton Oilers,0.534,NA
2007,Columbus Blue Jackets,0.532,NA
2007,Chicago Blackhawks,0.53,NA
2007,Los Angeles Kings,0.524,NA
2007,Phoenix Coyotes,0.524,NA
2007,Washington Capitals,0.522,NA
2007,Philadelphia Flyers,0.503,NA
2008,Detroit Red Wings,0.589,94.1
2008,San Jose Sharks,0.583,94.3
2008,Montreal Canadiens,0.574,93.3
2008,Anaheim Ducks,0.573,95.8
2008,Pittsburgh Penguins,0.571,92.7
2008,Dallas Stars,0.569,94.1
2008,Minnesota Wild,0.568,95.5
2008,New Jersey Devils,0.565,93.3
2008,New York Rangers,0.565,95.6
2008,Colorado Avalanche,0.564,92.7
2008,Calgary Flames,0.563,93
2008,Philadelphia Flyers,0.562,95.1
2008,Ottawa Senators,0.56,91.6
2008,Boston Bruins,0.557,91.9
2008,Nashville Predators,0.557,94.6
2008,Chicago Blackhawks,0.553,93.8
2008,Vancouver Canucks,0.553,93.5
2008,Buffalo Sabres,0.552,93.1
