team,year,q1_record,q2_record,q3_record,q4_record,sd_record
Detroit Red Wings,2006,0.75,0.6,0.7,0.7727272727272727,0.1474437839364129
Ottawa Senators,2006,0.85,0.55,0.65,0.5,0.2103568396796263
Carolina Hurricanes,2006,0.7,0.6,0.8,0.45454545454545453,0.2059447089402781
Dallas Stars,2006,0.65,0.65,0.65,0.6363636363636364,0.15815961181640956
Buffalo Sabres,2006,0.55,0.75,0.65,0.5909090909090909,0.1796288643999617
Nashville Predators,2006,0.7,0.55,0.5,0.6363636363636364,0.19619310777188398
Calgary Flames,2006,0.55,0.65,0.55,0.5,0.203100960115899
New Jersey Devils,2006,0.45,0.4,0.7,0.6818181818181818,0.2389802716709768
Philadelphia Flyers,2006,0.6,0.7,0.35,0.5454545454545454,0.23866017197251496
New York Rangers,2006,0.55,0.55,0.7,0.36363636363636365,0.23744072770599764
San Jose Sharks,2006,0.4,0.55,0.45,0.7272727272727273,0.24390504181235695
Mighty Ducks of Anaheim,2006,0.35,0.55,0.5,0.6818181818181818,0.24513025715975295
Colorado Avalanche,2006,0.55,0.45,0.65,0.45454545454545453,0.22719544140462264
Edmonton Oilers,2006,0.5,0.6,0.45,0.45454545454545453,0.2311130094574857
Montreal Canadiens,2006,0.65,0.3,0.5,0.5909090909090909,0.25605074393774835
Vancouver Canucks,2006,0.6,0.45,0.65,0.36363636363636365,0.24497849458660112
Tampa Bay Lightning,2006,0.4,0.6,0.6,0.5,0.22803508501982758
Toronto Maple Leafs,2006,0.55,0.6,0.2,0.6363636363636364,0.2845105990850526
Atlanta Thrashers,2006,0.4,0.45,0.5,0.6363636363636364,0.2417566565613769
Los Angeles Kings,2006,0.65,0.55,0.4,0.45454545454545453,0.23746683108966732
Florida Panthers,2006,0.3,0.45,0.4,0.6363636363636364,0.275995568295957
Minnesota Wild,2006,0.45,0.5,0.5,0.4090909090909091,0.2423712063197536
Phoenix Coyotes,2006,0.45,0.55,0.4,0.45454545454545453,0.24592967482326666
New York Islanders,2006,0.5,0.4,0.45,0.4090909090909091,0.25364288033335697
Boston Bruins,2006,0.35,0.4,0.5,0.18181818181818182,0.30935817322133735
Columbus Blue Jackets,2006,0.25,0.35,0.55,0.5454545454545454,0.28806493184467574
Washington Capitals,2006,0.4,0.25,0.4,0.36363636363636365,0.29563630772670835
Chicago Blackhawks,2006,0.45,0.2,0.3,0.3181818181818182,0.3181233712553087
Pittsburgh Penguins,2006,0.3,0.25,0.15,0.36363636363636365,0.33745829249487075
St Louis Blues,2006,0.2,0.3,0.4,0.13636363636363635,0.3461356921141937
Detroit Red Wings,2007,0.6,0.65,0.65,0.5454545454545454,0.17908744805146667
Buffalo Sabres,2007,0.8,0.65,0.55,0.5909090909090909,0.18388035096517077
Nashville Predators,2007,0.65,0.65,0.65,0.5454545454545454,0.17419828162847661
Anaheim Ducks,2007,0.65,0.75,0.35,0.5909090909090909,0.23682210780204127
Dallas Stars,2007,0.7,0.55,0.55,0.6363636363636364,0.18590297833916458
San Jose Sharks,2007,0.7,0.6,0.55,0.6363636363636364,0.17784290588481094
New Jersey Devils,2007,0.6,0.55,0.7,0.5454545454545454,0.18986728727418922
Pittsburgh Penguins,2007,0.5,0.4,0.75,0.6363636363636364,0.2331423854661062
Vancouver Canucks,2007,0.45,0.6,0.7,0.6363636363636364,0.20246415864836442
Ottawa Senators,2007,0.4,0.65,0.7,0.5909090909090909,0.21756541715953306
Minnesota Wild,2007,0.6,0.45,0.55,0.7272727272727273,0.2120005067824911
Atlanta Thrashers,2007,0.6,0.55,0.35,0.5909090909090909,0.23634178220646668
Calgary Flames,2007,0.5,0.55,0.5,0.5454545454545454,0.21427371080115235
Colorado Avalanche,2007,0.45,0.55,0.45,0.6818181818181818,0.22952070073550163
New York Rangers,2007,0.5,0.45,0.5,0.5909090909090909,0.2248599196634971
Tampa Bay Lightning,2007,0.5,0.4,0.75,0.5,0.24392621835300934
New York Islanders,2007,0.5,0.45,0.5,0.5,0.23021728866442676
Toronto Maple Leafs,2007,0.55,0.3,0.6,0.5,0.25592967784139453
Montreal Canadiens,2007,0.6,0.55,0.3,0.5909090909090909,0.2511214516346112
Carolina Hurricanes,2007,0.5,0.55,0.4,0.5,0.23558437978779492
Florida Panthers,2007,0.35,0.35,0.45,0.5454545454545454,0.2701507078626256
St Louis Blues,2007,0.3,0.35,0.6,0.4090909090909091,0.28535174755853654
Boston Bruins,2007,0.45,0.55,0.5,0.22727272727272727,0.2824223728641463
Columbus Blue Jackets,2007,0.25,0.5,0.4,0.45454545454545453,0.28389265809864483
Edmonton Oilers,2007,0.55,0.4,0.45,0.18181818181818182,0.30203510824334684
Chicago Blackhawks,2007,0.35,0.5,0.25,0.4090909090909091,0.29293682505119495
Washington Capitals,2007,0.4,0.4,0.35,0.22727272727272727,0.3016072647479837
Los Angeles Kings,2007,0.3,0.4,0.25,0.36363636363636365,0.3058385032703447
Phoenix Coyotes,2007,0.3,0.6,0.35,0.2727272727272727,0.30579796711916657
Philadelphia Flyers,2007,0.25,0.3,0.25,0.2727272727272727,0.3279254853879798
Detroit Red Wings,2008,0.7,0.75,0.6,0.5909090909090909,0.1661548615494862
San Jose Sharks,2008,0.55,0.55,0.45,0.8181818181818182,0.22803055471646233
Montreal Canadiens,2008,0.55,0.45,0.6,0.6818181818181818,0.20964846610181284
Pittsburgh Penguins,2008,0.4,0.7,0.6,0.5909090909090909,0.21974816540382563
Anaheim Ducks,2008,0.45,0.5,0.6,0.7272727272727273,0.21984216727551767
New Jersey Devils,2008,0.4,0.75,0.55,0.5454545454545454,0.23233898716891593
Minnesota Wild,2008,0.55,0.6,0.55,0.45454545454545453,0.21294375154559958
Dallas Stars,2008,0.45,0.7,0.6,0.45454545454545453,0.22654428717049294
New York Rangers,2008,0.6,0.4,0.45,0.5909090909090909,0.23571589566907528
Colorado Avalanche,2008,0.55,0.5,0.45,0.6363636363636364,0.2194329657236601
Philadelphia Flyers,2008,0.6,0.45,0.45,0.5454545454545454,0.22779485478774228
Ottawa Senators,2008,0.8,0.5,0.45,0.36363636363636365,0.2672943714179847
Washington Capitals,2008,0.3,0.5,0.6,0.6818181818181818,0.2575632795551544
Calgary Flames,2008,0.4,0.55,0.55,0.5454545454545454,0.22779485478774228
Boston Bruins,2008,0.55,0.45,0.55,0.45454545454545453,0.22839269502437215
Carolina Hurricanes,2008,0.55,0.45,0.45,0.6363636363636364,0.22766783837006746
Nashville Predators,2008,0.5,0.5,0.55,0.45454545454545453,0.2256395868204333
Buffalo Sabres,2008,0.45,0.5,0.5,0.45454545454545453,0.23549666172994982
Vancouver Canucks,2008,0.5,0.6,0.4,0.4090909090909091,0.24738299680341413
Edmonton Oilers,2008,0.35,0.45,0.55,0.6363636363636364,0.24939182222305434
Chicago Blackhawks,2008,0.55,0.4,0.45,0.5454545454545454,0.2384219816256757
Florida Panthers,2008,0.4,0.5,0.45,0.5,0.24392621835300934
Phoenix Coyotes,2008,0.5,0.55,0.5,0.3181818181818182,0.25418806078951445
Toronto Maple Leafs,2008,0.35,0.45,0.4,0.5454545454545454,0.26221009178024585
Columbus Blue Jackets,2008,0.45,0.45,0.45,0.3181818181818182,0.266880509988216
New York Islanders,2008,0.6,0.4,0.4,0.3181818181818182,0.27547104661045807
St Louis Blues,2008,0.6,0.45,0.35,0.22727272727272727,0.29838753989894107
Atlanta Thrashers,2008,0.5,0.45,0.5,0.22727272727272727,0.28310556393433617
Tampa Bay Lightning,2008,0.5,0.25,0.5,0.2727272727272727,0.3016826092008203
Los Angeles Kings,2008,0.4,0.3,0.55,0.3181818181818182,0.28923524127150974
San Jose Sharks,2009,0.8,0.7,0.6,0.5,0.19235384061671346
Boston Bruins,2009,0.65,0.8,0.55,0.5909090909090909,0.18388035096517077
Detroit Red Wings,2009,0.7,0.7,0.55,0.5454545454545454,0.1846484262654682
Washington Capitals,2009,0.55,0.75,0.6,0.5454545454545454,0.19254172028312921
New Jersey Devils,2009,0.55,0.6,0.75,0.5909090909090909,0.18498938991240899
Chicago Blackhawks,2009,0.5,0.65,0.55,0.5454545454545454,0.2036698430270856
Vancouver Canucks,2009,0.6,0.45,0.45,0.6818181818181818,0.226430256717217
Pittsburgh Penguins,2009,0.6,0.35,0.5,0.7272727272727273,0.2461773868273119
Philadelphia Flyers,2009,0.5,0.55,0.6,0.5,0.21095023109728986
Calgary Flames,2009,0.55,0.65,0.6,0.45454545454545453,0.2080855275526376
Carolina Hurricanes,2009,0.55,0.45,0.5,0.6818181818181818,0.2208408050090037
