accronym,team,year,accronym1,fenwick,fenwick_last20,corsi_last20,sog_last20,goals_percentage_last20,misses_percentage_last20,blocks_percentage_last20,hits_percentage_last20
ANA,Mighty Ducks of Anaheim,2006,ANA,53.19,53.09,51.33,54.49,56.08,50.32,45.16,53.52
ATL,Atlanta Thrashers,2006,ATL,49.72,52.72,53.31,53.16,57.91,51.65,54.59,51.01
BOS,Boston Bruins,2006,BOS,48.62,45.82,46.76,44.14,43.42,49.32,50.58,46.29
BUF,Buffalo Sabres,2006,BUF,50.18,48.79,49.9,50.28,47.92,45.21,52.96,44.68
CAR,Carolina Hurricanes,2006,CAR,48.66,46.86,48.71,47.28,43.4,45.94,55.68,48.57
CBJ,Columbus Blue Jackets,2006,CBJ,45.18,50.37,52.66,51.14,56.68,49.14,60.15,52.81
CGY,Calgary Flames,2006,CGY,51.97,52.97,51.03,52.96,55.47,53.03,44.03,51.6
CHI,Chicago Blackhawks,2006,CHI,49.41,48.46,48.6,47.97,45.88,49.04,48.6,54.72
COL,Colorado Avalanche,2006,COL,48.87,50.04,50.53,52.46,52.57,43.48,52.15,39.72
DAL,Dallas Stars,2006,DAL,53.78,50.79,50.93,52.64,49.21,48.27,51.19,47.82
DET,Detroit Red Wings,2006,DET,58.65,61.08,56.65,61.4,63.13,60.81,41.82,47.07
EDM,Edmonton Oilers,2006,EDM,51.03,51.11,50.53,50.32,45.19,52.41,48.25,52.92
FLA,Florida Panthers,2006,FLA,51.79,55.74,52.4,55.44,58,57.43,38.42,57.19
LAK,Los Angeles Kings,2006,LAK,48.58,42.46,44.45,40.12,35.8,46.42,52.46,54.44
MIN,Minnesota Wild,2006,MIN,47.06,45.46,47.3,45.34,45.96,46.07,52.52,45.22
MTL,Montreal Canadiens,2006,MTL,49.28,50.34,49.72,51.09,53.19,50.29,46.43,54.6
NJD,New Jersey Devils,2006,NJD,50.09,52.36,51.22,51.32,52.74,54.5,47.17,52.79
NSH,Nashville Predators,2006,NSH,49.35,53.68,53.4,56.74,62.23,47.58,50.82,52.41
NYI,New York Islanders,2006,NYI,49.08,50.71,50.04,50.27,47.47,51.67,49.09,48.17
NYR,New York Rangers,2006,NYR,53.55,48.48,49.52,49.87,48.63,45.76,52.64,42.8
OTT,Ottawa Senators,2006,OTT,57.12,52.54,52.57,51.53,48.06,54.49,52.8,52.55
PHI,Philadelphia Flyers,2006,PHI,53.84,54.12,51.85,54.32,53.74,54,44.55,48.36
PHX,Phoenix Coyotes,2006,PHX,47.7,47.29,49.77,46.83,47.35,47.67,58.76,46.95
PIT,Pittsburgh Penguins,2006,PIT,42.59,45.05,48.24,47.12,47.7,40.93,57.57,49.49
SJS,San Jose Sharks,2006,SJS,51.89,53.45,51.27,56.2,57.79,47.61,43.76,48.28
STL,St Louis Blues,2006,STL,44.5,40.93,44.46,36.78,26.27,48.68,55.48,49.41
TBL,Tampa Bay Lightning,2006,TBL,50.13,47.35,49.16,46.91,41.75,48.5,54.59,45.13
TOR,Toronto Maple Leafs,2006,TOR,47.47,50.33,49.59,51.19,51.62,49.3,48.19,54.23
VAN,Vancouver Canucks,2006,VAN,50.37,48.28,48.06,43.71,40.14,57.02,45.99,52.36
WSH,Washington Capitals,2006,WSH,46.55,48.9,47.92,48.73,52.41,48.75,45.81,51.48
ANA,Anaheim Ducks,2007,ANA,54.16,52.82,50.45,53.39,54.93,51.67,41.65,56.08
ATL,Atlanta Thrashers,2007,ATL,49.36,49.17,51.12,48.78,50.16,50.67,57.09,54.72
