team,iCF/60_mean,P1_mean,P1/60_mean,GS_mean,GS/60_mean,CF_mean,Rel CF%_mean,ixGF/60_mean,ZSR_mean,CF% QoT_mean,CF% QoC_mean,TOI% QoT_mean,TOI% QoC_mean,iCF/60_sd,P1_sd,P1/60_sd,GS_sd,GS/60_sd,CF_sd,Rel CF%_sd,ixGF/60_sd,ZSR_sd,CF% QoT_sd,CF% QoC_sd,TOI% QoT_sd,TOI% QoC_sd,iCF/60_max,P1_max,P1/60_max,GS_max,GS/60_max,CF_max,Rel CF%_max,ixGF/60_max,ZSR_max,CF% QoT_max,CF% QoC_max,TOI% QoT_max,TOI% QoC_max,year
ANA,9.203636363636363,7.181818181818182,0.7781818181818182,11.865151515151515,1.2527272727272727,441.6969696969697,-0.44242424242424233,0.41545454545454547,51.737575757575755,50.06878787878788,49.513636363636365,29.002121212121214,28.758181818181818,3.245987733130913,8.087237420213969,0.9009420574649022,12.96833478159689,0.956302360420309,316.29905596291354,6.604942292661908,0.223552159868381,8.589374988286046,1.0182299518519802,0.9781449859997057,2.010178408711149,0.7285493057501947,16.9,29,4.78,45.95,3.92,1092,13.06,0.98,76,51.7,51.02,31.55,30,2008
ARI,9.6290625,7.71875,0.636875,11.68375,0.8728125,530.9375,0.8106249999999998,0.3928125,47.61,48.99125,49.988125,28.72,28.685,4.012348969622689,7.883156298450922,0.5586933921674866,11.7461449406919,0.9254963249957534,385.70705393032796,10.044025005268137,0.23812756644963598,12.858923348298623,1.027994445824082,0.9090670066505797,1.2757641606301637,0.8105155667049019,16.9,27,2.01,39.45,2.16,1227,44.16,0.81,80,52.82,51.04,31.43,29.83,2008
ATL,8.794333333333334,8.733333333333333,0.9713333333333334,4.878,0.5276666666666666,471.1666666666667,-0.48633333333333334,0.4216666666666667,41.652,43.199,50.266666666666666,28.888666666666666,28.885666666666665,3.551162688019462,9.058938559019591,1.1829820103372701,9.973723892100788,0.9597437996254731,281.1334305043184,5.593230812289104,0.2175265870921392,5.765392829873662,1.036600378558481,0.5373070356646303,1.2848553744812423,0.9116248598285766,16.34,40,6.26,26.22,3.19,865,7.15,0.82,53.62,46.12,51.1,30.97,30.25,2008
BOS,10.401428571428571,2.392857142857143,0.5342857142857143,5.0675,1.1428571428571428,196.96428571428572,-1.2582142857142857,0.41892857142857143,51.21892857142857,52.8975,49.66357142857143,28.80857142857143,28.725714285714286,4.699987166480283,2.469657131912515,0.4689975801203352,4.88418507930329,1.2123251523961198,128.02444273070643,13.105620805330881,0.2949493275464547,16.320717199946667,1.1901746681646097,0.8703946073401255,1.66127508879021,1.2238779549764136,22.69,11,1.83,16.68,2.6,421,20.81,1.09,100,55.12,50.92,31.56,30.38,2008
BUF,9.326666666666666,11.666666666666666,0.9785185185185186,17.06851851851852,1.084814814814815,547.0370370370371,-2.2785185185185184,0.3985185185185185,51.843333333333334,49.415925925925926,49.88925925925926,29.036296296296296,29.005555555555556,3.916722530970937,10.626527039587154,0.7191645992383946,14.734886051529786,1.8176577708908166,308.27715819990016,7.1509158658732455,0.25713964634182285,7.192252241662017,1.209339486786897,0.5207164142271528,1.5877127916698,0.8789256262109195,16.21,36,2.27,54.47,3.4,1164,6.97,0.9,68.52,52.76,51.23,31.53,30.17,2008
CAR,11.503333333333334,10.181818181818182,0.9824242424242424,17.93030303030303,1.7324242424242424,569.8787878787879,-0.3551515151515151,0.47878787878787876,53.52181818181818,51.52818181818182,49.28454545454545,28.598181818181818,28.823333333333334,3.6520085797635615,8.345861794381038,0.5828755779700667,13.427942062367675,0.9207165358534294,340.01514282232324,5.642798021157213,0.2701938838102833,7.351234358317594,0.9532426715737659,1.0523518034297359,1.9618079266098125,0.9408097133143698,18.22,31,1.77,49.48,3.29,1167,8.86,0.99,83.33,54.9,50.66,31.31,30.04,2008
CBJ,9.890882352941176,6.823529411764706,0.6467647058823529,12.542941176470588,1.1285294117647058,462.97058823529414,-0.6685294117647059,0.4097058823529412,50.17441176470588,51.58764705882353,50.09441176470588,28.551764705882352,28.61235294117647,3.511315360587443,8.166712139274619,0.5387061974782044,12.932690439210049,1.1202925276880065,334.8491732193826,4.502118782241508,0.2711310238345319,12.963853755305493,1.2859050787899364,0.6966334246519081,1.635137786035978,0.8750066971987146,19.5,30,1.72,51.4,2.96,1075,12.61,1.21,78.26,53.23,51.55,31.36,30.16,2008
CGY,9.217916666666667,11.625,0.8279166666666666,19.955,0.6545833333333333,658.4583333333334,-3.248333333333333,0.41208333333333336,50.806666666666665,51.855,49.51291666666667,28.962083333333332,28.835833333333333,3.822910317690104,11.970298387185712,0.6325172564524583,19.933301609203586,3.679090127554185,368.6352007498525,11.73833803015337,0.2633394101298479,11.33407891835663,1.0995690855571754,0.27966562591573557,1.9805334792219096,0.6340684139926765,17.46,46,2.17,76.75,3.62,1341,7.62,0.87,59.23,53.68,50.4,32.54,29.82,2008
CHI,8.09475,7.9,0.8019999999999999,11.418,0.94125,384.175,-1.5195,0.35925,49.8635,49.5165,50.304249999999996,28.763,28.7245,3.178660407652803,8.390470785361213,0.7198511242094722,12.380829308207684,1.5191279338775845,303.5799972718719,7.986417299518683,0.24758720297487724,7.353335384847566,1.0732804971865584,1.1891084518480268,1.6093559788519962,0.7692452178130229,14.87,29,2.86,41.71,2.9,1105,14.67,0.96,63.64,51.39,54.63,31.48,29.67,2008
COL,9.265666666666666,10.333333333333334,0.8796666666666667,13.847999999999999,1.1723333333333334,552.2666666666667,-0.07866666666666663,0.4176666666666667,50.193666666666665,47.794333333333334,50.14066666666667,28.981,29.019333333333332,3.0684643843722412,9.760346705731921,0.7214185419322671,12.734571029694909,1.0186152985483683,312.6035203249321,3.5793822750950146,0.2643884724563764,8.342994783291129,1.1795664993703332,0.7789999483570136,1.232310277766787,0.6835300529847487,14.54,30,2.29,45.51,4.16,1115,7.84,1.11,71.74,52.25,53.49,31.84,30.16,2008
