Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDSV.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2008,quarter-finals,Boston Bruins,57.77,53.67,40.55,41.56,26.78,24.7,82.83,8.49,10.06,91.83,0.986,2.16,2.11
2008,quarter-finals,Montreal Canadiens,53.67,57.77,41.56,40.55,24.7,26.78,80.27,10.06,8.49,93.2,1.014,2.11,2.16
2008,quarter-finals,Ottawa Senators,51.58,56.93,40.28,45.87,22.48,30.18,84.48,7.7,11.44,91.97,0.967,2.09,2.25
2008,quarter-finals,Pittsburgh Penguins,56.93,51.58,45.87,40.28,30.18,22.48,81.96,11.44,7.7,95.29,1.033,2.25,2.09
2008,quarter-finals,Philadelphia Flyers,54.2,59.24,40.64,40.72,23.16,28.18,74.91,7.23,8.34,92.02,1,1.91,2.04
2008,quarter-finals,Washington Capitals,59.24,54.2,40.72,40.64,28.18,23.16,74.54,8.34,7.23,92.01,1,2.04,1.91
2008,quarter-finals,New York Rangers,50.94,48.97,42.57,39.76,27.58,25.55,89.23,11.17,12.49,94.17,1.034,2.59,2.63
2008,quarter-finals,New Jersey Devils,48.97,50.94,39.76,42.57,25.55,27.58,91.52,12.49,11.17,90.77,0.966,2.63,2.59
2008,quarter-finals,Nashville Predators,40.76,66.71,31.18,54.97,17.41,31.3,89.51,6.36,12.43,93.83,1.013,1.51,2.76
2008,quarter-finals,Detroit Red Wings,66.71,40.76,54.97,31.18,31.3,17.41,87.22,12.43,6.36,92.53,0.987,2.76,1.51
2008,quarter-finals,Calgary Flames,50.11,49.66,35.65,39.88,21.03,21.55,88.4,8.67,7.83,92.96,1.006,1.96,1.95
2008,quarter-finals,San Jose Sharks,49.66,50.11,39.88,35.65,21.55,21.03,83.92,7.83,8.67,92.33,0.994,1.95,1.96
2008,quarter-finals,Colorado Avalanche,47.57,50.52,38.36,36.41,25.15,18.76,94.68,10.27,6.06,95.09,1.016,1.84,1.6
2008,quarter-finals,Minnesota Wild,50.52,47.57,36.41,38.36,18.76,25.15,87.9,6.06,10.27,93.46,0.984,1.6,1.84
2008,quarter-finals,Dallas Stars,48.86,37.55,39.18,29.6,24.73,19.69,84.24,9.15,7.06,92.38,1.007,1.87,1.66
2008,quarter-finals,Anaheim Ducks,37.55,48.86,29.6,39.18,19.69,24.73,77,7.06,9.15,91.63,0.993,1.66,1.87
2008,semi-finals,Boston Bruins,57.77,53.67,40.55,41.56,26.78,24.7,82.83,8.49,10.06,91.83,0.986,2.16,2.11
2008,semi-finals,Montreal Canadiens,60.64,58.49,44.59,40.68,26.6,25.3,76.97,10.54,9.01,90.52,0.975,2.29,2.13
2008,semi-finals,Ottawa Senators,51.58,56.93,40.28,45.87,22.48,30.18,84.48,7.7,11.44,91.97,0.967,2.09,2.25
2008,semi-finals,Pittsburgh Penguins,51.29,53.64,40.29,40.38,29.75,26.92,84.98,11.96,10.91,93.02,1.017,2.4,2.26
2008,semi-finals,Philadelphia Flyers,56.34,63.62,40.73,43.95,23.22,28.58,79.01,8.24,9.5,93.17,1.03,1.98,2.24
2008,semi-finals,Washington Capitals,59.24,54.2,40.72,40.64,28.18,23.16,74.54,8.34,7.23,92.01,1,2.04,1.91
2008,semi-finals,New York Rangers,53.05,47.88,41.55,37.83,29,27.41,86.46,12.3,12.44,92.5,1.016,2.5,2.58
2008,semi-finals,New Jersey Devils,48.97,50.94,39.76,42.57,25.55,27.58,91.52,12.49,11.17,90.77,0.966,2.63,2.59
2008,semi-finals,Nashville Predators,40.76,66.71,31.18,54.97,17.41,31.3,89.51,6.36,12.43,93.83,1.013,1.51,2.76
2008,semi-finals,Detroit Red Wings,65.04,38.63,52.16,30.45,30.02,18.08,89.45,12.26,7.48,93.17,1.015,2.59,1.63
2008,semi-finals,Calgary Flames,50.11,49.66,35.65,39.88,21.03,21.55,88.4,8.67,7.83,92.96,1.006,1.96,1.95
2008,semi-finals,San Jose Sharks,51.19,47.99,38.96,33.99,22.06,20.27,84.72,8.97,7.15,92.98,0.986,1.98,1.78
2008,semi-finals,Colorado Avalanche,42.93,55.04,34.94,40.73,22.86,22.27,80.71,9.87,8.31,91.83,0.981,1.83,1.88
2008,semi-finals,Minnesota Wild,50.52,47.57,36.41,38.36,18.76,25.15,87.9,6.06,10.27,93.46,0.984,1.6,1.84
