year,team,scf,sca,hdcf,hdca
2008,Anaheim Ducks,21.71,21.92,54.32,11.37
2008,Los Angeles Kings,24.22,29.05,44.14,12.64
2008,Montreal Canadiens,26.73,27.68,52.93,13.68
2008,Carolina Hurricanes,26.06,26.03,51.25,13.48
2008,Detroit Red Wings,25.22,18.92,59.86,12.67
2008,Ottawa Senators,25.96,26.88,52.33,13.82
2008,Toronto Maple Leafs,26.72,26.57,47.74,12.35
2008,Dallas Stars,22.14,21.86,51.84,15.03
2008,Colorado Avalanche,23.65,23.53,54.76,13.91
2008,Florida Panthers,23.25,25.56,49.64,11.66
2008,New York Rangers,27.01,23.53,54.72,10.35
2008,New Jersey Devils,23.22,20.86,50.74,10.8
2008,Tampa Bay Lightning,24.08,24.98,45.59,13
2008,Nashville Predators,24.15,23.36,49.7,12.96
2008,Chicago Blackhawks,21.22,22.14,50.32,13.63
2008,Minnesota Wild,19.92,21.89,46.44,13.86
2008,Philadelphia Flyers,22.13,24.38,46.63,13.11
2008,Calgary Flames,23.18,20.68,53.59,13.57
2008,San Jose Sharks,25.7,18.85,51,11.28
2008,Edmonton Oilers,23.43,24.77,45.94,13.22
2008,St Louis Blues,21.44,25.69,50.55,13.74
2008,Phoenix Coyotes,22.77,25.05,47.4,11.17
2008,Pittsburgh Penguins,24.29,24.51,54.07,12.99
2008,Columbus Blue Jackets,21.49,19.74,48.61,11.73
2008,New York Islanders,25.11,26.98,47.98,10.6
2008,Buffalo Sabres,23.81,22.8,54.55,14.1
2008,Washington Capitals,29.21,22.68,50.12,11.35
2008,Atlanta Thrashers,20.93,27.06,40.73,12.27
2008,Boston Bruins,22.9,22.97,48.31,10.81
2008,Vancouver Canucks,22.06,22.62,47.94,13.11
2009,New York Rangers,30.02,28.16,45.93,9.36
2009,Tampa Bay Lightning,24.54,26.46,49.35,12.17
2009,Pittsburgh Penguins,25.67,24.86,55.42,14.9
2009,Ottawa Senators,22.75,24.41,47.12,11.93
2009,Toronto Maple Leafs,25.81,26.51,47.01,13.82
2009,Detroit Red Wings,24.38,19.8,54.66,13.88
2009,Boston Bruins,24.21,23.87,59.25,14.6
2009,Colorado Avalanche,21.76,23.75,42.75,11.16
2009,Calgary Flames,26.38,21.14,52.54,13.8
2009,Vancouver Canucks,23.12,23.91,56.43,15.45
2009,Anaheim Ducks,23.92,21.46,54.77,13.97
2009,San Jose Sharks,26.1,20.3,51.96,10.44
2009,New York Islanders,24.27,29.71,40.21,10.29
2009,New Jersey Devils,24.74,20.83,55.68,12.21
2009,Chicago Blackhawks,23.54,20.26,51.01,11.75
2009,Florida Panthers,23.21,24.73,51.04,12.65
2009,Carolina Hurricanes,25.67,24.59,48.49,11.11
2009,Montreal Canadiens,25.52,27.02,46.82,11.74
2009,Buffalo Sabres,22.96,22.04,52.82,14.68
2009,Washington Capitals,29.12,24.75,55.04,11.68
2009,Atlanta Thrashers,23.13,27.95,45.88,13.16
2009,Nashville Predators,22.19,23.89,47.69,12.91
2009,St Louis Blues,21.78,23.61,49.8,13.73
2009,Columbus Blue Jackets,21.42,20.54,53.26,14.37
2009,Dallas Stars,20.37,22.5,49.91,16.5
2009,Philadelphia Flyers,23.44,24.74,49.23,14.25
2009,Minnesota Wild,18.47,21.55,45.45,12.56
2009,Phoenix Coyotes,21.7,25.57,44.71,12.52
2009,Los Angeles Kings,23.37,22.13,44.72,10.53
2009,Edmonton Oilers,22.44,24.93,49.5,14.12
2010,San Jose Sharks,27.31,24.8,54.42,13.12
2010,Vancouver Canucks,25.69,24.78,53.98,14.29
2010,Carolina Hurricanes,25.46,29.22,45.45,12.39
2010,Ottawa Senators,25.86,23.67,46.57,12.6
